class_name,cyclomatic_complexity,javadoc_length,tokens,LOC,choco_error_1,choco_error_2,choco_status,z3_error,z3_bitvector_error
VOCALTRACTCOMPENSATION,2.0,1,6,11,RuntimeException: ## Error: Math.sqrt not supported,JPF symbolic execution,FAILED,ER2: symbolic.min_int=-2147483648 symbolic.min_long=-9223372036854775808 symbolic.min_short=-32768 symbol...,Function: class VOCALTRACTCOMPENSATION (Index: 27) | ================================================== | ERROR 1 (er1): | java.lang.RuntimeException: ## Error: Math.power not supported | at gov.nasa.jpf.symbc.numeric.solvers.ProblemGeneral.power(ProblemGeneral.java:169) | at gov.nasa.jpf.symbc.numeric.PCParser.getExpression(PCParser.java:331) | at gov.nasa.jpf.symbc.numeric.PCParser.getExpression(PCParser.java:268) | at gov.nasa.jpf.symbc.numeric.PCParser.getExpression(PCParser.java:286) | at g...
HYPOT,3.0,1,6,10,Error: bug in setConstraintIndex i:1 - Choco real constraint bug,JPF symbolic execution,FAILED,ER1: java.lang.RuntimeException: ## Error Z3  | ER2: symbolic.min_int=-2147483648 symbolic.min_long=-9223372036854775808 symbolic.min_short=-32768 symbol...,Function: class HYPOT (Index: 30) | ================================================== | ERROR 1 (er1): | java.lang.AssertionError | at gov.nasa.jpf.symbc.numeric.BinaryRealExpression.solution(BinaryRealExpression.java:63) | at gov.nasa.jpf.symbc.numeric.BinaryRealExpression.solution(BinaryRealExpression.java:57) | at gov.nasa.jpf.symbc.numeric.BinaryRealExpression.solution(BinaryRealExpression.java:57) | at gov.nasa.jpf.symbc.numeric.MathRealExpression.solution(MathRealExpression.java:115) | at...
UNRANDOMIZE255STATE,1.0,1,6,4,RuntimeException: ## Error: Non Linear Integer Constraint not handled,JPF symbolic execution,FAILED,No Z3 error info,Function: class UNRANDOMIZE255STATE (Index: 32) | ================================================== | ERROR 1 (er1): | java.lang.RuntimeException: ## Error: BinaryNonLinearSolution solution: l 0 op  %  r 255 | at gov.nasa.jpf.symbc.numeric.BinaryNonLinearIntegerExpression.solution(BinaryNonLinearIntegerExpression.java:73) | at gov.nasa.jpf.symbc.numeric.BinaryNonLinearIntegerExpression.solution(BinaryNonLinearIntegerExpression.java:60) | at gov.nasa.jpf.symbc.numeric.BinaryNonLinearIntegerExpre...
NEXTRAND,1.0,1,4,4,No error,Cannot load application class demo.Distance,FAILED,ER2: symbolic.min_int=-2147483648 symbolic.min_long=-9223372036854775808 symbolic.min_short=-32768 symbol...,Function: class NEXTRAND (Index: 33) | ================================================== | ERROR 1 (er1): | ERROR 2 (er2): | symbolic.min_int=-2147483648 | symbolic.min_long=-9223372036854775808 | symbolic.min_short=-32768 | symbolic.min_byte=-128 | symbolic.min_char=0 | symbolic.max_int=2147483647 | symbolic.max_long=9223372036854775807 | symbolic.max_short=32767 | symbolic.max_byte=127 | symbolic.max_char=65535 | symbolic.min_double=4.9E-324 | symbolic.max_double=1.7976931348623157E308 | [SEV...
COMPARENUMBERS,1.0,1,5,2,No error,Cannot load application class demo.Distance,FAILED,ER2: symbolic.min_int=-2147483648 symbolic.min_long=-9223372036854775808 symbolic.min_short=-32768 symbol...,Function: class COMPARENUMBERS (Index: 34) | ================================================== | ERROR 1 (er1): | ERROR 2 (er2): | symbolic.min_int=-2147483648 | symbolic.min_long=-9223372036854775808 | symbolic.min_short=-32768 | symbolic.min_byte=-128 | symbolic.min_char=0 | symbolic.max_int=2147483647 | symbolic.max_long=9223372036854775807 | symbolic.max_short=32767 | symbolic.max_byte=127 | symbolic.max_char=65535 | symbolic.min_double=4.9E-324 | symbolic.max_double=1.7976931348623157E308 ...
HYPERGEOMETRIC,26.0,6,48,54,RuntimeException: ## Error Choco: non-lin int constraint,IllegalArgumentException: Invalid hypergeometric (Found 6 error conditions),PARTIAL_SUCCESS,No Z3 error info,No Z3 bitvector error info
INVERSEERF,5.0,8,51,72,RuntimeException: ## Error: Math.log not supported,JPF symbolic execution,FAILED,ER2: symbolic.min_int=-2147483648 symbolic.min_long=-9223372036854775808 symbolic.min_short=-32768 symbol...,Function: class INVERSEERF (Index: 38) | ================================================== | ERROR 1 (er1): | java.lang.RuntimeException | at gov.nasa.jpf.symbc.numeric.solvers.ProblemZ3BitVector.mult(ProblemZ3BitVector.java:700) | at gov.nasa.jpf.symbc.numeric.PCParser.getExpression(PCParser.java:286) | at gov.nasa.jpf.symbc.numeric.PCParser.getExpression(PCParser.java:326) | at gov.nasa.jpf.symbc.numeric.PCParser.getExpression(PCParser.java:273) | at gov.nasa.jpf.symbc.numeric.PCParser.create...
ISCASED,18.0,6,50,24,RuntimeException: ## Error Choco does not support bitwise SHIFT,JPF symbolic execution,FAILED,ER1: java.lang.RuntimeException: ## Error Z3  | ER2: symbolic.min_int=-2147483648 symbolic.min_long=-9223372036854775808 symbolic.min_short=-32768 symbol...,Function: class ISCASED (Index: 39) | ================================================== | ERROR 1 (er1): | java.lang.NullPointerException | at gov.nasa.jpf.search.Search.error(Search.java:706) | at gov.nasa.jpf.search.Search.error(Search.java:681) | at gov.nasa.jpf.JPF.run(JPF.java:645) | at gov.nasa.jpf.JPF.start(JPF.java:189) | at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method) | at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:62) | at sun.reflect.Dele...
GETMINRATING,5.0,7,51,13,No error,Cannot load application class demo.Distance,FAILED,ER2: symbolic.min_int=-2147483648 symbolic.min_long=-9223372036854775808 symbolic.min_short=-32768 symbol...,Function: class GETMINRATING (Index: 41) | ================================================== | ERROR 1 (er1): | ERROR 2 (er2): | symbolic.min_int=-2147483648 | symbolic.min_long=-9223372036854775808 | symbolic.min_short=-32768 | symbolic.min_byte=-128 | symbolic.min_char=0 | symbolic.max_int=2147483647 | symbolic.max_long=9223372036854775807 | symbolic.max_short=32767 | symbolic.max_byte=127 | symbolic.max_char=65535 | symbolic.min_double=4.9E-324 | symbolic.max_double=1.7976931348623157E308 | ...
ISVALIDTOKENCHAR,14.0,9,81,12,No error,Cannot load application class demo.Distance,FAILED,ER2: symbolic.min_int=-2147483648 symbolic.min_long=-9223372036854775808 symbolic.min_short=-32768 symbol...,Function: class ISVALIDTOKENCHAR (Index: 42) | ================================================== | ERROR 1 (er1): | ERROR 2 (er2): | symbolic.min_int=-2147483648 | symbolic.min_long=-9223372036854775808 | symbolic.min_short=-32768 | symbolic.min_byte=-128 | symbolic.min_char=0 | symbolic.max_int=2147483647 | symbolic.max_long=9223372036854775807 | symbolic.max_short=32767 | symbolic.max_byte=127 | symbolic.max_char=65535 | symbolic.min_double=4.9E-324 | symbolic.max_double=1.7976931348623157E30...
PREPARESETTINGS,2.0,4,66,4,ClassCastException: ObjectList$Node cannot be cast to IntegerExpression,JPF symbolic execution,FAILED,ER1: java.lang.ClassCastException: gov.nasa.jpf.util.ObjectList$Node cannot be cast to gov.nasa.jpf.symbc.numeric.IntegerExpression  | ER2: symbolic.min_int=-2147483648 symbolic.min_long=-9223372036854775808 symbolic.min_short=-32768 symbol...,Function: class PREPARESETTINGS (Index: 46) | ================================================== | ERROR 1 (er1): | java.lang.ClassCastException: gov.nasa.jpf.util.ObjectList$Node cannot be cast to gov.nasa.jpf.symbc.numeric.IntegerExpression | at gov.nasa.jpf.symbc.bytecode.IOR.execute(IOR.java:49) | at gov.nasa.jpf.vm.ThreadInfo.executeInstruction(ThreadInfo.java:1908) | at gov.nasa.jpf.vm.ThreadInfo.executeTransition(ThreadInfo.java:1859) | at gov.nasa.jpf.vm.SystemState.executeNextTransition...
