Functions,cyclomatic_complexity
"public class Acceptnumparam {

	public boolean acceptnumparam(int numParam) {
		return numParam == 1;
	}
}",1
"public class Acceptnumparam {

	public boolean acceptnumparam(int numParam) {
		return numParam == 1;
	}
}",1
"public class Acceptnumparam {

	public boolean acceptnumparam(int numParam) {
		return numParam > 0;
	}
}",1
"public class Acceptnumparam {

	public boolean acceptnumparam(int numParam) {
		return numParam == 1;
	}
}",1
"public class Acceptnumparam {

	public boolean acceptnumparam(int numParam) {
		return numParam == 1;
	}
}",1
"public class MBTOBYTE {
        private static long mbTobyte(final long mbytes)
    {
        final int MB_TO_BYTE = 1048576;
        return mbytes * MB_TO_BYTE;
    }
}",1
"public class ISTOKENEXPIRED {

    public static boolean isTokenExpired(final long tokenExpiryTime)
    {
        return tokenExpiryTime < System.currentTimeMillis();
    }
}",1
"public class DISTANCESQ {

    public static double distanceSq(double x1, double y1,
                                    double x2, double y2)
    {
        x1 -= x2;
        y1 -= y2;
        return (x1 * x1 + y1 * y1);
    }
}",1
"public class DISTANCE {

    public static double distance(double x1, double y1,
                                  double x2, double y2)
    {
        x1 -= x2;
        y1 -= y2;
        return Math.sqrt(x1 * x1 + y1 * y1);
    }
}",1
"public class FONTSIZE {

    private int fontSize(int pt, int dpi) {
        return (int) ( ((float) pt) / 72f * ((float) dpi) );
    }
}",1
"public class TOALFRESCOLOCKTIMEOUT {

    public static int toAlfrescoLockTimeout(int timeout)
    {
        return timeout * 60;
    }
}",1
"public class RANDOMNUMBER {

    private int randomNumber (int min, int max)
    {
        return min + (int)(Math.random() * ((max - min) + 1));
    }
}",1
"public class Restartat {

    public boolean restartat(int resumeId) {
        return false;
    }
}",1
"public class Restartat {

  public boolean restartat(int resumeId) {
    
    //	Cannot restart the search
    
    return false;
  }
}",1
"public class ROUNDUPLONGSIZE {

	public static long roundupLongSize(long lSize) {
	    return ( lSize + 512L) & 0xFFFFFFFFFFFFFE00L;
	}
}",1
"public class ROUNDUPINTSIZE {

	public static int roundupIntSize(int iSize) {
	    return ( iSize + 512) & 0xFFFFFE00;
	}
}",1
"public class Setbulkfetch {

    public boolean setbulkfetch(boolean bulkFetch)
    {
    	return false;
    }
}",1
"public class Setbulkfetchsize {

    public int setbulkfetchsize(int bulkFetchSize)
    {
    	return 0;
    }
}",1
"public class Setbulkfetch {

    public boolean setbulkfetch(boolean bulkFetch)
    {
        return false;
    }
}",1
"public class Setbulkfetchsize {

    public int setbulkfetchsize(int bulkFetchSize)
    {
        return 0;
    }
}",1
"public class Setbulkfetch {

    public boolean setbulkfetch(boolean bulkFetch)
    {
    	return false;
    }
}",1
"public class Setbulkfetchsize {

    public int setbulkfetchsize(int bulkFetchSize)
    {
    	return 0;
    }
}",1
"public class Setbulkfetch {

    public boolean setbulkfetch(boolean bulkFetch)
    {
    	return false;
    }
}",1
"public class Setbulkfetchsize {

    public int setbulkfetchsize(int bulkFetchSize)
    {
    	return 0;
    }
}",1
"public class MINSET {

    private long minSet(long value1, long value2)
    {
        if (value1 < 0)
        {
            return value2;
        }
        else if (value2 < 0)
        {
            return value1;
        }
        return Math.min(value1, value2);
    }
}",3
"public class MAXSET {

    private long maxSet(long value1, long value2)
    {
        if (value1 < 0 || value2 < 0)
        {
            return -1;
        }
        return Math.max(value1, value2);
    }
}",3
"public class LOOKFORSELECTABLEPOSITION {

    int lookForSelectablePosition(int position, boolean lookDown) {
        return position;
    }
}",1
"public class Getitemid {
    	public long getitemid(int position) {
		// TODO Auto-generated method stub
		return 0;
	}
}",1
"public class TRUNCATE {

		private static int truncate(int a) {
			if (a < 0)
				return 0;
			else if (a > 255)
				return 255;
			else
				return a;
		}
}",3
"public class GETVALIDINTERVAL {

	private static int getValidInterval(int a_value){
		if(a_value < 0) return 0;
		if(a_value > 255) return 255;
		return a_value;
	}
}",3
"public class ISWHITESPACE {

    protected static boolean isWhiteSpace(byte byteToCheck) {
        switch (byteToCheck) {
            case ' ' :
            case '\n' :
            case '\r' :
            case '\t' :
                return true;
            default :
                return false;
        }
    }
}",2
"public class ISTOKENSEPARATOR {

    protected boolean isTokenSeparator(char ch) {
        return (ch == ',');
    }
}",1
"public class ISWHITESPACE {

    protected boolean isWhitespace(char ch) {

        // we do not use Character.isWhitspace(ch) here, since that allows
        // many control characters which are not whitespace as per RFC 2616
        return ((ch == '\t') || Character.isSpaceChar(ch));
    }
}",2
"public class ISWHITESPACE {

    protected static boolean isWhiteSpace(byte byteToCheck) {
        switch (byteToCheck) {
            case ' ' :
            case '\n' :
            case '\r' :
            case '\t' :
                return true;
            default :
                return false;
        }
    }
}",2
"public class EQUALS {

	public static boolean equals(float f1, float f2, float delta) {
		return Math.abs(f1 - f2) <= delta;
	}
}",1
"public class EQUALS {

	public static boolean equals(double f1, double f2, double delta) {
		return Math.abs(f1 - f2) <= delta;
	}
}",1
"public class DECODEDIGIT {

	static int decodeDigit(byte data) {
		char charData = (char) data;
		if (charData <= 'Z' && charData >= 'A')
			return charData - 'A';
		if (charData <= 'z' && charData >= 'a')
			return charData - 'a' + 26;
		if (charData <= '9' && charData >= '0')
			return charData - '0' + 52;
		switch (charData) {
			case '+' :
				return 62;
			case '/' :
				return 63;
			default :
				throw new IllegalArgumentException(""Invalid char to decode: "" + data); //$NON-NLS-1$
		}
	}
}",8
"public class Getpasswordmaximumlength {

    public int getpasswordmaximumlength(int quality) {
        // Kind-of arbitrary.
        return 16;
    }
}",1
"public class Onmove {

    public boolean onmove(int oldPosition, int newPosition) {
        return true;
    }
}",1
"public class GETALTITUDE {

   public static float getAltitude(float p0, float p) {
        final float coef = 1.0f / 5.255f;
        return 44330.0f * (1.0f - (float)Math.pow(p/p0, coef));
    }
}",1
"public class Setpsrtprogramtype {

   public boolean setpsrtprogramtype(int pty){
      boolean bStatus = false;

      return bStatus;
   }
}",1
"public class Transmitrdsgroupcontrol {

   public boolean transmitrdsgroupcontrol(int ctrlCmd){
      boolean bStatus = false;

      return bStatus;
   }
}",1
"public class ISSTATUSSUCCESS {

    public static boolean isStatusSuccess(int status) {
        return (status >= 200 && status < 300);
    }
}",2
"public class ISSTATUSERROR {

    public static boolean isStatusError(int status) {
        return (status >= 400 && status < 600);
    }
}",2
"public class Requestroutetohost {

    public boolean requestroutetohost(int hostAddress) {
        return false;
    }
}",1
"public class ISWHITESPACE {

        private boolean isWhitespace(char c) {
            switch(c) {
            case ' ':
            case '\t':
            case '\f':
            case '\n':
            case '\r':
            case 11: /* VT */
                return true;
            default:
                return false;
            }
        }
}",2
"public class DECODEHEXDIGIT {
        protected int decodeHexDigit(char c) {
        if (c >= '0' && c <= '9') {
            return c - '0';
        }
        else if (c >= 'A' && c <= 'F') {
            return c - 'A' + 10;
        }
        else if (c >= 'a' && c <= 'f') {
            return c - 'a' + 10;
        }
        else {
            return -1;
        }
    }
}",7
"public class Sectortoblock {

    public int sectortoblock(int sectorIndex) {
        if (sectorIndex < 32) {
            return sectorIndex * 4;
        } else {
            return 32 * 4 + (sectorIndex - 32) * 16;
        }
    }
}",2
"public class ISSTATUSINFORMATIONAL {

    public static boolean isStatusInformational(int status) {
        return (status >= 100 && status < 200);
    }
}",2
"public class ISSTATUSSUCCESS {

    public static boolean isStatusSuccess(int status) {
        return (status >= 200 && status < 300);
    }
}",2
"public class ISSTATUSERROR {

    public static boolean isStatusError(int status) {
        return (status >= 400 && status < 600);
    }
}",2
"public class ISSTATUSCLIENTERROR {

    public static boolean isStatusClientError(int status) {
        return (status >= 400 && status < 500);
    }
}",2
"public class ISSTATUSSERVERERROR {

    public static boolean isStatusServerError(int status) {
        return (status >= 500 && status < 600);
    }
}",2
"public class ISSTATUSCOMPLETED {

    public static boolean isStatusCompleted(int status) {
        return (status >= 200 && status < 300) || (status >= 400 && status < 600);
    }
}",4
"public class ISSTATUSINFORMATIONAL {

        public static boolean isStatusInformational(int status) {
            return (status >= 100 && status < 200);
        }
}",2
"public class ISSTATUSSUCCESS {

        public static boolean isStatusSuccess(int status) {
            return (status >= 200 && status < 300);
        }
}",2
"public class ISSTATUSERROR {

        public static boolean isStatusError(int status) {
            return (status >= 400 && status < 600);
        }
}",2
"public class ISSTATUSCLIENTERROR {

        public static boolean isStatusClientError(int status) {
            return (status >= 400 && status < 500);
        }
}",2
"public class ISSTATUSSERVERERROR {

        public static boolean isStatusServerError(int status) {
            return (status >= 500 && status < 600);
        }
}",2
"public class ISSTATUSCOMPLETED {

        public static boolean isStatusCompleted(int status) {
            return (status >= 200 && status < 300) || (status >= 400 && status < 600);
        }
}",4
"public class ISGRAPHIC {

    public static boolean isGraphic(char c) {
        int gc = Character.getType(c);
        return     gc != Character.CONTROL
                && gc != Character.FORMAT
                && gc != Character.SURROGATE
                && gc != Character.UNASSIGNED
                && gc != Character.LINE_SEPARATOR
                && gc != Character.PARAGRAPH_SEPARATOR
                && gc != Character.SPACE_SEPARATOR;
    }
}",7
"public class ISPRINTABLEASCII {

    public static boolean isPrintableAscii(final char c) {
        final int asciiFirst = 0x20;
        final int asciiLast = 0x7E;  // included
        return (asciiFirst <= c && c <= asciiLast) || c == '\r' || c == '\n';
    }
}",4
"public class ISRTLCHARACTER {

    private static boolean isRTLCharacter(char c) {
        //range of RTL characters per unicode specification
        return (c >= 0x0590 && c <= 0x05FF) ||
               (c >= 0xFB1D && c <= 0xFB4F) ||
               (c >= 0x0600 && c <= 0x07BF) ||
               (c >= 0xFB50 && c <= 0xFDFF) ||
               (c >= 0xFE70 && c <= 0xFEFE)    ;
    }
}",10
"public class ISARABICCHARACTER {

    private static boolean isArabicCharacter(char c) {
        //range of Arabic characters per unicode specification
        return (c >= 0x0600 && c <= 0x06FF) ||
               (c >= 0x0750 && c <= 0x077F) ||
               (c >= 0xFB50 && c <= 0xFDFF) ||
               (c >= 0xFE70 && c <= 0xFEFE)    ;
    }
}",8
"public class Maxoutputsize {

        public int maxoutputsize(int len) {
            return len * 3/4 + 10;
        }
}",1
"public class Maxoutputsize {

        public int maxoutputsize(int len) {
            return len * 8/5 + 10;
        }
}",1
"public class GETWEIGHTEDDISTANCEFOR {

    int getWeightedDistanceFor(int majorAxisDistance, int minorAxisDistance) {
        return 13 * majorAxisDistance * majorAxisDistance
                + minorAxisDistance * minorAxisDistance;
    }
}",1
"public class ONSETALPHA {

    protected boolean onSetAlpha(int alpha) {
        return false;
    }
}",1
"public class MAKEMEASURESPEC {

        public static int makeMeasureSpec(int size, int mode) {
            return size + mode;
        }
}",1
"public class GETCHILDDRAWINGORDER {

    protected int getChildDrawingOrder(int childCount, int i) {
        return i;
    }
}",1
"public class Performcontextmenuaction {

    public boolean performcontextmenuaction(int id) {
        return false;
    }
}",1
"public class LOOKFORSELECTABLEPOSITION {

    int lookForSelectablePosition(int position, boolean lookDown) {
        return position;
    }
}",1
"public class Getitemid {

    public long getitemid(int position) {
        return position;
    }
}",1
"public class Getcombinedchildid {

    public long getcombinedchildid(long groupId, long childId) {
        return 0x8000000000000000L | ((groupId & 0x7FFFFFFF) << 32) | (childId & 0xFFFFFFFF);
    }
}",1
"public class Getcombinedgroupid {

    public long getcombinedgroupid(long groupId) {
        return (groupId & 0x7FFFFFFF) << 32;
    }
}",1
"public class Getchildtype {

    public int getchildtype(int groupPosition, int childPosition) {
        return 0;
    }
}",1
"public class Getgrouptype {

    public int getgrouptype(int groupPosition) {
        return 0;
    }
}",1
"public class GETTOPSELECTIONPIXEL {

    private int getTopSelectionPixel(int childrenTop, int fadingEdgeLength, int rowStart) {
        // first pixel we can draw the selection into
        int topSelectionPixel = childrenTop;
        if (rowStart > 0) {
            topSelectionPixel += fadingEdgeLength;
        }
        return topSelectionPixel;
    }
}",2
"public class MEASURENULLCHILD {

    int measureNullChild(int childIndex) {
        return 0;
    }
}",1
"public class GETTOPSELECTIONPIXEL {

    private int getTopSelectionPixel(int childrenTop, int fadingEdgeLength, int selectedPosition) {
        // first pixel we can draw the selection into
        int topSelectionPixel = childrenTop;
        if (selectedPosition > 0) {
            topSelectionPixel += fadingEdgeLength;
        }
        return topSelectionPixel;
    }
}",2
"public class Getitemid {

    public long getitemid(int position) {
        return position;
    }
}",1
"public class ROUND {

    public static int round(float x) {
        long lx = (long)(x * (65536 * 256f));
        return (int)((lx + 0x800000) >> 24);
    }
}",1
"public class ISTOKENCHARACTER {

    protected static boolean isTokenCharacter(int ch) {
        
        if((ch < 33) || (ch > 126)) {
            return false;
        }

        switch(ch) {
            case '""': /* '""' */
            case '(': /* '(' */
            case ')': /* ')' */
            case ',': /* ',' */
            case '/': /* '/' */
            case ':': /* ':' */
            case ';': /* ';' */
            case '<': /* '<' */
            case '=': /* '=' */
            case '>': /* '>' */
            case '?': /* '?' */
            case '@': /* '@' */
            case '[': /* '[' */
            case '\\': /* '\' */
            case ']': /* ']' */
            case '{': /* '{' */
            case '}': /* '}' */
                return false;
        }

        return true;
    }
}",4
"public class ISTEXT {

    protected static boolean isText(int ch) {
        
        if(((ch >= 32) && (ch <= 126)) || ((ch >= 128) && (ch <= 255))) {
            return true;
        }

        switch(ch) {
            case '\t': /* '\t' */
            case '\n': /* '\n' */
            case '\r': /* '\r' */
                return true;
        }

        return false;
    }
}",6
"public class ISDOMAINCHAR {

  private boolean isDomainChar(char c) {
    return c == '-' || Character.isLetter(c) || Character.isDigit(c);
  }
}",3
"public class ISPUNCTUATION {

  private static boolean isPunctuation(char ch) {
    switch (ch) {
      case '.': case ',': case '""': case ':': case ';':
      case '?': case '!': case '(': case ')':
        return true;

      default:
        return false;
    }
  }
}",2
"public class ISFORMATCHAR {

  private static boolean isFormatChar(char ch) {
    switch (ch) {
      case '*': case '_': case '^':
        return true;

      default:
        return false;
    }
  }
}",2
"public class DMETHOD {

    private int dMethod(int level) {
        int count = 0;
        if (level > 0) {
            count = dMethod(level - 1);
        }
        for (int ii = 0; ii < 100; ii++) {
            count += ii;
        }
        if (level == 0) {
            return count;
        }
        return dMethod(level - 1);
    }
}",4
"public class Getitemviewtype {

    public int getitemviewtype(int position) {
        return 0;
    }
}",1
"public class ALPHA {

    public static int alpha(int color) {
        return color >>> 24;
    }
}",1
"public class RED {

    public static int red(int color) {
        return (color >> 16) & 0xFF;
    }
}",1
"public class GREEN {

    public static int green(int color) {
        return (color >> 8) & 0xFF;
    }
}",1
"public class BLUE {

    public static int blue(int color) {
        return color & 0xFF;
    }
}",1
"public class RGB {

    public static int rgb(int red, int green, int blue) {
        return (0xFF << 24) | (red << 16) | (green << 8) | blue;
    }
}",1
"public class ARGB {

    public static int argb(int alpha, int red, int green, int blue) {
        return (alpha << 24) | (red << 16) | (green << 8) | blue;
    }
}",1
"public class HUE {

    public static float hue(int color) {
        int r = (color >> 16) & 0xFF;
        int g = (color >> 8) & 0xFF;
        int b = color & 0xFF;

        int V = Math.max(b, Math.max(r, g));
        int temp = Math.min(b, Math.min(r, g));

        float H;

        if (V == temp) {
            H = 0;
        } else {
            final float vtemp = (float) (V - temp);
            final float cr = (V - r) / vtemp;
            final float cg = (V - g) / vtemp;
            final float cb = (V - b) / vtemp;

            if (r == V) {
                H = cb - cg;
            } else if (g == V) {
                H = 2 + cr - cb;
            } else {
                H = 4 + cg - cr;
            }

            H /= 6.f;
            if (H < 0) {
                H++;
            }
        }

        return H;
    }
}",5
"public class SATURATION {

    public static float saturation(int color) {
        int r = (color >> 16) & 0xFF;
        int g = (color >> 8) & 0xFF;
        int b = color & 0xFF;
            int V = Math.max(b, Math.max(r, g));
        int temp = Math.min(b, Math.min(r, g));

        float S;

        if (V == temp) {
            S = 0;
        } else {
            S = (V - temp) / (float) V;
        }

        return S;
    }
}",2
"public class BRIGHTNESS {

    public static float brightness(int color) {
        int r = (color >> 16) & 0xFF;
        int g = (color >> 8) & 0xFF;
        int b = color & 0xFF;

        int V = Math.max(b, Math.max(r, g));

        return (V / 255.f);
    }
}",1
"public class ONLEVELCHANGE {

    protected boolean onLevelChange(int level) { return false; }
}",1
"public class GETVALUEFORVIBRATESETTING {

    public static int getValueForVibrateSetting(int existingValue, int vibrateType,
            int vibrateSetting) {

        // First clear the existing setting. Each vibrate type has two bits in
        // the value. Note '3' is '11' in binary.
        existingValue &= ~(3 << (vibrateType * 2));

        // Set into the old value
        existingValue |= (vibrateSetting & 3) << (vibrateType * 2);

        return existingValue;
    }
}",1
"public class GETROUTING {

    public static int getRouting(int mode) {
        return 0;
    }
}",1
"public class LENGTH {

    public static float length(float x, float y, float z) {
        return (float) Math.sqrt(x * x + y * y + z * z);
    }
}",1
"public class SHOULDDEVICESTAYAWAKE {

        private boolean shouldDeviceStayAwake(int stayAwakeConditions, int pluggedType) {
            return (stayAwakeConditions & pluggedType) != 0;
        }
}",1
"public class ISISODIGIT {

    public static boolean
    isISODigit (char c) {
        return c >= '0' && c <= '9';
    }
}",2
"public class TRYGETISODIGIT {

    private static int tryGetISODigit(char ch) {
        if ('0' <= ch && ch <= '9') {
            return ch - '0';
        } else {
            return -1;
        }
    }
}",3
"public class GSMBCDBYTETOINT {

    public static int
    gsmBcdByteToInt(byte b) {
        int ret = 0;

        // treat out-of-range BCD values as 0
        if ((b & 0xf0) <= 0x90) {
            ret = (b >> 4) & 0xf;
        }

        if ((b & 0x0f) <= 0x09) {
            ret +=  (b & 0xf) * 10;
        }

        return ret;
    }
}",3
"public class CDMABCDBYTETOINT {

    public static int
    cdmaBcdByteToInt(byte b) {
        int ret = 0;

        // treat out-of-range BCD values as 0
        if ((b & 0xf0) <= 0x90) {
            ret = ((b >> 4) & 0xf) * 10;
        }

        if ((b & 0x0f) <= 0x09) {
            ret +=  (b & 0xf);
        }

        return ret;
    }
}",3
"public class REGCODEISROAMING {

    private boolean
    regCodeIsRoaming (int code) {
        // 5 is  ""in service -- roam""
        return 5 == code;
    }
}",1
"public class CONVERTDTMFTOASCII {

    private byte convertDtmfToAscii(byte dtmfDigit) {
        byte asciiDigit;

        switch (dtmfDigit) {
        case  0: asciiDigit = 68; break; // 'D'
        case  1: asciiDigit = 49; break; // '1'
        case  2: asciiDigit = 50; break; // '2'
        case  3: asciiDigit = 51; break; // '3'
        case  4: asciiDigit = 52; break; // '4'
        case  5: asciiDigit = 53; break; // '5'
        case  6: asciiDigit = 54; break; // '6'
        case  7: asciiDigit = 55; break; // '7'
        case  8: asciiDigit = 56; break; // '8'
        case  9: asciiDigit = 57; break; // '9'
        case 10: asciiDigit = 48; break; // '0'
        case 11: asciiDigit = 42; break; // '*'
        case 12: asciiDigit = 35; break; // '#'
        case 13: asciiDigit = 65; break; // 'A'
        case 14: asciiDigit = 66; break; // 'B'
        case 15: asciiDigit = 67; break; // 'C'
        default:
            asciiDigit = 32; // Invalid DTMF code
            break;
        }

        return asciiDigit;
    }
}",2
"public class REGCODEISROAMING {

    private boolean regCodeIsRoaming (int code) {
        // 5 is  ""in service -- roam""
        return 5 == code;
    }
}",1
"public class GETMASK {

    private static int getMask(int numOfBits) {
        int mask = 0x00;

        switch (numOfBits) {
        case 1:
            mask = 0x01;
            break;
        case 2:
            mask = 0x03;
            break;
        case 3:
            mask = 0x07;
            break;
        case 4:
            mask = 0x0F;
            break;
        case 5:
            mask = 0x1F;
            break;
        case 6:
            mask = 0x3F;
            break;
        case 7:
            mask = 0x7F;
            break;
        case 8:
            mask = 0xFF;
            break;
        }
        return mask;
    }
}",2
"public class COMPUTECHANNEL {

        private int computeChannel(int c1, int c2, float percent) {
            return c1 + (int)((percent * (c2-c1)) + .5);
        }
}",1
"public class NANOSTOMICROS {

    private static int nanosToMicros(long nanos) {
        long micros = nanos / 1000;
        int microsInt = (int) micros;
        if (microsInt != micros) {
            throw new RuntimeException(""Integer overflow: "" + nanos);
        }
        return microsInt;
    }
}",2
"public class COMPARESIGNALLEVEL {

    public static int compareSignalLevel(int rssiA, int rssiB) {
        return rssiA - rssiB;
    }
}",1
"public class Maxoutputsize {

        public int maxoutputsize(int len) {
            return len * 3/4 + 10;
        }
}",1
"public class Maxoutputsize {

        public int maxoutputsize(int len) {
            return len * 8/5 + 10;
        }
}",1
"public class PLACEITEM {

    protected int placeItem(int offset) {
        return offset + 32;
    }
}",1
"public class PLACEITEM {

    protected int placeItem(int offset) {
        return offset + 8;
    }
}",1
"public class PLACEITEM {

    protected int placeItem(int offset) {
        return offset + 8;
    }
}",1
"public class PLACEITEM {

    protected int placeItem(int offset) {
        return offset + 12;
    }
}",1
"public class PLACEITEM {

    protected int placeItem(int offset) {
        return offset + 4;
    }
}",1
"public class PLACEITEM {

    protected int placeItem(int offset) {
        return offset + 4;
    }
}",1
"public class Placevalue {

    public int placevalue(int offset) {
        return offset + 1;
    }
}",1
"public class Placevalue {

    public int placevalue(int offset) {
        return offset + 2;
    }
}",1
"public class Placevalue {

    public int placevalue(int offset) {
        return offset + 1;
    }
}",1
"public class UNSIGNEDLEB128SIZE {

    public static int unsignedLeb128Size(int value) {
        // TODO: This could be much cleverer.

        int remaining = value >>> 7;
        int count = 0;

        while (remaining != 0) {
            value = remaining;
            remaining >>>= 7;
            count++;
        }

        return count + 1;
    }
}",2
"public class SIGNEDLEB128SIZE {

    public static int signedLeb128Size(int value) {
        // TODO: This could be much cleverer.

        int remaining = value >> 7;
        int count = 0;
        boolean hasMore = true;
        int end = ((value & Integer.MIN_VALUE) == 0) ? 0 : -1;

        while (hasMore) {
            hasMore = (remaining != end)
                || ((remaining & 1) != ((value >> 6) & 1));

            value = remaining;
            remaining >>= 7;
            count++;
        }

        return count;
    }
}",3
"public class DECODEHIGHSIGNEDNIBBLE {

    public static byte decodeHighSignedNibble(byte b) {
        return (byte)(b >> 4);
    }
}",1
"public class DECODELOWSIGNEDNIBBLE {

    public static byte decodeLowSignedNibble(byte b) {
        return (byte)(((byte)(b << 4)) >> 4);
    }
}",1
"public class DECODEHIGHUNSIGNEDNIBBLE {

    public static byte decodeHighUnsignedNibble(byte b) {
        return (byte)((b & 0xFF) >>> 4);
    }
}",1
"public class DECODELOWUNSIGNEDNIBBLE {

    public static byte decodeLowUnsignedNibble(byte b) {
        return (byte)(b & 0x0F);
    }
}",1
"public class DECODEUNSIGNEDBYTE {

    public static short decodeUnsignedByte(byte b) {
        return (short)(b & 0xFF);
    }
}",1
"public class DECODESHORT {

    public static short decodeShort(byte lsb, byte msb) {
        return (short)
               (    (lsb & 0xFF) |
                    (msb << 8)
               );
    }
}",1
"public class DECODEUNSIGNEDSHORT {

    public static int decodeUnsignedShort(byte lsb, byte msb) {
        return  (   (lsb & 0xFF) |
                    ((msb & 0xFF) << 8)
                );
    }
}",1
"public class DECODEINT {

    public static int decodeInt(byte lsb, byte mlsb, byte mmsb, byte msb) {
        return (lsb & 0xFF) |
               ((mlsb & 0xFF) << 8) |
               ((mmsb & 0xFF) << 16) |
               (msb << 24);
    }
}",1
"public class DECODELONG {

    public static long decodeLong(byte llsb, byte lmlsb, byte lmmsb, byte lgsb, byte glsb, byte gmlsb, byte gmmsb,
                                  byte gmsb) {
        return  (llsb   & 0xFFL) |
                ((lmlsb & 0xFFL) << 8) |
                ((lmmsb & 0xFFL) << 16) |
                ((lgsb  & 0xFFL) << 24) |
                ((glsb  & 0xFFL) << 32) |
                ((gmlsb & 0xFFL) << 40) |
                ((gmmsb & 0xFFL) << 48) |
                (((long)gmsb) << 56);
    }
}",1
"public class COMPARE {

  public static int compare(byte b1, byte b2) {
    if (b1 < b2) {
      return -1;
    } else if (b2 < b1) {
      return 1;
    }
    return 0;
  }
}",3
"public class COMPAREUNSIGNED {

  public static int compareUnsigned(int b1, int b2) {
    return (b1 & 0xFF) - (b2 & 0xFF);
  }
}",1
"public class COMPARE {

  public static int compare(long l1, long l2) {
    if (l1 < l2) {
      return -1;
    } else if (l2 < l1) {
      return 1;
    }
    return 0;
  }
}",3
"public class NEXTPOWOFTWO {

  public static int nextPowOfTwo(int expected) {
    int value = 1;
    while (value < expected) {
      value <<= 1;
    }
    return value;
  }
}",2
"public class ISUNDEFINED {

  public static boolean isUndefined(double value) {
    return Double.isNaN(value) || Double.isInfinite(value);
  }
}",2
"public class ISUNDEFINED {

  public static boolean isUndefined(float value) {
    return Float.isNaN(value) || Float.isInfinite(value);
  }
}",2
"public class GETHEXCHAR {

    private static char getHexChar(
        byte    value)
    {
        switch (value)
        {
        case 0:
            return '0';
        case 1:
            return '1';
        case 2:
            return '2';
        case 3:
            return '3';
        case 4:
            return '4';
        case 5:
            return '5';
        case 6:
            return '6';
        case 7:
            return '7';
        case 8:
            return '8';
        case 9:
            return '9';
        case 10:
            return 'a';
        case 11:
            return 'b';
        case 12:
            return 'c';
        case 13:
            return 'd';
        case 14:
            return 'e';
        case 15:
            return 'f';
        default:
            return 'Z';
        }
    }
}",2
