Parameter,Function,Test Case,cyclomatic_complexity
(int value),"public class ToString {
public static String toString(int value) {
        if (value == 0) {
            return ""0"";
        }

        int count = 2, j = value;
        boolean negative = value < 0;
        if (!negative) {
            count = 1;
            j = -value;
        }
        while ((value /= 10) != 0) {
            count++;
        }

        char[] buffer = new char[count];
        do {
            int ch = 0 - (j % 10);
            ch += '0';
            buffer[--count] = (char) ch;
        } while ((j /= 10) != 0);
        if (negative) {
            buffer[0] = '-';
        }
        return new String(buffer);
    }
}","@Test public void test_toString2() {
        // Test for method java.lang.String java.lang.IntegerUtil.toString()

        assertEquals(""Returned incorrect String"", ""-80001"", Integers.toString(-80001));
    }",6
(int i),"public class ToBinaryString {
public static String toBinaryString(int i) {
        int count = 1, j = i;

        if (i < 0) {
            count = 32;
        } else {
            while ((j = j >>> 1) != 0) {
                count++;
            }
        }

        char[] buffer = new char[count];
        do {
            buffer[--count] = (char) ((i & 1) + '0');
            i = i >>> 1;
        } while (count > 0);
        return new String(buffer);
    }
}","@Test public void test_toBinaryStringI() {
        // Test for method java.lang.String
        // java.lang.Integer.toBinaryString(int)
        assertEquals(""Incorrect string returned"", ""11"", Integers.toBinaryString(3));
        assertEquals(""Incorrect string returned"", ""1111111111111111111111111111111"",
                Integers.toBinaryString(Integers.MAX_VALUE));
        assertEquals(""Incorrect string returned"", ""10000000000000000000000000000000"",
                Integers.toBinaryString(Integers.MIN_VALUE));
    }",4
(int value),"public class ToString {
public static String toString(int value) {
        if (value == 0) {
            return ""0"";
        }

        int count = 2, j = value;
        boolean negative = value < 0;
        if (!negative) {
            count = 1;
            j = -value;
        }
        while ((value /= 10) != 0) {
            count++;
        }

        char[] buffer = new char[count];
        do {
            int ch = 0 - (j % 10);
            ch += '0';
            buffer[--count] = (char) ch;
        } while ((j /= 10) != 0);
        if (negative) {
            buffer[0] = '-';
        }
        return new String(buffer);
    }
}","@Test public void test_toStringI2() {
        // Test for method java.lang.String java.lang.IntegerUtil.toString(int)

        assertEquals(""Returned incorrect String"", ""-80765"", Integers.toString(-80765));
        assertEquals(""Returned incorrect string"", ""2147483647"", Integers.toString(Integers.MAX_VALUE));
        assertEquals(""Returned incorrect string"", ""-2147483647"", Integers.toString(-Integers.MAX_VALUE));
        assertEquals(""Returned incorrect string"", ""-2147483648"", Integers.toString(Integers.MIN_VALUE));

        // Test for HARMONY-6068
        assertEquals(""Returned incorrect String"", ""-1000"", Integers.toString(-1000));
        assertEquals(""Returned incorrect String"", ""1000"", Integers.toString(1000));
        assertEquals(""Returned incorrect String"", ""0"", Integers.toString(0));
        assertEquals(""Returned incorrect String"", ""708"", Integers.toString(708));
        assertEquals(""Returned incorrect String"", ""-100"", Integers.toString(-100));
        assertEquals(""Returned incorrect String"", ""-1000000008"", Integers.toString(-1000000008));
        assertEquals(""Returned incorrect String"", ""2000000008"", Integers.toString(2000000008));
    }",6
(int value),"public class ToString {
public static String toString(int value) {
        if (value == 0) {
            return ""0"";
        }

        int count = 2, j = value;
        boolean negative = value < 0;
        if (!negative) {
            count = 1;
            j = -value;
        }
        while ((value /= 10) != 0) {
            count++;
        }

        char[] buffer = new char[count];
        do {
            int ch = 0 - (j % 10);
            ch += '0';
            buffer[--count] = (char) ch;
        } while ((j /= 10) != 0);
        if (negative) {
            buffer[0] = '-';
        }
        return new String(buffer);
    }
}","@Test public void test_toStringI() {
        assertEquals(""-1"", Integers.toString(-1));
        assertEquals(""0"", Integers.toString(0));
        assertEquals(""1"", Integers.toString(1));
        assertEquals(""-1"", Integers.toString(0xFFFFFFFF));
    }",6
(int i),"public class HighestOneBit {
public static int highestOneBit(int i) {
        i |= (i >> 1);
        i |= (i >> 2);
        i |= (i >> 4);
        i |= (i >> 8);
        i |= (i >> 16);
        return (i & ~(i >>> 1));
    }
}","@Test public void test_highestOneBitI() {
        assertEquals(0x08, Integers.highestOneBit(0x0A));
        assertEquals(0x08, Integers.highestOneBit(0x0B));
        assertEquals(0x08, Integers.highestOneBit(0x0C));
        assertEquals(0x08, Integers.highestOneBit(0x0F));
        assertEquals(0x80, Integers.highestOneBit(0xFF));

        assertEquals(0x080000, Integers.highestOneBit(0x0F1234));
        assertEquals(0x800000, Integers.highestOneBit(0xFF9977));

        assertEquals(0x80000000, Integers.highestOneBit(0xFFFFFFFF));

        assertEquals(0, Integers.highestOneBit(0));
        assertEquals(1, Integers.highestOneBit(1));
        assertEquals(0x80000000, Integers.highestOneBit(-1));
    }",1
(int i),"public class LowestOneBit {
public static int lowestOneBit(int i) {
        return (i & (-i));
    }
}","@Test public void test_lowestOneBitI() {
        assertEquals(0x10, Integers.lowestOneBit(0xF0));

        assertEquals(0x10, Integers.lowestOneBit(0x90));
        assertEquals(0x10, Integers.lowestOneBit(0xD0));

        assertEquals(0x10, Integers.lowestOneBit(0x123490));
        assertEquals(0x10, Integers.lowestOneBit(0x1234D0));

        assertEquals(0x100000, Integers.lowestOneBit(0x900000));
        assertEquals(0x100000, Integers.lowestOneBit(0xD00000));

        assertEquals(0x40, Integers.lowestOneBit(0x40));
        assertEquals(0x40, Integers.lowestOneBit(0xC0));

        assertEquals(0x4000, Integers.lowestOneBit(0x4000));
        assertEquals(0x4000, Integers.lowestOneBit(0xC000));

        assertEquals(0x4000, Integers.lowestOneBit(0x99994000));
        assertEquals(0x4000, Integers.lowestOneBit(0x9999C000));

        assertEquals(0, Integers.lowestOneBit(0));
        assertEquals(1, Integers.lowestOneBit(1));
        assertEquals(1, Integers.lowestOneBit(-1));
    }",1
(int i),"public class ReverseBytes {
public static int reverseBytes(int i) {
        int b3 = i >>> 24;
        int b2 = (i >>> 8) & 0xFF00;
        int b1 = (i & 0xFF00) << 8;
        int b0 = i << 24;
        return (b0 | b1 | b2 | b3);
    }
}","@Test public void test_reverseBytesI() {
        assertEquals(0xAABBCCDD, Integers.reverseBytes(0xDDCCBBAA));
        assertEquals(0x11223344, Integers.reverseBytes(0x44332211));
        assertEquals(0x00112233, Integers.reverseBytes(0x33221100));
        assertEquals(0x20000002, Integers.reverseBytes(0x02000020));
    }",1
"(int i, int distance)","public class RotateLeft {
public static int rotateLeft(int i, int distance) {
        if (distance == 0) {
            return i;
        }
        /*
         * According to JLS3, 15.19, the right operand of a shift is always
         * implicitly masked with 0x1F, which the negation of 'distance' is
         * taking advantage of.
         */
        return ((i << distance) | (i >>> (-distance)));
    }
}","@Test public void test_rotateLeftII() {
        assertEquals(0xF, Integers.rotateLeft(0xF, 0));
        assertEquals(0xF0, Integers.rotateLeft(0xF, 4));
        assertEquals(0xF00, Integers.rotateLeft(0xF, 8));
        assertEquals(0xF000, Integers.rotateLeft(0xF, 12));
        assertEquals(0xF0000, Integers.rotateLeft(0xF, 16));
        assertEquals(0xF00000, Integers.rotateLeft(0xF, 20));
        assertEquals(0xF000000, Integers.rotateLeft(0xF, 24));
        assertEquals(0xF0000000, Integers.rotateLeft(0xF, 28));
        assertEquals(0xF0000000, Integers.rotateLeft(0xF0000000, 32));
    }",2
"(int i, int distance)","public class RotateRight {
public static int rotateRight(int i, int distance) {
        if (distance == 0) {
            return i;
        }
        /*
         * According to JLS3, 15.19, the right operand of a shift is always
         * implicitly masked with 0x1F, which the negation of 'distance' is
         * taking advantage of.
         */
        return ((i >>> distance) | (i << (-distance)));
    }
}","@Test public void test_rotateRightII() {
        assertEquals(0xF, Integers.rotateRight(0xF0, 4));
        assertEquals(0xF, Integers.rotateRight(0xF00, 8));
        assertEquals(0xF, Integers.rotateRight(0xF000, 12));
        assertEquals(0xF, Integers.rotateRight(0xF0000, 16));
        assertEquals(0xF, Integers.rotateRight(0xF00000, 20));
        assertEquals(0xF, Integers.rotateRight(0xF000000, 24));
        assertEquals(0xF, Integers.rotateRight(0xF0000000, 28));
        assertEquals(0xF0000000, Integers.rotateRight(0xF0000000, 32));
        assertEquals(0xF0000000, Integers.rotateRight(0xF0000000, 0));
    }",2
(int i),"public class BitCount {
public static int bitCount(int i) {
        i -= ((i >> 1) & 0x55555555);
        i = (i & 0x33333333) + ((i >> 2) & 0x33333333);
        i = (((i >> 4) + i) & 0x0F0F0F0F);
        i += (i >> 8);
        i += (i >> 16);
        return (i & 0x0000003F);
    }
}","@Test public void test_bitCountI() {
        assertEquals(0, Integers.bitCount(0x0));
        assertEquals(1, Integers.bitCount(0x1));
        assertEquals(1, Integers.bitCount(0x2));
        assertEquals(2, Integers.bitCount(0x3));
        assertEquals(1, Integers.bitCount(0x4));
        assertEquals(2, Integers.bitCount(0x5));
        assertEquals(2, Integers.bitCount(0x6));
        assertEquals(3, Integers.bitCount(0x7));
        assertEquals(1, Integers.bitCount(0x8));
        assertEquals(2, Integers.bitCount(0x9));
        assertEquals(2, Integers.bitCount(0xA));
        assertEquals(3, Integers.bitCount(0xB));
        assertEquals(2, Integers.bitCount(0xC));
        assertEquals(3, Integers.bitCount(0xD));
        assertEquals(3, Integers.bitCount(0xE));
        assertEquals(4, Integers.bitCount(0xF));

        assertEquals(8, Integers.bitCount(0xFF));
        assertEquals(12, Integers.bitCount(0xFFF));
        assertEquals(16, Integers.bitCount(0xFFFF));
        assertEquals(20, Integers.bitCount(0xFFFFF));
        assertEquals(24, Integers.bitCount(0xFFFFFF));
        assertEquals(28, Integers.bitCount(0xFFFFFFF));
        assertEquals(32, Integers.bitCount(0xFFFFFFFF));
    }",1
(long l),"public class ToHexString {
public static String toHexString(long l) {
        int count = 1;
        long j = l;

        if (l < 0) {
            count = 16;
        } else {
            while ((j >>= 4) != 0) {
                count++;
            }
        }

        char[] buffer = new char[count];
        do {
            int t = (int) (l & 15);
            if (t > 9) {
                t = t - 10 + 'a';
            } else {
                t += '0';
            }
            buffer[--count] = (char) t;
            l >>= 4;
        } while (count > 0);
        return new String(buffer);
    }
}","@Test public void test_toHexStringJ() {
        assertEquals(""Incorrect hex string returned"", ""54e0845"", Longs.toHexString(89000005L));
        assertEquals(""Incorrect hex string returned"", ""8000000000000000"", Longs.toHexString(Longs.MIN_VALUE));
        assertEquals(""Incorrect hex string returned"", ""7fffffffffffffff"", Longs.toHexString(Longs.MAX_VALUE));
    }",5
(long l),"public class ToBinaryString {
public static String toBinaryString(long l) {
        int count = 1;
        long j = l;

        if (l < 0) {
            count = 64;
        } else {
            while ((j >>= 1) != 0) {
                count++;
            }
        }

        char[] buffer = new char[count];
        do {
            buffer[--count] = (char) ((l & 1) + '0');
            l >>= 1;
        } while (count > 0);
        return new String(buffer);
    }
}","@Test public void test_toBinaryStringJ() {
        // Test for method java.lang.String java.lang.Long.toBinaryString(long)
        assertEquals(""Incorrect binary string returned"", ""11011001010010010000"",
                Longs.toBinaryString(890000L));
        assertEquals(""Incorrect binary string returned"",
                ""1000000000000000000000000000000000000000000000000000000000000000"",
                Longs.toBinaryString(Longs.MIN_VALUE)
        );
        assertEquals(""Incorrect binary string returned"",
                ""111111111111111111111111111111111111111111111111111111111111111"",
                Longs.toBinaryString(Longs.MAX_VALUE)
        );
    }",4
(long l),"public class ToString {
public static String toString(long l) {
        if (l == 0) {
            return ""0"";
        }

        int count = 2;
        long j = l;
        boolean negative = l < 0;
        if (!negative) {
            count = 1;
            j = -l;
        }
        while ((l /= 10) != 0) {
            count++;
        }

        char[] buffer = new char[count];
        do {
            int ch = 0 - (int) (j % 10);
            ch += '0';
            buffer[--count] = (char) ch;
        } while ((j /= 10) != 0);
        if (negative) {
            buffer[0] = '-';
        }
        return new String(buffer);
    }
}","@Test public void test_toStringJ2() {
        assertEquals(""Returned incorrect String"", ""89000000005"", Longs.toString(89000000005L));
        assertEquals(""Returned incorrect String"", ""-9223372036854775808"", Longs.toString(Longs.MIN_VALUE));
        assertEquals(""Returned incorrect String"", ""9223372036854775807"", Longs.toString(Longs.MAX_VALUE));
    }",6
(long lng),"public class BitCount {
public static int bitCount(long lng) {
        lng = (lng & 0x5555555555555555L) + ((lng >> 1) & 0x5555555555555555L);
        lng = (lng & 0x3333333333333333L) + ((lng >> 2) & 0x3333333333333333L);
        // adjust for 64-bit integer
        int i = (int) ((lng >>> 32) + lng);
        i = (i & 0x0F0F0F0F) + ((i >> 4) & 0x0F0F0F0F);
        i = (i & 0x00FF00FF) + ((i >> 8) & 0x00FF00FF);
        i = (i & 0x0000FFFF) + ((i >> 16) & 0x0000FFFF);
        return i;
    }
}","@Test public void test_bitCountJ() {
        assertEquals(0, Longs.bitCount(0x0));
        assertEquals(1, Longs.bitCount(0x1));
        assertEquals(1, Longs.bitCount(0x2));
        assertEquals(2, Longs.bitCount(0x3));
        assertEquals(1, Longs.bitCount(0x4));
        assertEquals(2, Longs.bitCount(0x5));
        assertEquals(2, Longs.bitCount(0x6));
        assertEquals(3, Longs.bitCount(0x7));
        assertEquals(1, Longs.bitCount(0x8));
        assertEquals(2, Longs.bitCount(0x9));
        assertEquals(2, Longs.bitCount(0xA));
        assertEquals(3, Longs.bitCount(0xB));
        assertEquals(2, Longs.bitCount(0xC));
        assertEquals(3, Longs.bitCount(0xD));
        assertEquals(3, Longs.bitCount(0xE));
        assertEquals(4, Longs.bitCount(0xF));

        assertEquals(8, Longs.bitCount(0xFF));
        assertEquals(12, Longs.bitCount(0xFFF));
        assertEquals(16, Longs.bitCount(0xFFFF));
        assertEquals(20, Longs.bitCount(0xFFFFF));
        assertEquals(24, Longs.bitCount(0xFFFFFF));
        assertEquals(28, Longs.bitCount(0xFFFFFFF));
        assertEquals(64, Longs.bitCount(0xFFFFFFFFFFFFFFFFL));
    }",1
(long l),"public class ToString {
public static String toString(long l) {
        if (l == 0) {
            return ""0"";
        }

        int count = 2;
        long j = l;
        boolean negative = l < 0;
        if (!negative) {
            count = 1;
            j = -l;
        }
        while ((l /= 10) != 0) {
            count++;
        }

        char[] buffer = new char[count];
        do {
            int ch = 0 - (int) (j % 10);
            ch += '0';
            buffer[--count] = (char) ch;
        } while ((j /= 10) != 0);
        if (negative) {
            buffer[0] = '-';
        }
        return new String(buffer);
    }
}","@Test public void test_toStringJI() {
        // Test for method java.lang.String java.lang.LongUtil.toString(long, int)
        assertEquals(""Returned incorrect dec string"", ""100000000"", Longs.toString(100000000L));
        assertEquals(""Returned incorrect min string"", ""-9223372036854775808"", Longs.toString(0x8000000000000000L));
        assertEquals(""Returned incorrect max string"", ""9223372036854775807"", Longs.toString(0x7fffffffffffffffL));
    }",6
(long lng),"public class HighestOneBit {
public static long highestOneBit(long lng) {
        lng |= (lng >> 1);
        lng |= (lng >> 2);
        lng |= (lng >> 4);
        lng |= (lng >> 8);
        lng |= (lng >> 16);
        lng |= (lng >> 32);
        return (lng & ~(lng >>> 1));
    }
}","@Test public void test_highestOneBitJ() {
        assertEquals(0x08, Longs.highestOneBit(0x0A));
        assertEquals(0x08, Longs.highestOneBit(0x0B));
        assertEquals(0x08, Longs.highestOneBit(0x0C));
        assertEquals(0x08, Longs.highestOneBit(0x0F));
        assertEquals(0x80, Longs.highestOneBit(0xFF));

        assertEquals(0x080000, Longs.highestOneBit(0x0F1234));
        assertEquals(0x800000, Longs.highestOneBit(0xFF9977));

        assertEquals(0x8000000000000000L, Longs.highestOneBit(0xFFFFFFFFFFFFFFFFL));

        assertEquals(0, Longs.highestOneBit(0));
        assertEquals(1, Longs.highestOneBit(1));
        assertEquals(0x8000000000000000L, Longs.highestOneBit(-1));
    }",1
(long l),"public class ToString {
public static String toString(long l) {
        if (l == 0) {
            return ""0"";
        }

        int count = 2;
        long j = l;
        boolean negative = l < 0;
        if (!negative) {
            count = 1;
            j = -l;
        }
        while ((l /= 10) != 0) {
            count++;
        }

        char[] buffer = new char[count];
        do {
            int ch = 0 - (int) (j % 10);
            ch += '0';
            buffer[--count] = (char) ch;
        } while ((j /= 10) != 0);
        if (negative) {
            buffer[0] = '-';
        }
        return new String(buffer);
    }
}","@Test public void test_toStringJ() {
        assertEquals(""-1"", Longs.toString(-1));
        assertEquals(""0"", Longs.toString(0));
        assertEquals(""1"", Longs.toString(1));
        assertEquals(""-1"", Longs.toString(0xFFFFFFFF));
    }",6
"(long lng, int distance)","public class RotateRight {
public static long rotateRight(long lng, int distance) {
        if (distance == 0) {
            return lng;
        }
        /*
         * According to JLS3, 15.19, the right operand of a shift is always
         * implicitly masked with 0x3F, which the negation of 'distance' is
         * taking advantage of.
         */
        return ((lng >>> distance) | (lng << (-distance)));
    }
}","@Test public void test_rotateRightJI() {
        assertEquals(0xF, Longs.rotateRight(0xF0, 4));
        assertEquals(0xF, Longs.rotateRight(0xF00, 8));
        assertEquals(0xF, Longs.rotateRight(0xF000, 12));
        assertEquals(0xF, Longs.rotateRight(0xF0000, 16));
        assertEquals(0xF, Longs.rotateRight(0xF00000, 20));
        assertEquals(0xF, Longs.rotateRight(0xF000000, 24));
        assertEquals(0xF, Longs.rotateRight(0xF0000000L, 28));
        assertEquals(0xF000000000000000L, Longs.rotateRight(0xF000000000000000L, 64));
        assertEquals(0xF000000000000000L, Longs.rotateRight(0xF000000000000000L, 0));

    }",2
(long lng),"public class LowestOneBit {
public static long lowestOneBit(long lng) {
        return (lng & (-lng));
    }
}","@Test public void test_lowestOneBitJ() {
        assertEquals(0x10, Longs.lowestOneBit(0xF0));

        assertEquals(0x10, Longs.lowestOneBit(0x90));
        assertEquals(0x10, Longs.lowestOneBit(0xD0));

        assertEquals(0x10, Longs.lowestOneBit(0x123490));
        assertEquals(0x10, Longs.lowestOneBit(0x1234D0));

        assertEquals(0x100000, Longs.lowestOneBit(0x900000));
        assertEquals(0x100000, Longs.lowestOneBit(0xD00000));

        assertEquals(0x40, Longs.lowestOneBit(0x40));
        assertEquals(0x40, Longs.lowestOneBit(0xC0));

        assertEquals(0x4000, Longs.lowestOneBit(0x4000));
        assertEquals(0x4000, Longs.lowestOneBit(0xC000));

        assertEquals(0x4000, Longs.lowestOneBit(0x99994000));
        assertEquals(0x4000, Longs.lowestOneBit(0x9999C000));

        assertEquals(0, Longs.lowestOneBit(0));
        assertEquals(1, Longs.lowestOneBit(1));
        assertEquals(1, Longs.lowestOneBit(-1));
    }",1
"(long lng, int distance)","public class RotateLeft {
public static long rotateLeft(long lng, int distance) {
        if (distance == 0) {
            return lng;
        }
        /*
         * According to JLS3, 15.19, the right operand of a shift is always
         * implicitly masked with 0x3F, which the negation of 'distance' is
         * taking advantage of.
         */
        return ((lng << distance) | (lng >>> (-distance)));
    }
}","@Test public void test_rotateLeftJI() {
        assertEquals(0xF, Longs.rotateLeft(0xF, 0));
        assertEquals(0xF0, Longs.rotateLeft(0xF, 4));
        assertEquals(0xF00, Longs.rotateLeft(0xF, 8));
        assertEquals(0xF000, Longs.rotateLeft(0xF, 12));
        assertEquals(0xF0000, Longs.rotateLeft(0xF, 16));
        assertEquals(0xF00000, Longs.rotateLeft(0xF, 20));
        assertEquals(0xF000000, Longs.rotateLeft(0xF, 24));
        assertEquals(0xF0000000L, Longs.rotateLeft(0xF, 28));
        assertEquals(0xF000000000000000L, Longs.rotateLeft(0xF000000000000000L, 64));
    }",2
(long lng),"public class ReverseBytes {
public static long reverseBytes(long lng) {
        long b7 = lng >>> 56;
        long b6 = (lng >>> 40) & 0xFF00L;
        long b5 = (lng >>> 24) & 0xFF0000L;
        long b4 = (lng >>> 8) & 0xFF000000L;
        long b3 = (lng & 0xFF000000L) << 8;
        long b2 = (lng & 0xFF0000L) << 24;
        long b1 = (lng & 0xFF00L) << 40;
        long b0 = lng << 56;
        return (b0 | b1 | b2 | b3 | b4 | b5 | b6 | b7);
    }
}","@Test public void test_reverseBytesJ() {
        assertEquals(0xAABBCCDD00112233L, Longs.reverseBytes(0x33221100DDCCBBAAL));
        assertEquals(0x1122334455667788L, Longs.reverseBytes(0x8877665544332211L));
        assertEquals(0x0011223344556677L, Longs.reverseBytes(0x7766554433221100L));
        assertEquals(0x2000000000000002L, Longs.reverseBytes(0x0200000000000020L));
    }",1
(long days),"public class DaysToMillis {
public static long daysToMillis(long days)
	{
		long daysInMillis = days * 24L * 60L * 60000L;
		return daysInMillis;
	}
}","@Test
	public void testDaysToMillis()
	{
		System.out.println(""daysToMillis"");
		long days = 1L;
		long expResult = 86400000L;
		long result = TimeUtil.daysToMillis(days);
		assertEquals(expResult, result);
	}",1
(int retryCount),"public class ValidateRetryCount {
public static void validateRetryCount(int retryCount) {
    if (retryCount < 0) {
      throw new IllegalArgumentException(""retryCount must be positive"");
    }
  }
}","@Test
  public void validateRetryCount() {
    assertThrows(IllegalArgumentException.class, () -> Validator.validateRetryCount(-1));
  }",2
(long delayInMilliSecs),"public class ValidateDelay {
public static void validateDelay(long delayInMilliSecs) {
    if (delayInMilliSecs < 0) {
      throw new IllegalArgumentException(""delayInMilliSecs must be positive"");
    }
  }
}","@Test
  public void validateDelay() {
    assertThrows(IllegalArgumentException.class, () -> Validator.validateDelay(-100L));
  }",2
(boolean expression),"public class CheckArgument {
public static void checkArgument(boolean expression) {
        if (!expression) {
            throw new IllegalArgumentException();
        }
    }
}","@Test
    public void testCheckArguments() {
        Preconditions.checkArgument(true);
        Preconditions.checkArgument(true, msgObject);
        Preconditions.checkArgument(true, ""one %s two %s"", msgObject, msgObject);
    }",2
(boolean expression),"public class CheckArgument {
public static void checkArgument(boolean expression) {
        if (!expression) {
            throw new IllegalArgumentException();
        }
    }
}","@Test(expected = IllegalArgumentException.class)
    public void testFalseCheckArguments() {
        Preconditions.checkArgument(false);
    }",2
(boolean expression),"public class CheckArgument {
public static void checkArgument(boolean expression) {
        if (!expression) {
            throw new IllegalArgumentException();
        }
    }
}","@Test(expected = IllegalArgumentException.class)
    public void testFalseCheckArgumentsSingleMsg() {
        Preconditions.checkArgument(false, msgObject);
    }",2
(boolean expression),"public class CheckState {
public static void checkState(boolean expression) {
        if (!expression) {
            throw new IllegalStateException();
        }
    }
}","@Test(expected = IllegalStateException.class)
    public void testFalseStateSingleMessage() {
        Preconditions.checkState(false, ""msg"");
    }",2
(boolean expression),"public class CheckState {
public static void checkState(boolean expression) {
        if (!expression) {
            throw new IllegalStateException();
        }
    }
}","@Test(expected = IllegalStateException.class)
    public void testFalseState() {
        Preconditions.checkState(false);
    }",2
(boolean expression),"public class CheckArgument {
public static void checkArgument(boolean expression) {
        if (!expression) {
            throw new IllegalArgumentException();
        }
    }
}","@Test(expected = IllegalArgumentException.class)
    public void testFalseCheckArgumentsMultiMessage() {
        Preconditions.checkArgument(false, ""one %s two %s"", msgObject, msgObject);
    }",2
(boolean expression),"public class CheckState {
public static void checkState(boolean expression) {
        if (!expression) {
            throw new IllegalStateException();
        }
    }
}","@Test(expected = IllegalStateException.class)
    public void testFalseStateMultiMessage() {
        Preconditions.checkState(false, "" one %s two %s"", msgObject, msgObject);
    }",2
(boolean expression),"public class CheckState {
public static void checkState(boolean expression) {
        if (!expression) {
            throw new IllegalStateException();
        }
    }
}","@Test
    public void testStates() {
        Preconditions.checkState(true);
        Preconditions.checkState(true, ""msg"");
        Preconditions.checkState(true, "" one %s two %s"", msgObject, msgObject);
    }",2
(boolean expression),"public class CheckArgument {
public static void checkArgument(boolean expression) {
        if (!expression) {
            throw new IllegalArgumentException();
        }
    }
}","@Test(expected = IllegalArgumentException.class)
    public void testFalseCheckArguments() {
        Preconditions.checkArgument(false);
    }",2
(boolean expression),"public class CheckArgument {
public static void checkArgument(boolean expression) {
        if (!expression) {
            throw new IllegalArgumentException();
        }
    }
}","@Test
    public void testCheckArguments() {
        Preconditions.checkArgument(true);
        Preconditions.checkArgument(true, msgObject);
        Preconditions
                .checkArgument(true, ""one %s two %s"", msgObject, msgObject);
    }",2
(boolean expression),"public class CheckArgument {
public static void checkArgument(boolean expression) {
        if (!expression) {
            throw new IllegalArgumentException();
        }
    }
}","@Test(expected = IllegalArgumentException.class)
    public void testFalseCheckArgumentsMultiMessage() {
        Preconditions
                .checkArgument(false, ""one %s two %s"", msgObject, msgObject);
    }",2
(boolean expression),"public class CheckArgument {
public static void checkArgument(boolean expression) {
        if (!expression) {
            throw new IllegalArgumentException();
        }
    }
}","@Test(expected = IllegalArgumentException.class)
    public void testFalseCheckArgumentsSingleMsg() {
        Preconditions.checkArgument(false, msgObject);
    }",2
(boolean expression),"public class CheckState {
public static void checkState(boolean expression) {
        if (!expression) {
            throw new IllegalStateException();
        }
    }
}","@Test(expected = IllegalStateException.class)
    public void testFalseState() {
        Preconditions.checkState(false);
    }",2
(boolean expression),"public class CheckState {
public static void checkState(boolean expression) {
        if (!expression) {
            throw new IllegalStateException();
        }
    }
}","@Test
    public void testStates() {
        Preconditions.checkState(true);
        Preconditions.checkState(true, ""msg"");
        Preconditions.checkState(true, "" one %s two %s"", msgObject, msgObject);
    }",2
(boolean expression),"public class CheckState {
public static void checkState(boolean expression) {
        if (!expression) {
            throw new IllegalStateException();
        }
    }
}","@Test(expected = IllegalStateException.class)
    public void testFalseStateMultiMessage() {
        Preconditions.checkState(false, "" one %s two %s"", msgObject, msgObject);
    }",2
(boolean expression),"public class CheckState {
public static void checkState(boolean expression) {
        if (!expression) {
            throw new IllegalStateException();
        }
    }
}","@Test(expected = IllegalStateException.class)
    public void testFalseStateSingleMessage() {
        Preconditions.checkState(false, ""msg"");
    }",2
(double value),"public class CeilLong {
public static long ceilLong(double value) {
        return (long) Math.ceil(value);
    }
}","@Test
    public void testCeilLong() throws Exception {
        assertThat(MathExt.ceilLong(0.0), is(0L));
        assertThat(MathExt.ceilLong(1.0), is(1L));
        assertThat(MathExt.ceilLong(1.5), is(2L));
        assertThat(MathExt.ceilLong(1.9), is(2L));
        assertThat(MathExt.ceilLong(2.0), is(2L));
        assertThat(MathExt.ceilLong(2.5), is(3L));
        assertThat(MathExt.ceilLong(2.9), is(3L));
    }",1
(double value),"public class FloorLong {
public static long floorLong(double value) {
        return (long) Math.floor(value);
    }
}","@Test
    public void testFloorLong() throws Exception {
        assertThat(MathExt.floorLong(0.0), is(0L));
        assertThat(MathExt.floorLong(1.0), is(1L));
        assertThat(MathExt.floorLong(1.5), is(1L));
        assertThat(MathExt.floorLong(1.9), is(1L));
        assertThat(MathExt.floorLong(2.0), is(2L));
        assertThat(MathExt.floorLong(2.5), is(2L));
        assertThat(MathExt.floorLong(2.9), is(2L));
    }",1
(double value),"public class ConstrainLongitude360 {
public static double constrainLongitude360(double value) {
        double val = value % 360.0;
        return val < 0.0 ? val + 360.0 : val;
    }
}","@Test
    public void constrainLongitude360() {
        assertEquals(0, GISUtils.constrainLongitude360(-360), 1e-8);
        assertEquals(90, GISUtils.constrainLongitude360(-270), 1e-8);
        assertEquals(180, GISUtils.constrainLongitude360(-180), 1e-8);
        assertEquals(270, GISUtils.constrainLongitude360(-90), 1e-8);
        assertEquals(0, GISUtils.constrainLongitude360(-0), 1e-8);
        assertEquals(0, GISUtils.constrainLongitude360(0), 1e-8);
        assertEquals(90, GISUtils.constrainLongitude360(90), 1e-8);
        assertEquals(180, GISUtils.constrainLongitude360(180), 1e-8);
        assertEquals(270, GISUtils.constrainLongitude360(270), 1e-8);
        assertEquals(0, GISUtils.constrainLongitude360(360), 1e-8);
        assertEquals(90, GISUtils.constrainLongitude360(450), 1e-8);
        assertEquals(180, GISUtils.constrainLongitude360(540), 1e-8);
        assertEquals(270, GISUtils.constrainLongitude360(630), 1e-8);
        assertEquals(0, GISUtils.constrainLongitude360(720), 1e-8);
    }",1
