"Function","cyclomatic_complexity"
"public class Onmove {

    public boolean onmove(int oldPosition, int newPosition) {
        return true;
    }
}","1"
"public class Getaltitude {

   public static float getaltitude(float p0, float p) {
        final float coef = 1.0f / 5.255f;
        return 44330.0f * (1.0f - (float)Math.pow(p/p0, coef));
    }
}","1"
"public class Setpsrtprogramtype {

   public boolean setpsrtprogramtype(int pty){
      boolean bStatus = false;

      return bStatus;
   }
}","1"
"public class Transmitrdsgroupcontrol {

   public boolean transmitrdsgroupcontrol(int ctrlCmd){
      boolean bStatus = false;

      return bStatus;
   }
}","1"
"public class Isstatussuccess {

    public static boolean isstatussuccess(int status) {
        return (status >= 200 && status < 300);
    }
}","2"
"public class Isstatuserror {

    public static boolean isstatuserror(int status) {
        return (status >= 400 && status < 600);
    }
}","2"
"public class Requestroutetohost {

    public boolean requestroutetohost(int hostAddress) {
        return false;
    }
}","1"
"public class Iswhitespace {

        public boolean iswhitespace(char c) {
            switch(c) {
            case ' ':
            case '\t':
            case '\f':
            case '\n':
            case '\r':
            case 11: /* VT */
                return true;
            default:
                return false;
            }
        }
}","2"
"public class Decodehexdigit {
        protected int decodehexdigit(char c) {
        if (c >= '0' && c <= '9') {
            return c - '0';
        }
        else if (c >= 'A' && c <= 'F') {
            return c - 'A' + 10;
        }
        else if (c >= 'a' && c <= 'f') {
            return c - 'a' + 10;
        }
        else {
            return -1;
        }
    }
}","7"
"public class Sectortoblock {

    public int sectortoblock(int sectorIndex) {
        if (sectorIndex < 32) {
            return sectorIndex * 4;
        } else {
            return 32 * 4 + (sectorIndex - 32) * 16;
        }
    }
}","2"
"public class Isstatusinformational {

    public static boolean isstatusinformational(int status) {
        return (status >= 100 && status < 200);
    }
}","2"
"public class Isstatusclienterror {

    public static boolean isstatusclienterror(int status) {
        return (status >= 400 && status < 500);
    }
}","2"
"public class Isstatusservererror {

    public static boolean isstatusservererror(int status) {
        return (status >= 500 && status < 600);
    }
}","2"
"public class Isstatuscompleted {

    public static boolean isstatuscompleted(int status) {
        return (status >= 200 && status < 300) || (status >= 400 && status < 600);
    }
}","4"
"public class Isgraphic {

    public static boolean isgraphic(char c) {
        int gc = Character.getType(c);
        return     gc != Character.CONTROL
                && gc != Character.FORMAT
                && gc != Character.SURROGATE
                && gc != Character.UNASSIGNED
                && gc != Character.LINE_SEPARATOR
                && gc != Character.PARAGRAPH_SEPARATOR
                && gc != Character.SPACE_SEPARATOR;
    }
}","7"
"public class Isprintableascii {

    public static boolean isprintableascii(final char c) {
        final int asciiFirst = 0x20;
        final int asciiLast = 0x7E;  // included
        return (asciiFirst <= c && c <= asciiLast) || c == '\r' || c == '\n';
    }
}","4"
"public class Isrtlcharacter {

    public static boolean isrtlcharacter(char c) {
        //range of RTL characters per unicode specification
        return (c >= 0x0590 && c <= 0x05FF) ||
               (c >= 0xFB1D && c <= 0xFB4F) ||
               (c >= 0x0600 && c <= 0x07BF) ||
               (c >= 0xFB50 && c <= 0xFDFF) ||
               (c >= 0xFE70 && c <= 0xFEFE)    ;
    }
}","10"
"public class Isarabiccharacter {

    public static boolean isarabiccharacter(char c) {
        //range of Arabic characters per unicode specification
        return (c >= 0x0600 && c <= 0x06FF) ||
               (c >= 0x0750 && c <= 0x077F) ||
               (c >= 0xFB50 && c <= 0xFDFF) ||
               (c >= 0xFE70 && c <= 0xFEFE)    ;
    }
}","8"
"public class Maxoutputsize {

        public int maxoutputsize(int len) {
            return len * 3/4 + 10;
        }
}","1"
"public class Maxoutputsize {

        public int maxoutputsize(int len) {
            return len * 8/5 + 10;
        }
}","1"
"public class Getweighteddistancefor {

    int getWeightedDistanceFor(int majorAxisDistance, int minorAxisDistance) {
        return 13 * majorAxisDistance * majorAxisDistance
                + minorAxisDistance * minorAxisDistance;
    }
}","1"
"public class Onsetalpha {

    protected boolean onsetalpha(int alpha) {
        return false;
    }
}","1"
"public class Makemeasurespec {

        public static int makemeasurespec(int size, int mode) {
            return size + mode;
        }
}","1"
"public class Getchilddrawingorder {

    protected int getchilddrawingorder(int childCount, int i) {
        return i;
    }
}","1"
"public class Performcontextmenuaction {

    public boolean performcontextmenuaction(int id) {
        return false;
    }
}","1"
"public class Getitemid {

    public long getitemid(int position) {
        return position;
    }
}","1"
"public class Getcombinedchildid {

    public long getcombinedchildid(long groupId, long childId) {
        return 0x8000000000000000L | ((groupId & 0x7FFFFFFF) << 32) | (childId & 0xFFFFFFFF);
    }
}","1"
"public class Getcombinedgroupid {

    public long getcombinedgroupid(long groupId) {
        return (groupId & 0x7FFFFFFF) << 32;
    }
}","1"
"public class Getchildtype {

    public int getchildtype(int groupPosition, int childPosition) {
        return 0;
    }
}","1"
"public class Getgrouptype {

    public int getgrouptype(int groupPosition) {
        return 0;
    }
}","1"
"public class Gettopselectionpixel {

    public int gettopselectionpixel(int childrenTop, int fadingEdgeLength, int rowStart) {
        // first pixel we can draw the selection into
        int topSelectionPixel = childrenTop;
        if (rowStart > 0) {
            topSelectionPixel += fadingEdgeLength;
        }
        return topSelectionPixel;
    }
}","2"
"public class Measurenullchild {

    int measureNullChild(int childIndex) {
        return 0;
    }
}","1"
"public class Gettopselectionpixel {

    public int gettopselectionpixel(int childrenTop, int fadingEdgeLength, int selectedPosition) {
        // first pixel we can draw the selection into
        int topSelectionPixel = childrenTop;
        if (selectedPosition > 0) {
            topSelectionPixel += fadingEdgeLength;
        }
        return topSelectionPixel;
    }
}","2"
"public class Round {

    public static int round(float x) {
        long lx = (long)(x * (65536 * 256f));
        return (int)((lx + 0x800000) >> 24);
    }
}","1"
"public class Istokencharacter {

    protected static boolean istokencharacter(int ch) {
        
        if((ch < 33) || (ch > 126)) {
            return false;
        }

        switch(ch) {
            case '""': /* '""' */
            case '(': /* '(' */
            case ')': /* ')' */
            case ',': /* ',' */
            case '/': /* '/' */
            case ':': /* ':' */
            case ';': /* ';' */
            case '<': /* '<' */
            case '=': /* '=' */
            case '>': /* '>' */
            case '?': /* '?' */
            case '@': /* '@' */
            case '[': /* '[' */
            case '\\': /* '\' */
            case ']': /* ']' */
            case '{': /* '{' */
            case '}': /* '}' */
                return false;
        }

        return true;
    }
}","4"
"public class Istext {

    protected static boolean istext(int ch) {
        
        if(((ch >= 32) && (ch <= 126)) || ((ch >= 128) && (ch <= 255))) {
            return true;
        }

        switch(ch) {
            case '\t': /* '\t' */
            case '\n': /* '\n' */
            case '\r': /* '\r' */
                return true;
        }

        return false;
    }
}","6"
"public class Isdomainchar {

  public boolean isdomainchar(char c) {
    return c == '-' || Character.isLetter(c) || Character.isDigit(c);
  }
}","3"
"public class Ispunctuation {

  public static boolean ispunctuation(char ch) {
    switch (ch) {
      case '.': case ',': case '""': case ':': case ';':
      case '?': case '!': case '(': case ')':
        return true;

      default:
        return false;
    }
  }
}","2"
"public class Isformatchar {

  public static boolean isformatchar(char ch) {
    switch (ch) {
      case '*': case '_': case '^':
        return true;

      default:
        return false;
    }
  }
}","2"
"public class Dmethod {

    public int dmethod(int level) {
        int count = 0;
        if (level > 0) {
            count = dMethod(level - 1);
        }
        for (int ii = 0; ii < 100; ii++) {
            count += ii;
        }
        if (level == 0) {
            return count;
        }
        return dMethod(level - 1);
    }
}","4"
"public class Getitemviewtype {

    public int getitemviewtype(int position) {
        return 0;
    }
}","1"
"public class Alpha {

    public static int alpha(int color) {
        return color >>> 24;
    }
}","1"
"public class Red {

    public static int red(int color) {
        return (color >> 16) & 0xFF;
    }
}","1"
"public class Green {

    public static int green(int color) {
        return (color >> 8) & 0xFF;
    }
}","1"
"public class Blue {

    public static int blue(int color) {
        return color & 0xFF;
    }
}","1"
"public class Rgb {

    public static int rgb(int red, int green, int blue) {
        return (0xFF << 24) | (red << 16) | (green << 8) | blue;
    }
}","1"
"public class Argb {

    public static int argb(int alpha, int red, int green, int blue) {
        return (alpha << 24) | (red << 16) | (green << 8) | blue;
    }
}","1"
"public class Hue {

    public static float hue(int color) {
        int r = (color >> 16) & 0xFF;
        int g = (color >> 8) & 0xFF;
        int b = color & 0xFF;

        int V = Math.max(b, Math.max(r, g));
        int temp = Math.min(b, Math.min(r, g));

        float H;

        if (V == temp) {
            H = 0;
        } else {
            final float vtemp = (float) (V - temp);
            final float cr = (V - r) / vtemp;
            final float cg = (V - g) / vtemp;
            final float cb = (V - b) / vtemp;

            if (r == V) {
                H = cb - cg;
            } else if (g == V) {
                H = 2 + cr - cb;
            } else {
                H = 4 + cg - cr;
            }

            H /= 6.f;
            if (H < 0) {
                H++;
            }
        }

        return H;
    }
}","5"
"public class Saturation {

    public static float saturation(int color) {
        int r = (color >> 16) & 0xFF;
        int g = (color >> 8) & 0xFF;
        int b = color & 0xFF;
            int V = Math.max(b, Math.max(r, g));
        int temp = Math.min(b, Math.min(r, g));

        float S;

        if (V == temp) {
            S = 0;
        } else {
            S = (V - temp) / (float) V;
        }

        return S;
    }
}","2"
"public class Brightness {

    public static float brightness(int color) {
        int r = (color >> 16) & 0xFF;
        int g = (color >> 8) & 0xFF;
        int b = color & 0xFF;

        int V = Math.max(b, Math.max(r, g));

        return (V / 255.f);
    }
}","1"
"public class Onlevelchange {

    protected boolean onlevelchange(int level) { return false; }
}","1"
"public class Getvalueforvibratesetting {

    public static int getvalueforvibratesetting(int existingValue, int vibrateType,
            int vibrateSetting) {

        // First clear the existing setting. Each vibrate type has two bits in
        // the value. Note '3' is '11' in binary.
        existingValue &= ~(3 << (vibrateType * 2));

        // Set into the old value
        existingValue |= (vibrateSetting & 3) << (vibrateType * 2);

        return existingValue;
    }
}","1"
"public class Getrouting {

    public static int getrouting(int mode) {
        return 0;
    }
}","1"
"public class Length {

    public static float length(float x, float y, float z) {
        return (float) Math.sqrt(x * x + y * y + z * z);
    }
}","1"
"public class Shoulddevicestayawake {

        public boolean shoulddevicestayawake(int stayAwakeConditions, int pluggedType) {
            return (stayAwakeConditions & pluggedType) != 0;
        }
}","1"
"public class Isisodigit {

    public static boolean
    isisodigit (char c) {
        return c >= '0' && c <= '9';
    }
}","2"
"public class Trygetisodigit {

    public static int trygetisodigit(char ch) {
        if ('0' <= ch && ch <= '9') {
            return ch - '0';
        } else {
            return -1;
        }
    }
}","3"
"public class Gsmbcdbytetoint {

    public static int
    gsmbcdbytetoint(byte b) {
        int ret = 0;

        // treat out-of-range BCD values as 0
        if ((b & 0xf0) <= 0x90) {
            ret = (b >> 4) & 0xf;
        }

        if ((b & 0x0f) <= 0x09) {
            ret +=  (b & 0xf) * 10;
        }

        return ret;
    }
}","3"
"public class Cdmabcdbytetoint {

    public static int
    cdmabcdbytetoint(byte b) {
        int ret = 0;

        // treat out-of-range BCD values as 0
        if ((b & 0xf0) <= 0x90) {
            ret = ((b >> 4) & 0xf) * 10;
        }

        if ((b & 0x0f) <= 0x09) {
            ret +=  (b & 0xf);
        }

        return ret;
    }
}","3"
"public class Regcodeisroaming {

    public boolean
    regcodeisroaming (int code) {
        // 5 is  ""in service -- roam""
        return 5 == code;
    }
}","1"
"public class Convertdtmftoascii {

    public byte convertdtmftoascii(byte dtmfDigit) {
        byte asciiDigit;

        switch (dtmfDigit) {
        case  0: asciiDigit = 68; break; // 'D'
        case  1: asciiDigit = 49; break; // '1'
        case  2: asciiDigit = 50; break; // '2'
        case  3: asciiDigit = 51; break; // '3'
        case  4: asciiDigit = 52; break; // '4'
        case  5: asciiDigit = 53; break; // '5'
        case  6: asciiDigit = 54; break; // '6'
        case  7: asciiDigit = 55; break; // '7'
        case  8: asciiDigit = 56; break; // '8'
        case  9: asciiDigit = 57; break; // '9'
        case 10: asciiDigit = 48; break; // '0'
        case 11: asciiDigit = 42; break; // '*'
        case 12: asciiDigit = 35; break; // '#'
        case 13: asciiDigit = 65; break; // 'A'
        case 14: asciiDigit = 66; break; // 'B'
        case 15: asciiDigit = 67; break; // 'C'
        default:
            asciiDigit = 32; // Invalid DTMF code
            break;
        }

        return asciiDigit;
    }
}","2"
"public class Getmask {

    public static int getmask(int numOfBits) {
        int mask = 0x00;

        switch (numOfBits) {
        case 1:
            mask = 0x01;
            break;
        case 2:
            mask = 0x03;
            break;
        case 3:
            mask = 0x07;
            break;
        case 4:
            mask = 0x0F;
            break;
        case 5:
            mask = 0x1F;
            break;
        case 6:
            mask = 0x3F;
            break;
        case 7:
            mask = 0x7F;
            break;
        case 8:
            mask = 0xFF;
            break;
        }
        return mask;
    }
}","2"
"public class Computechannel {

        public int computechannel(int c1, int c2, float percent) {
            return c1 + (int)((percent * (c2-c1)) + .5);
        }
}","1"
"public class Nanostomicros {

    public static int nanostomicros(long nanos) {
        long micros = nanos / 1000;
        int microsInt = (int) micros;
        if (microsInt != micros) {
            throw new RuntimeException(""Integer overflow: "" + nanos);
        }
        return microsInt;
    }
}","2"
"public class Comparesignallevel {

    public static int comparesignallevel(int rssiA, int rssiB) {
        return rssiA - rssiB;
    }
}","1"
"public class Placeitem {

    protected int placeitem(int offset) {
        return offset + 32;
    }
}","1"
"public class Placeitem {

    protected int placeitem(int offset) {
        return offset + 8;
    }
}","1"
"public class Placeitem {

    protected int placeitem(int offset) {
        return offset + 12;
    }
}","1"
"public class Placeitem {

    protected int placeitem(int offset) {
        return offset + 4;
    }
}","1"
"public class Placevalue {

    public int placevalue(int offset) {
        return offset + 1;
    }
}","1"
"public class Placevalue {

    public int placevalue(int offset) {
        return offset + 2;
    }
}","1"
"public class Unsignedleb128size {

    public static int unsignedleb128size(int value) {
        // TODO: This could be much cleverer.

        int remaining = value >>> 7;
        int count = 0;

        while (remaining != 0) {
            value = remaining;
            remaining >>>= 7;
            count++;
        }

        return count + 1;
    }
}","2"
"public class Signedleb128size {

    public static int signedleb128size(int value) {
        // TODO: This could be much cleverer.

        int remaining = value >> 7;
        int count = 0;
        boolean hasMore = true;
        int end = ((value & Integer.MIN_VALUE) == 0) ? 0 : -1;

        while (hasMore) {
            hasMore = (remaining != end)
                || ((remaining & 1) != ((value >> 6) & 1));

            value = remaining;
            remaining >>= 7;
            count++;
        }

        return count;
    }
}","3"
"public class Decodehighsignednibble {

    public static byte decodehighsignednibble(byte b) {
        return (byte)(b >> 4);
    }
}","1"
"public class Decodelowsignednibble {

    public static byte decodelowsignednibble(byte b) {
        return (byte)(((byte)(b << 4)) >> 4);
    }
}","1"
"public class Decodehighunsignednibble {

    public static byte decodehighunsignednibble(byte b) {
        return (byte)((b & 0xFF) >>> 4);
    }
}","1"
"public class Decodelowunsignednibble {

    public static byte decodelowunsignednibble(byte b) {
        return (byte)(b & 0x0F);
    }
}","1"
"public class Decodeunsignedbyte {

    public static short decodeunsignedbyte(byte b) {
        return (short)(b & 0xFF);
    }
}","1"
"public class Decodeshort {

    public static short decodeshort(byte lsb, byte msb) {
        return (short)
               (    (lsb & 0xFF) |
                    (msb << 8)
               );
    }
}","1"
"public class Decodeunsignedshort {

    public static int decodeunsignedshort(byte lsb, byte msb) {
        return  (   (lsb & 0xFF) |
                    ((msb & 0xFF) << 8)
                );
    }
}","1"
"public class Decodeint {

    public static int decodeint(byte lsb, byte mlsb, byte mmsb, byte msb) {
        return (lsb & 0xFF) |
               ((mlsb & 0xFF) << 8) |
               ((mmsb & 0xFF) << 16) |
               (msb << 24);
    }
}","1"
"public class Decodelong {

    public static long decodelong(byte llsb, byte lmlsb, byte lmmsb, byte lgsb, byte glsb, byte gmlsb, byte gmmsb,
                                  byte gmsb) {
        return  (llsb   & 0xFFL) |
                ((lmlsb & 0xFFL) << 8) |
                ((lmmsb & 0xFFL) << 16) |
                ((lgsb  & 0xFFL) << 24) |
                ((glsb  & 0xFFL) << 32) |
                ((gmlsb & 0xFFL) << 40) |
                ((gmmsb & 0xFFL) << 48) |
                (((long)gmsb) << 56);
    }
}","1"
"public class Compare {

  public static int compare(byte b1, byte b2) {
    if (b1 < b2) {
      return -1;
    } else if (b2 < b1) {
      return 1;
    }
    return 0;
  }
}","3"
"public class Compareunsigned {

  public static int compareunsigned(int b1, int b2) {
    return (b1 & 0xFF) - (b2 & 0xFF);
  }
}","1"
"public class Compare {

  public static int compare(long l1, long l2) {
    if (l1 < l2) {
      return -1;
    } else if (l2 < l1) {
      return 1;
    }
    return 0;
  }
}","3"
"public class Nextpowoftwo {

  public static int nextpowoftwo(int expected) {
    int value = 1;
    while (value < expected) {
      value <<= 1;
    }
    return value;
  }
}","2"
"public class Isundefined {

  public static boolean isundefined(double value) {
    return Double.isNaN(value) || Double.isInfinite(value);
  }
}","2"
"public class Isundefined {

  public static boolean isundefined(float value) {
    return Float.isNaN(value) || Float.isInfinite(value);
  }
}","2"
"public class Gethexchar {

    public static char gethexchar(
        byte    value)
    {
        switch (value)
        {
        case 0:
            return '0';
        case 1:
            return '1';
        case 2:
            return '2';
        case 3:
            return '3';
        case 4:
            return '4';
        case 5:
            return '5';
        case 6:
            return '6';
        case 7:
            return '7';
        case 8:
            return '8';
        case 9:
            return '9';
        case 10:
            return 'a';
        case 11:
            return 'b';
        case 12:
            return 'c';
        case 13:
            return 'd';
        case 14:
            return 'e';
        case 15:
            return 'f';
        default:
            return 'Z';
        }
    }
}","2"
"public class Isvalidtokenchar {

    boolean isValidTokenChar(
        char c)
    {
        if ( ( (c >= '\u0000') && (c <='\u0020') ) ||
             ( (c >= '\u003a') && (c <= '\u0040') ) ||
             ( (c >= '\u005b') && (c <= '\u005d') ) ||
             ('\u002c' == c) ||
             ('\u0025' == c) ||
             ('\u0028' == c) ||
             ('\u0029' == c) ||
             ('\u007b' == c) ||
             ('\u007d' == c) ||
             ('\u007f' == c) )
            return false;

        return true;
    }
}","14"
"public class Iswhitespace {

    boolean isWhiteSpace(
        char c)
    {
        if ( ('\t' == c) ||  // HORIZONTAL TABULATION.
             ('\n' == c) ||  // LINE FEED.
             ('\r' == c) ||  // CARRIAGE RETURN.
             ('\u0020' == c) )
            return true;

        return false;
    }
}","5"
"public class Unshiftchar {

	public char unshiftchar(char c, int shift)
	{
		return (char)(((int)c + 26 -  97 - shift) % 26 + 97);
	}
}","1"
"public class Shiftchar {

	public char shiftchar(char c, int shift)
	{
		return (char)(((int)c + shift - 97) % 26 + 97); 
	}
}","1"
"public class Convertdigit {

    public static char convertdigit(int value) {

        value &= 0x0f;
        if (value >= 10)
            return ((char)(value - 10 + 'a'));
        else
            return ((char)(value + '0'));

    }
}","2"
"public class Isvalid {

    public static boolean isvalid(long sValue) {
        return !((sValue < 0L) || (sValue > 255L));
    }
}","2"
"public class Isvalid {

    public static boolean isvalid(long iValue) {
        return !((iValue < 0L) || (iValue > 4294967295L));
    }
}","2"
"public class Compare {

    public static int compare(long thisLong, long thatLong) {
        // To avoid infinite recursion, do not instantiate UnsignedLong in this method, which may be called during UnsignedLong instantiation.

        if (thisLong == thatLong) {
            return 0;
        } else {
            boolean isLessThan; // This is less than that.

            // Prepare the most significant half of the data for comparison.
            // The shift distance can be any number from 1 to 32 inclusive (1 is probably fastest).
            // A shift distance of one is sufficient to move the significant data off of the sign bit, allowing for a signed comparison of positive numbers (i.e. an unsigned comparison).
            long thisHalfLong = (thisLong & 0xffffffff00000000L) >>> 1;
            long thatHalfLong = (thatLong & 0xffffffff00000000L) >>> 1;

            if (thisHalfLong == thatHalfLong) {
                // We must also look at the least significant half of the data.

                // Prepare the least significant half of the data for comparison.
                thisHalfLong = (thisLong & 0x00000000ffffffffL);
                thatHalfLong = (thatLong & 0x00000000ffffffffL);

                // We already know that the data is not equal.
                isLessThan = thisHalfLong < thatHalfLong;
            } else {
                // The answer is in the most significant half of the data.
                isLessThan = thisHalfLong < thatHalfLong;
            }

            if (isLessThan) {
                return -1; // Returns a negative integer as this object is less than than the specified object.
            } else {
                return 1; // Returns a positive integer as this object is greater than than the specified object.
            }
        }
    }
}","4"
"public class Isvalid {

    public static boolean isvalid(long sValue) {
        return !((sValue < 0L) || (sValue > 65535L));
    }
}","2"
"public class Isdigit {

    public static boolean isdigit(char p_char) {
        return p_char >= '0' && p_char <= '9';
    }
}","2"
"public class Isalpha {

    public static boolean isalpha(char p_char) {
        return ((p_char >= 'a' && p_char <= 'z') || (p_char >= 'A' && p_char <= 'Z'));
    }
}","4"
"public class Ispunctuation {

    public static boolean ispunctuation(char c) {
        return '-' == c
                || '.' == c
                || ':' == c
                || '\u00B7' == c
                || '\u0387' == c
                || '-' == c
                || '\u06DD' == c
                || '\u06DE' == c;
    }
}","8"
"public class Issupplemental {

    public static boolean issupplemental(int c) {
        return (c >= 0x10000 && c <= 0x10FFFF);
    }
}","2"
"public class Supplemental {

    public static int supplemental(char h, char l) {
        return (h - 0xD800) * 0x400 + (l - 0xDC00) + 0x10000;
    }
}","1"
"public class Highsurrogate {

    public static char highsurrogate(int c) {
        return (char) (((c - 0x00010000) >> 10) + 0xD800);
    }
}","1"
"public class Lowsurrogate {

    public static char lowsurrogate(int c) {
        return (char) (((c - 0x00010000) & 0x3FF) + 0xDC00);
    }
}","1"
"public class Ishighsurrogate {

    public static boolean ishighsurrogate(int c) {
        return (0xD800 <= c && c <= 0xDBFF);
    }
}","2"
"public class Islowsurrogate {

    public static boolean islowsurrogate(int c) {
        return (0xDC00 <= c && c <= 0xDFFF);
    }
}","2"
"public class Ismarkup {

    public static boolean ismarkup(int c) {
        return c == '<' || c == '&' || c == '%';
    }
}","3"
"public class Validate {

    protected boolean validate(boolean performVaidation){
        //override the implementation where necessary.
        //return validation successful here. 
        return true;
    }
}","1"
"public class Add {

    public int add(int p1, int p2) {
        return p1 + p2;
    }
}","1"
"public class Isgeneratetooltips {

    protected boolean isgeneratetooltips(double ratio) {
        return (ratio >= 1.0);
    }
}","1"
"public class Isgeneratetext {

    protected boolean isgeneratetext(double ratio) {
        return (ratio >= 1.0);
    }
}","1"
"public class Dehexchar {

    public static int dehexchar(char c) {
        if (c >= '0' && c <= '9') {
            return c - '0';
        }
        if (c >= 'A' && c <= 'F') {
            return c - ('A' - 10);
        }
        if (c >= 'a' && c <= 'f') {
            return c - ('a' - 10);
        }
        return -1;
    }
}","7"
"public class Chartoupper {

	public static char chartoupper(char c)
	{
		if ((int) c >= (int) 'a' && (int) c <= (int) 'z')
		{
			c -= (int) 'a' - (int) 'A';
		}
		return c;
	}
}","3"
"public class Limitnumber {

	public static double limitnumber(double number, double lower, double higher)
	{
		if (lower > higher)
		{
			double temp = lower;
			lower = higher;
			higher = temp;
		}

		return Math.max(lower, Math.min(higher, number));
	}
}","2"
"public class Limitnumber {

	public static float limitnumber(float number, float lower, float higher)
	{
		if (lower > higher)
		{
			float temp = lower;
			lower = higher;
			higher = temp;
		}

		return Math.max(lower, Math.min(higher, number));
	}
}","2"
"public class Limitnumber {

	public static int limitnumber(int number, int lower, int higher)
	{
		if (lower > higher)
		{
			int temp = lower;
			lower = higher;
			higher = temp;
		}

		return Math.max(lower, Math.min(higher, number));
	}
}","2"
"public class Isnumber {

	public static boolean isnumber(char c)
	{
		return '0' <= c && c <= '9';
	}
}","2"
"public class Isgreaterthanepsilon {

  public boolean isgreaterthanepsilon(double v) {
    return v - 0.000001 > 0;
  }
}","1"
"public class Xtotilex {

    public static int xtotilex(int x, int tileGridXOffset, int tileWidth) {
        x -= tileGridXOffset;
        if (x < 0) {
            x += 1 - tileWidth; // Force round to -infinity
        }
        return x/tileWidth;
    }
}","2"
