Parameter,Function,Test Case,ExtractedInput
"(int shardHash,
														int totalNumberOfConsumerSubtasks,
														int indexOfThisConsumerSubtask)","public class IsThisSubtaskShouldSubscribeTo {
public static boolean isThisSubtaskShouldSubscribeTo(int shardHash,
														int totalNumberOfConsumerSubtasks,
														int indexOfThisConsumerSubtask) {
		return (Math.abs(shardHash % totalNumberOfConsumerSubtasks)) == indexOfThisConsumerSubtask;
	}
}","@Test
	public void testIsThisSubtaskShouldSubscribeTo() {
		assertTrue(KinesisDataFetcher.isThisSubtaskShouldSubscribeTo(0, 2, 0));
		assertFalse(KinesisDataFetcher.isThisSubtaskShouldSubscribeTo(1, 2, 0));
		assertTrue(KinesisDataFetcher.isThisSubtaskShouldSubscribeTo(2, 2, 0));
		assertFalse(KinesisDataFetcher.isThisSubtaskShouldSubscribeTo(0, 2, 1));
		assertTrue(KinesisDataFetcher.isThisSubtaskShouldSubscribeTo(1, 2, 1));
		assertFalse(KinesisDataFetcher.isThisSubtaskShouldSubscribeTo(2, 2, 1));
	}","Function: 64
IsThisSubtaskShouldSubscribeTo
Spf Results Inputs: shardHash_1_SYMINT,totalNumberOfConsumerSubtasks_2_SYMINT,indexOfThisConsumerSubtask_3_SYMINT
No path conditions for demo.IsThisSubtaskShouldSubscribeTo.isThisSubtaskShouldSubscribeTo(0,0,0)"
"(boolean declarer,
			int gameValue, int numberOfPlayers)","public class GetTournamentGameValue {
public static final int getTournamentGameValue(boolean declarer,
			int gameValue, int numberOfPlayers) {

		int result = 0;

		if (declarer) {
			// calculation for declarer of the game
			if (gameValue > 0) {

				result = gameValue + 50;
			} else {

				result = gameValue - 50;
			}
		} else {
			// calculation for opponents
			if (gameValue < 0) {

				if (numberOfPlayers == 3) {

					result = 40;
				} else if (numberOfPlayers == 4) {

					result = 30;
				}
			}
		}

		return result;
	}
}","@Test
    public void getTournamentGameValue001() {

        assertThat(SkatConstants.getTournamentGameValue(true, 18, 3)).isEqualTo(68);
        assertThat(SkatConstants.getTournamentGameValue(true, 18, 4)).isEqualTo(68);
        assertThat(SkatConstants.getTournamentGameValue(true, -36, 3)).isEqualTo(-86);
        assertThat(SkatConstants.getTournamentGameValue(true, -36, 4)).isEqualTo(-86);
        assertThat(SkatConstants.getTournamentGameValue(true, 20, 3)).isEqualTo(70);
        assertThat(SkatConstants.getTournamentGameValue(true, 20, 4)).isEqualTo(70);
        assertThat(SkatConstants.getTournamentGameValue(true, -40, 3)).isEqualTo(-90);
        assertThat(SkatConstants.getTournamentGameValue(true, -40, 4)).isEqualTo(-90);
        assertThat(SkatConstants.getTournamentGameValue(false, 18, 3)).isEqualTo(0);
        assertThat(SkatConstants.getTournamentGameValue(false, 18, 4)).isEqualTo(0);
        assertThat(SkatConstants.getTournamentGameValue(false, -36, 3)).isEqualTo(40);
        assertThat(SkatConstants.getTournamentGameValue(false, -36, 4)).isEqualTo(30);
        assertThat(SkatConstants.getTournamentGameValue(false, 20, 3)).isEqualTo(0);
        assertThat(SkatConstants.getTournamentGameValue(false, 20, 4)).isEqualTo(0);
        assertThat(SkatConstants.getTournamentGameValue(false, -40, 3)).isEqualTo(40);
        assertThat(SkatConstants.getTournamentGameValue(false, -40, 4)).isEqualTo(30);
    }","Function: 65
GetTournamentGameValue
Spf Results Inputs: declarer_1_SYMINT,gameValue_2_SYMINT,numberOfPlayers_3_SYMINT
demo.GetTournamentGameValue.getTournamentGameValue(true,1,-9223372036854775808(don't care))  --> Return Value: 51
demo.GetTournamentGameValue.getTournamentGameValue(true,0,-9223372036854775808(don't care))  --> Return Value: -50
demo.GetTournamentGameValue.getTournamentGameValue(false,-1,3)  --> Return Value: 40
demo.GetTournamentGameValue.getTournamentGameValue(false,-1,4)  --> Return Value: 30
demo.GetTournamentGameValue.getTournamentGameValue(false,-1,0)  --> Return Value: 0
demo.GetTournamentGameValue.getTournamentGameValue(false,0,-9223372036854775808(don't care))  --> Return Value: 0"
(int degrees),"public class ToClosestRightAngle {
public static int toClosestRightAngle(int degrees) {
        boolean roundUp = degrees % 90 > 45;

        int roundAppModifier = roundUp ? 1 : 0;

        return (((degrees / 90) + roundAppModifier) * 90) % 360;
    }
}","@Test
    public void toClosestRightAngle_0() throws Exception {
        assertEquals(
                0,
                OrientationUtils.toClosestRightAngle(5)
        );
    }",
(int degrees),"public class ToClosestRightAngle {
public static int toClosestRightAngle(int degrees) {
        boolean roundUp = degrees % 90 > 45;

        int roundAppModifier = roundUp ? 1 : 0;

        return (((degrees / 90) + roundAppModifier) * 90) % 360;
    }
}","@Test
    public void toClosestRightAngle_90() throws Exception {
        assertEquals(
                90,
                OrientationUtils.toClosestRightAngle(60)
        );
    }",
"(int screenRotationDegrees,
                                              int cameraRotationDegrees,
                                              boolean cameraIsMirrored)","public class ComputeImageOrientation {
public static int computeImageOrientation(int screenRotationDegrees,
                                              int cameraRotationDegrees,
                                              boolean cameraIsMirrored) {
        int rotation;

        if (cameraIsMirrored) {
            rotation = -(screenRotationDegrees + cameraRotationDegrees);
        } else {
            rotation = screenRotationDegrees - cameraRotationDegrees;
        }

        return (rotation + 360 + 360) % 360;
    }
}","@Test
    public void computeImageOrientation_Phone_Portrait_BackCamera() throws Exception {
        // Given
        int screenOrientation = 0;
        int cameraOrientation = 90;

        // When
        int result = OrientationUtils.computeImageOrientation(
                screenOrientation,
                cameraOrientation,
                false
        );

        // Then
        assertEquals(270, result);
    }",
(int degrees),"public class ToClosestRightAngle {
public static int toClosestRightAngle(int degrees) {
        boolean roundUp = degrees % 90 > 45;

        int roundAppModifier = roundUp ? 1 : 0;

        return (((degrees / 90) + roundAppModifier) * 90) % 360;
    }
}","@Test
    public void toClosestRightAngle_360() throws Exception {
        assertEquals(
                0,
                OrientationUtils.toClosestRightAngle(359)
        );
    }",
"(int n, int k)","public class GetLastPerson {
public static int getLastPerson(int n, int k) {
        if (n <= 0 || k <= 0) {
            throw new IllegalArgumentException(""Input arguments should be positive"");
        }
        int lastPerson = 0;
        for (int i = 2; i <= n; i++) {
            lastPerson += k;
            lastPerson %= i;
        }
        return lastPerson;
    }
}","@Test(expected = IllegalArgumentException.class)
    public void testGetLastPersonNonPositiveN() {
        getLastPerson(0, 10);
    }",
"(int n, int k)","public class GetLastPerson {
public static int getLastPerson(int n, int k) {
        if (n <= 0 || k <= 0) {
            throw new IllegalArgumentException(""Input arguments should be positive"");
        }
        int lastPerson = 0;
        for (int i = 2; i <= n; i++) {
            lastPerson += k;
            lastPerson %= i;
        }
        return lastPerson;
    }
}","@Test(expected = IllegalArgumentException.class)
    public void testGetLastPersonNonPositiveK() {
        getLastPerson(10, 0);
    }",
"(int n, int k)","public class GetLastPerson {
public static int getLastPerson(int n, int k) {
        if (n <= 0 || k <= 0) {
            throw new IllegalArgumentException(""Input arguments should be positive"");
        }
        int lastPerson = 0;
        for (int i = 2; i <= n; i++) {
            lastPerson += k;
            lastPerson %= i;
        }
        return lastPerson;
    }
}","@Test
    public void testGetLastPerson1() {
        assertThat(getLastPerson(10, 1), is(9));
    }",
"(int n, int k)","public class GetLastPerson {
public static int getLastPerson(int n, int k) {
        if (n <= 0 || k <= 0) {
            throw new IllegalArgumentException(""Input arguments should be positive"");
        }
        int lastPerson = 0;
        for (int i = 2; i <= n; i++) {
            lastPerson += k;
            lastPerson %= i;
        }
        return lastPerson;
    }
}","@Test
    public void testGetLastPerson2() {
        assertThat(getLastPerson(10, 2), is(4));
    }",
"(int n, int k)","public class GetLastPerson {
public static int getLastPerson(int n, int k) {
        if (n <= 0 || k <= 0) {
            throw new IllegalArgumentException(""Input arguments should be positive"");
        }
        int lastPerson = 0;
        for (int i = 2; i <= n; i++) {
            lastPerson += k;
            lastPerson %= i;
        }
        return lastPerson;
    }
}","@Test
    public void testGetLastPerson3() {
        assertThat(getLastPerson(10, 3), is(3));
    }",
"(int n, int k)","public class GetLastPerson {
public static int getLastPerson(int n, int k) {
        if (n <= 0 || k <= 0) {
            throw new IllegalArgumentException(""Input arguments should be positive"");
        }
        int lastPerson = 0;
        for (int i = 2; i <= n; i++) {
            lastPerson += k;
            lastPerson %= i;
        }
        return lastPerson;
    }
}","@Test
    public void testGetLastPerson4() {
        assertThat(getLastPerson(10, 4), is(4));
    }",
"(int n, int k)","public class GetLastPerson {
public static int getLastPerson(int n, int k) {
        if (n <= 0 || k <= 0) {
            throw new IllegalArgumentException(""Input arguments should be positive"");
        }
        int lastPerson = 0;
        for (int i = 2; i <= n; i++) {
            lastPerson += k;
            lastPerson %= i;
        }
        return lastPerson;
    }
}","@Test
    public void testGetLastPerson6() {
        assertThat(getLastPerson(10, 6), is(2));
    }",
"(int n, int k)","public class GetLastPerson {
public static int getLastPerson(int n, int k) {
        if (n <= 0 || k <= 0) {
            throw new IllegalArgumentException(""Input arguments should be positive"");
        }
        int lastPerson = 0;
        for (int i = 2; i <= n; i++) {
            lastPerson += k;
            lastPerson %= i;
        }
        return lastPerson;
    }
}","@Test
    public void testGetLastPerson9() {
        assertThat(getLastPerson(10, 9), is(6));
    }",
"(int n, int k)","public class GetLastPerson {
public static int getLastPerson(int n, int k) {
        if (n <= 0 || k <= 0) {
            throw new IllegalArgumentException(""Input arguments should be positive"");
        }
        int lastPerson = 0;
        for (int i = 2; i <= n; i++) {
            lastPerson += k;
            lastPerson %= i;
        }
        return lastPerson;
    }
}","@Test
    public void testGetLastPerson10() {
        assertThat(getLastPerson(10, 10), is(7));
    }",
(int value),"public class FindNumberOfWays {
public static int findNumberOfWays(int value) {
	if (value < 0) {
	    return 0;
	}
	if (value <= 1) {
	    return 1;
	}
	int left = 0;
	int right = (int) Math.sqrt(value);
	int numberOfWays = 0;
	while (left <= right) {
	    long sum = (left + 0L) * left + (right + 0L) * right;
	    if (sum < value) {
		left++;
	    } else if (sum > value) {
		right--;
	    } else {
		numberOfWays++;
		left++;
		right--;
	    }
	}
	return numberOfWays;
    }
}","@Test
    public void testFindNumberOfWays() {
	int actual = findNumberOfWays(inputValue);
	assertThat(""Result for value = "" + inputValue
		+ "" does not match with expected = "" + expected, actual,
		is(expected));
    }",
(int n),"public class Convert {
public static String convert(int n) {
        if (n <= 0) {
            throw new IllegalArgumentException(""Argument is not positive"");
        }
        StringBuilder builder = new StringBuilder();
        while (n > 0) {
            n--;
            int remainder = n % 26;
            n /= 26;
            builder.append((char) (remainder + 65));
        }
        return builder.reverse().toString();
    }
}","@Test(expected = IllegalArgumentException.class)
    public void testConvertNegativeN() {
        convert(-1);
    }","Function: 80
Convert
Spf Results Inputs: n_1_SYMINT
demo.Convert.convert(0)  --> ""java.lang.IllegalArgumentException: Argument is not positive...""
demo.Convert.convert(321272407)  --> Return Value: java.lang.String@1e5
demo.Convert.convert(12356631)  --> Return Value: java.lang.String@1e5
demo.Convert.convert(475255)  --> Return Value: java.lang.String@1e5
demo.Convert.convert(18279)  --> Return Value: java.lang.String@1e5
demo.Convert.convert(703)  --> Return Value: java.lang.String@1e5
demo.Convert.convert(27)  --> Return Value: java.lang.String@1e5
demo.Convert.convert(1)  --> Return Value: java.lang.String@1e5"
(int n),"public class Convert {
public static String convert(int n) {
        if (n <= 0) {
            throw new IllegalArgumentException(""Argument is not positive"");
        }
        StringBuilder builder = new StringBuilder();
        while (n > 0) {
            n--;
            int remainder = n % 26;
            n /= 26;
            builder.append((char) (remainder + 65));
        }
        return builder.reverse().toString();
    }
}","@Test
    public void testConvert() {
        assertThat(convert(1), is(""A""));
        assertThat(convert(26), is(""Z""));
        assertThat(convert(27), is(""AA""));
        assertThat(convert(52), is(""AZ""));
        assertThat(convert(53), is(""BA""));
        assertThat(convert(54), is(""BB""));
        assertThat(convert(676), is(""YZ""));
        assertThat(convert(702), is(""ZZ""));
        assertThat(convert(703), is(""AAA""));
    }",
(int n),"public class Convert {
public static String convert(int n) {
        if (n <= 0) {
            throw new IllegalArgumentException(""Argument is not positive"");
        }
        StringBuilder builder = new StringBuilder();
        while (n > 0) {
            n--;
            int remainder = n % 26;
            n /= 26;
            builder.append((char) (remainder + 65));
        }
        return builder.reverse().toString();
    }
}","@Test(expected = IllegalArgumentException.class)
    public void testConvertZeroN() {
        convert(0);
    }",
"(double lonD1, double lonD2)","public class LongitudeDifference {
public static double longitudeDifference(double lonD1, double lonD2)
    {
        double delta = lonD1 - lonD2;
        if (delta < 0.)
        {
            delta *= -1.;
        }
        if (delta > 360.)
        {
            delta -= (int)(delta / 360.) * 360.;
        }
        if (delta > 180.)
        {
            delta = 360. - delta;
        }

        return delta;
    }
}","@Test
    public void testLongitudeDifference()
    {
        Assert.assertEquals(180., LatLonAlt.longitudeDifference(0., 180.), 0.);
        Assert.assertEquals(20., LatLonAlt.longitudeDifference(10., -10.), 0.);
        Assert.assertEquals(20., LatLonAlt.longitudeDifference(-10., 10.), 0.);
        Assert.assertEquals(20., LatLonAlt.longitudeDifference(-370., 370.), 0.);
        Assert.assertEquals(15., LatLonAlt.longitudeDifference(-175., 170.), 0.);
        Assert.assertEquals(0., LatLonAlt.longitudeDifference(-180., 180.), 0.);
        Assert.assertEquals(0., LatLonAlt.longitudeDifference(-190., 170.), 0.);
    }",
(double in),"public class NormalizeLatitude {
public static double normalizeLatitude(double in)
    {
        final double limit1 = 270.;
        final double limit2 = 450.;
        final double limit3 = 540.;
        double out = in;
        if (out > 90.)
        {
            if (out > limit3)
            {
                out %= 360.;
                if (out > limit1)
                {
                    out = out - 360;
                }
                else if (out > 90.)
                {
                    out = 180. - out;
                }
            }
            else if (out > limit1)
            {
                if (out > limit2)
                {
                    out = limit3 - out;
                }
                else
                {
                    out = out - 360;
                }
            }
            else if (out > 90.)
            {
                out = 180. - out;
            }
        }
        else if (out < -90)
        {
            if (out < -limit3)
            {
                out %= 360.;
                if (out < -limit1)
                {
                    out = out + 360;
                }
                else if (out < -90)
                {
                    out = -180 - out;
                }
            }
            else if (out < -limit1)
            {
                if (out < -limit2)
                {
                    out = -limit3 - out;
                }
                else
                {
                    out = out + 360;
                }
            }
            else if (out < -90)
            {
                out = -180 - out;
            }
        }
        return out;
    }
}","@Test
    public void testNormalizeLatitude()
    {
        Assert.assertEquals(-90., LatLonAlt.normalizeLatitude(-90.), 0.);
        Assert.assertEquals(-45., LatLonAlt.normalizeLatitude(-45.), 0.);
        Assert.assertEquals(0., LatLonAlt.normalizeLatitude(0.), 0.);
        Assert.assertEquals(45., LatLonAlt.normalizeLatitude(45.), 0.);
        Assert.assertEquals(90., LatLonAlt.normalizeLatitude(90.), 0.);

        Assert.assertEquals(89.999, LatLonAlt.normalizeLatitude(90.001), 0.);
        Assert.assertEquals(-89.999, LatLonAlt.normalizeLatitude(-90.001), 0.);

        Assert.assertEquals(1., LatLonAlt.normalizeLatitude(179.), 0.);
        Assert.assertEquals(-1., LatLonAlt.normalizeLatitude(-179.), 0.);

        Assert.assertEquals(0., LatLonAlt.normalizeLatitude(180.), 0.);
        Assert.assertEquals(0., LatLonAlt.normalizeLatitude(-180.), 0.);

        Assert.assertEquals(-1., LatLonAlt.normalizeLatitude(181.), 0.);
        Assert.assertEquals(1., LatLonAlt.normalizeLatitude(-181.), 0.);

        Assert.assertEquals(-89., LatLonAlt.normalizeLatitude(269.), 0.);
        Assert.assertEquals(89, LatLonAlt.normalizeLatitude(-269.), 0.);

        Assert.assertEquals(-90., LatLonAlt.normalizeLatitude(270.), 0.);
        Assert.assertEquals(90., LatLonAlt.normalizeLatitude(-270.), 0.);

        Assert.assertEquals(-89., LatLonAlt.normalizeLatitude(271.), 0.);
        Assert.assertEquals(89., LatLonAlt.normalizeLatitude(-271.), 0.);

        Assert.assertEquals(0., LatLonAlt.normalizeLatitude(360.), 0.);
        Assert.assertEquals(0, LatLonAlt.normalizeLatitude(-360.), 0.);

        Assert.assertEquals(1., LatLonAlt.normalizeLatitude(361.), 0.);
        Assert.assertEquals(-1, LatLonAlt.normalizeLatitude(-361.), 0.);

        Assert.assertEquals(-1., LatLonAlt.normalizeLatitude(541.), 0.);
        Assert.assertEquals(1., LatLonAlt.normalizeLatitude(-541.), 0.);

        Assert.assertEquals(-89., LatLonAlt.normalizeLatitude(629.), 0.);
        Assert.assertEquals(89, LatLonAlt.normalizeLatitude(-629.), 0.);

        Assert.assertEquals(-90., LatLonAlt.normalizeLatitude(630.), 0.);
        Assert.assertEquals(90, LatLonAlt.normalizeLatitude(-630.), 0.);

        Assert.assertEquals(-89., LatLonAlt.normalizeLatitude(631.), 0.);
        Assert.assertEquals(89, LatLonAlt.normalizeLatitude(-631.), 0.);

        Assert.assertEquals(1., LatLonAlt.normalizeLatitude(721.), 0.);
        Assert.assertEquals(-1., LatLonAlt.normalizeLatitude(-721.), 0.);

        Assert.assertEquals(89., LatLonAlt.normalizeLatitude(811.), 0.);
        Assert.assertEquals(-89, LatLonAlt.normalizeLatitude(-811.), 0.);
    }",
(double in),"public class NormalizeLongitude {
public static double normalizeLongitude(double in)
    {
        double out = in;
        if (out > 180.)
        {
            out -= (int)((out + 180.) / 360.) * 360.;
        }
        else if (out < -180.)
        {
            out -= (int)((out - 180.) / 360.) * 360.;
        }
        // Allow both 180 and -180.

        return out;
    }
}","@Test
    public void testNormalizeLongitude()
    {
        Assert.assertEquals(-1., LatLonAlt.normalizeLongitude(-361.), 0.);
        Assert.assertEquals(0., LatLonAlt.normalizeLongitude(-360.), 0.);
        Assert.assertEquals(1., LatLonAlt.normalizeLongitude(-359.), 0.);
        Assert.assertEquals(45., LatLonAlt.normalizeLongitude(-315.), 0.);
        Assert.assertEquals(90., LatLonAlt.normalizeLongitude(-270.), 0.);
        Assert.assertEquals(135., LatLonAlt.normalizeLongitude(-225.), 0.);
        Assert.assertEquals(-180., LatLonAlt.normalizeLongitude(-180.), 0.);
        Assert.assertEquals(-135., LatLonAlt.normalizeLongitude(-135.), 0.);
        Assert.assertEquals(-90., LatLonAlt.normalizeLongitude(-90.), 0.);
        Assert.assertEquals(-45., LatLonAlt.normalizeLongitude(-45.), 0.);
        Assert.assertEquals(0., LatLonAlt.normalizeLongitude(0.), 0.);
        Assert.assertEquals(45., LatLonAlt.normalizeLongitude(45.), 0.);
        Assert.assertEquals(90., LatLonAlt.normalizeLongitude(90.), 0.);
        Assert.assertEquals(135., LatLonAlt.normalizeLongitude(135.), 0.);
        Assert.assertEquals(180., LatLonAlt.normalizeLongitude(180.), 0.);
        Assert.assertEquals(-135., LatLonAlt.normalizeLongitude(225.), 0.);
        Assert.assertEquals(-90., LatLonAlt.normalizeLongitude(270.), 0.);
        Assert.assertEquals(-45., LatLonAlt.normalizeLongitude(315.), 0.);
        Assert.assertEquals(-1., LatLonAlt.normalizeLongitude(359.), 0.);
        Assert.assertEquals(0., LatLonAlt.normalizeLongitude(360.), 0.);
        Assert.assertEquals(1., LatLonAlt.normalizeLongitude(361.), 0.);
    }",
(boolean val),"public class GetHashCode {
public static int getHashCode(boolean val)
    {
        return val ? 1231 : 1237;
    }
}","@Test
    public void testGetHashCodeIntIntObject()
    {
        Object o1 = new HashCodeObject(67);
        Object o2 = null;
        Object o3 = new HashCodeObject(111);

        int startHash = 37;
        int prime = 31;
        Assert.assertEquals(startHash, HashCodeHelper.getHashCode(startHash, prime));
        Assert.assertEquals(1214, HashCodeHelper.getHashCode(startHash, prime, o1));
        Assert.assertEquals(1147, HashCodeHelper.getHashCode(startHash, prime, o2));
        Assert.assertEquals(37634, HashCodeHelper.getHashCode(startHash, prime, o1, o2));
        Assert.assertEquals(1166765, HashCodeHelper.getHashCode(startHash, prime, o1, o2, o3));
    }","Function: 86
GetHashCode
Spf Results Inputs: val_1_SYMINT
demo.GetHashCode.getHashCode(true)  --> Return Value: 1231
demo.GetHashCode.getHashCode(false)  --> Return Value: 1237"
"(int a, int b)","public class AddSafe {
public static int addSafe(int a, int b)
    {
        int r = a + b;
        if (((a ^ r) & (b ^ r)) < 0)
        {
            return (a & b) < 0 ? Integer.MIN_VALUE : Integer.MAX_VALUE;
        }
        return r;
    }
}","@Test
    public void testAddSafeLongLong()
    {
        Assert.assertEquals(Long.MIN_VALUE, MathUtil.addSafe(Long.MIN_VALUE, Long.MIN_VALUE));
        Assert.assertEquals(Long.MIN_VALUE, MathUtil.addSafe(Long.MIN_VALUE, -1));
        Assert.assertEquals(Long.MIN_VALUE, MathUtil.addSafe(-1, Long.MIN_VALUE));
        Assert.assertEquals(Long.MIN_VALUE, MathUtil.addSafe(Long.MIN_VALUE, 0));
        Assert.assertEquals(Long.MIN_VALUE, MathUtil.addSafe(0, Long.MIN_VALUE));
        Assert.assertEquals(Long.MIN_VALUE + 1, MathUtil.addSafe(Long.MIN_VALUE, 1));
        Assert.assertEquals(Long.MIN_VALUE + 1, MathUtil.addSafe(1, Long.MIN_VALUE));

        Assert.assertEquals(Long.MAX_VALUE, MathUtil.addSafe(Long.MAX_VALUE, Long.MAX_VALUE));
        Assert.assertEquals(Long.MAX_VALUE, MathUtil.addSafe(Long.MAX_VALUE, 1));
        Assert.assertEquals(Long.MAX_VALUE, MathUtil.addSafe(1, Long.MAX_VALUE));
        Assert.assertEquals(Long.MAX_VALUE, MathUtil.addSafe(Long.MAX_VALUE, 0));
        Assert.assertEquals(Long.MAX_VALUE, MathUtil.addSafe(0, Long.MAX_VALUE));
        Assert.assertEquals(Long.MAX_VALUE - 1, MathUtil.addSafe(Long.MAX_VALUE, -1));
        Assert.assertEquals(Long.MAX_VALUE - 1, MathUtil.addSafe(-1, Long.MAX_VALUE));

        Assert.assertEquals(-1, MathUtil.addSafe(Long.MIN_VALUE, Long.MAX_VALUE));
        Assert.assertEquals(-1, MathUtil.addSafe(Long.MAX_VALUE, Long.MIN_VALUE));
    }",
"(int a, int b)","public class AddSafe {
public static int addSafe(int a, int b)
    {
        int r = a + b;
        if (((a ^ r) & (b ^ r)) < 0)
        {
            return (a & b) < 0 ? Integer.MIN_VALUE : Integer.MAX_VALUE;
        }
        return r;
    }
}","@Test
    public void testAddSafeIntInt()
    {
        Assert.assertEquals(Integer.MIN_VALUE, MathUtil.addSafe(Integer.MIN_VALUE, Integer.MIN_VALUE));
        Assert.assertEquals(Integer.MIN_VALUE, MathUtil.addSafe(Integer.MIN_VALUE, -1));
        Assert.assertEquals(Integer.MIN_VALUE, MathUtil.addSafe(-1, Integer.MIN_VALUE));
        Assert.assertEquals(Integer.MIN_VALUE, MathUtil.addSafe(Integer.MIN_VALUE, 0));
        Assert.assertEquals(Integer.MIN_VALUE, MathUtil.addSafe(0, Integer.MIN_VALUE));
        Assert.assertEquals(Integer.MIN_VALUE + 1, MathUtil.addSafe(Integer.MIN_VALUE, 1));
        Assert.assertEquals(Integer.MIN_VALUE + 1, MathUtil.addSafe(1, Integer.MIN_VALUE));

        Assert.assertEquals(Integer.MAX_VALUE, MathUtil.addSafe(Integer.MAX_VALUE, Integer.MAX_VALUE));
        Assert.assertEquals(Integer.MAX_VALUE, MathUtil.addSafe(Integer.MAX_VALUE, 1));
        Assert.assertEquals(Integer.MAX_VALUE, MathUtil.addSafe(1, Integer.MAX_VALUE));
        Assert.assertEquals(Integer.MAX_VALUE, MathUtil.addSafe(Integer.MAX_VALUE, 0));
        Assert.assertEquals(Integer.MAX_VALUE, MathUtil.addSafe(0, Integer.MAX_VALUE));
        Assert.assertEquals(Integer.MAX_VALUE - 1, MathUtil.addSafe(Integer.MAX_VALUE, -1));
        Assert.assertEquals(Integer.MAX_VALUE - 1, MathUtil.addSafe(-1, Integer.MAX_VALUE));

        Assert.assertEquals(-1, MathUtil.addSafe(Integer.MIN_VALUE, Integer.MAX_VALUE));
        Assert.assertEquals(-1, MathUtil.addSafe(Integer.MAX_VALUE, Integer.MIN_VALUE));

        Assert.assertEquals(Integer.MIN_VALUE, MathUtil.addSafe(Integer.MIN_VALUE, -Integer.MAX_VALUE));
    }",
"(int a, int b)","public class SubtractSafe {
public static int subtractSafe(int a, int b)
    {
        int r = a - b;
        if (((a ^ b) & (a ^ r)) < 0)
        {
            return a < 0 ? Integer.MIN_VALUE : Integer.MAX_VALUE;
        }
        return r;
    }
}","@Test
    public void testSubtractSafeIntInt()
    {
        Assert.assertEquals(Integer.MIN_VALUE, MathUtil.subtractSafe(Integer.MIN_VALUE, Integer.MAX_VALUE));
        Assert.assertEquals(Integer.MIN_VALUE, MathUtil.subtractSafe(Integer.MIN_VALUE, 1));
        Assert.assertEquals(Integer.MAX_VALUE, MathUtil.subtractSafe(1, Integer.MIN_VALUE));
        Assert.assertEquals(Integer.MIN_VALUE, MathUtil.subtractSafe(Integer.MIN_VALUE, 0));
        Assert.assertEquals(Integer.MAX_VALUE, MathUtil.subtractSafe(0, Integer.MIN_VALUE));
        Assert.assertEquals(Integer.MIN_VALUE + 1, MathUtil.subtractSafe(Integer.MIN_VALUE, -1));
        Assert.assertEquals(Integer.MAX_VALUE, MathUtil.subtractSafe(-1, Integer.MIN_VALUE));

        Assert.assertEquals(Integer.MAX_VALUE, MathUtil.subtractSafe(Integer.MAX_VALUE, Integer.MIN_VALUE));
        Assert.assertEquals(Integer.MAX_VALUE, MathUtil.subtractSafe(Integer.MAX_VALUE, -1));
        Assert.assertEquals(Integer.MIN_VALUE, MathUtil.subtractSafe(-1, Integer.MAX_VALUE));
        Assert.assertEquals(Integer.MAX_VALUE, MathUtil.subtractSafe(Integer.MAX_VALUE, 0));
        Assert.assertEquals(Integer.MIN_VALUE + 1, MathUtil.subtractSafe(0, Integer.MAX_VALUE));
        Assert.assertEquals(Integer.MAX_VALUE - 1, MathUtil.subtractSafe(Integer.MAX_VALUE, 1));
        Assert.assertEquals(Integer.MIN_VALUE + 2, MathUtil.subtractSafe(1, Integer.MAX_VALUE));

        Assert.assertEquals(0, MathUtil.subtractSafe(Integer.MIN_VALUE, Integer.MIN_VALUE));
        Assert.assertEquals(0, MathUtil.subtractSafe(Integer.MAX_VALUE, Integer.MAX_VALUE));
    }",
