Function,cyclomatic_complexity
"public class Acceptnumparam {

    public boolean acceptnumparam(int numParam) {
		return numParam > 0;
}",1
"public class Acceptnumparam {

    public boolean acceptnumparam(int numParam) {
		return numParam == 1;
}",1
"public class Acceptnumparam {

    public boolean acceptnumparam(int numParam) {
		return numParam == 1;
}",1
"public class Mbtobyte {

    public long mbtobyte(final long mbytes) {
        final int MB_TO_BYTE = 1048576;
        return mbytes * MB_TO_BYTE;
}",1
"public class Istokenexpired {

    public boolean istokenexpired(final long tokenExpiryTime) {
        return tokenExpiryTime < System.currentTimeMillis();
}",1
"public class Distancesq {

    public static double distancesq(double x1, double y1,
                                    double x2, double y2)
    {
        x1 -= x2;
        y1 -= y2;
        return (x1 * x1 + y1 * y1);
}",1
"public class Distance {

    public static double distance(double x1, double y1,
                                  double x2, double y2)
    {
        x1 -= x2;
        y1 -= y2;
        return Math.sqrt(x1 * x1 + y1 * y1);
}",1
"public class Fontsize {

    public int fontsize(int pt, int dpi) {
        return (int) ( ((float) pt) / 72f * ((float) dpi) );
}",1
"public class Toalfrescolocktimeout {

    public int toalfrescolocktimeout(int timeout) {
        return timeout * 60;
}",1
"public class Randomnumber {

    public int randomnumber(int min, int max) {
        return min + (int)(Math.random() * ((max - min) + 1));
}",1
"public class Restartat {

    public boolean restartat(int resumeId) {
        return false;
}",1
"public class Restartat {

    public boolean restartat(int resumeId) {
    
    //	Cannot restart the search
    
    return false;
}",1
"public class Rounduplongsize {

    public long rounduplongsize(long lSize) {
	    return ( lSize + 512L) & 0xFFFFFFFFFFFFFE00L;
}",1
"public class Roundupintsize {

    public int roundupintsize(int iSize) {
	    return ( iSize + 512) & 0xFFFFFE00;
}",1
"public class Setbulkfetch {

    public boolean setbulkfetch(boolean bulkFetch) {
    	return false;
}",1
"public class Setbulkfetchsize {

    public int setbulkfetchsize(int bulkFetchSize) {
    	return 0;
}",1
"public class Setbulkfetch {

    public boolean setbulkfetch(boolean bulkFetch) {
        return false;
}",1
"public class Setbulkfetchsize {

    public int setbulkfetchsize(int bulkFetchSize) {
        return 0;
}",1
"public class Setbulkfetch {

    public boolean setbulkfetch(boolean bulkFetch) {
    	return false;
}",1
"public class Setbulkfetchsize {

    public int setbulkfetchsize(int bulkFetchSize) {
    	return 0;
}",1
"public class Setbulkfetch {

    public boolean setbulkfetch(boolean bulkFetch) {
    	return false;
}",1
"public class Setbulkfetchsize {

    public int setbulkfetchsize(int bulkFetchSize) {
    	return 0;
}",1
"public class Minset {

    public long minset(long value1, long value2) {
        if (value1 < 0)
        {
            return value2;
}",3
"public class Maxset {

    public long maxset(long value1, long value2) {
        if (value1 < 0 || value2 < 0)
        {
            return -1;
}",3
"public class Lookforselectableposition {

    public int lookForSelectablePosition(int position, boolean lookDown) {
        return position;
}",1
"public class Getitemid {

    public long getitemid(int position) {
		// TODO Auto-generated method stub
		return 0;
}",1
"public class Truncate {

    public int truncate(int a) {
			if (a < 0)
				return 0;
			else if (a > 255)
				return 255;
			else
				return a;
}",3
"public class Getvalidinterval {

    public int getvalidinterval(int a_value) {
		if(a_value < 0) return 0;
		if(a_value > 255) return 255;
		return a_value;
}",3
"public class Iswhitespace {

    public boolean iswhitespace(byte byteToCheck) {
        switch (byteToCheck) {
            case ' ' :
            case '\n' :
            case '\r' :
            case '\t' :
                return true;
            default :
                return false;
}",2
"public class Istokenseparator {

    public boolean istokenseparator(char ch) {
        return (ch == ',');
}",1
"public class Iswhitespace {

    public boolean iswhitespace(char ch) {

        // we do not use Character.isWhitspace(ch) here, since that allows
        // many control characters which are not whitespace as per RFC 2616
        return ((ch == '\t') || Character.isSpaceChar(ch));
}",2
"public class Iswhitespace {

    public boolean iswhitespace(byte byteToCheck) {
        switch (byteToCheck) {
            case ' ' :
            case '\n' :
            case '\r' :
            case '\t' :
                return true;
            default :
                return false;
}",2
"public class Equals {

    public boolean equals(float f1, float f2, float delta) {
		return Math.abs(f1 - f2) <= delta;
}",1
"public class Equals {

    public boolean equals(double f1, double f2, double delta) {
		return Math.abs(f1 - f2) <= delta;
}",1
"public class Decodedigit {

    public int decodeDigit(byte data) {
		char charData = (char) data;
		if (charData <= 'Z' && charData >= 'A')
			return charData - 'A';
		if (charData <= 'z' && charData >= 'a')
			return charData - 'a' + 26;
		if (charData <= '9' && charData >= '0')
			return charData - '0' + 52;
		switch (charData) {
			case '+' :
				return 62;
			case '/' :
				return 63;
			default :
				throw new IllegalArgumentException(""Invalid char to decode: "" + data); //$NON-NLS-1$
}",8
"public class Getpasswordmaximumlength {

    public int getpasswordmaximumlength(int quality) {
        // Kind-of arbitrary.
        return 16;
}",1
"public class Onmove {

    public boolean onmove(int oldPosition, int newPosition) {
        return true;
}",1
"public class Getaltitude {

    public float getaltitude(float p0, float p) {
        final float coef = 1.0f / 5.255f;
        return 44330.0f * (1.0f - (float)Math.pow(p/p0, coef));
}",1
"public class Setpsrtprogramtype {

    public boolean setpsrtprogramtype(int pty) {
      boolean bStatus = false;

      return bStatus;
}",1
"public class Transmitrdsgroupcontrol {

    public boolean transmitrdsgroupcontrol(int ctrlCmd) {
      boolean bStatus = false;

      return bStatus;
}",1
"public class Isstatussuccess {

    public boolean isstatussuccess(int status) {
        return (status >= 200 && status < 300);
}",2
"public class Isstatuserror {

    public boolean isstatuserror(int status) {
        return (status >= 400 && status < 600);
}",2
"public class Requestroutetohost {

    public boolean requestroutetohost(int hostAddress) {
        return false;
}",1
"public class Iswhitespace {

    public boolean iswhitespace(char c) {
            switch(c) {
            case ' ':
            case '\t':
            case '\f':
            case '\n':
            case '\r':
            case 11: /* VT */
                return true;
            default:
                return false;
}",2
"public class Decodehexdigit {

    public int decodehexdigit(char c) {
        if (c >= '0' && c <= '9') {
            return c - '0';
}",7
"public class Sectortoblock {

    public int sectortoblock(int sectorIndex) {
        if (sectorIndex < 32) {
            return sectorIndex * 4;
}",2
"public class Isstatusinformational {

    public boolean isstatusinformational(int status) {
        return (status >= 100 && status < 200);
}",2
"public class Isstatussuccess {

    public boolean isstatussuccess(int status) {
        return (status >= 200 && status < 300);
}",2
"public class Isstatuserror {

    public boolean isstatuserror(int status) {
        return (status >= 400 && status < 600);
}",2
"public class Isstatusclienterror {

    public boolean isstatusclienterror(int status) {
        return (status >= 400 && status < 500);
}",2
"public class Isstatusservererror {

    public boolean isstatusservererror(int status) {
        return (status >= 500 && status < 600);
}",2
"public class Isstatuscompleted {

    public boolean isstatuscompleted(int status) {
        return (status >= 200 && status < 300) || (status >= 400 && status < 600);
}",4
"public class Isstatusinformational {

    public boolean isstatusinformational(int status) {
            return (status >= 100 && status < 200);
}",2
"public class Isstatussuccess {

    public boolean isstatussuccess(int status) {
            return (status >= 200 && status < 300);
}",2
"public class Isstatuserror {

    public boolean isstatuserror(int status) {
            return (status >= 400 && status < 600);
}",2
"public class Isstatusclienterror {

    public boolean isstatusclienterror(int status) {
            return (status >= 400 && status < 500);
}",2
"public class Isstatusservererror {

    public boolean isstatusservererror(int status) {
            return (status >= 500 && status < 600);
}",2
"public class Isstatuscompleted {

    public boolean isstatuscompleted(int status) {
            return (status >= 200 && status < 300) || (status >= 400 && status < 600);
}",4
"public class Isgraphic {

    public boolean isgraphic(char c) {
        int gc = Character.getType(c);
        return     gc != Character.CONTROL
                && gc != Character.FORMAT
                && gc != Character.SURROGATE
                && gc != Character.UNASSIGNED
                && gc != Character.LINE_SEPARATOR
                && gc != Character.PARAGRAPH_SEPARATOR
                && gc != Character.SPACE_SEPARATOR;
}",7
"public class Isprintableascii {

    public boolean isprintableascii(final char c) {
        final int asciiFirst = 0x20;
        final int asciiLast = 0x7E;  // included
        return (asciiFirst <= c && c <= asciiLast) || c == '\r' || c == '\n';
}",4
"public class Isrtlcharacter {

    public boolean isrtlcharacter(char c) {
        //range of RTL characters per unicode specification
        return (c >= 0x0590 && c <= 0x05FF) ||
               (c >= 0xFB1D && c <= 0xFB4F) ||
               (c >= 0x0600 && c <= 0x07BF) ||
               (c >= 0xFB50 && c <= 0xFDFF) ||
               (c >= 0xFE70 && c <= 0xFEFE)    ;
}",10
"public class Isarabiccharacter {

    public boolean isarabiccharacter(char c) {
        //range of Arabic characters per unicode specification
        return (c >= 0x0600 && c <= 0x06FF) ||
               (c >= 0x0750 && c <= 0x077F) ||
               (c >= 0xFB50 && c <= 0xFDFF) ||
               (c >= 0xFE70 && c <= 0xFEFE)    ;
}",8
"public class Maxoutputsize {

    public int maxoutputsize(int len) {
            return len * 3/4 + 10;
}",1
"public class Maxoutputsize {

    public int maxoutputsize(int len) {
            return len * 8/5 + 10;
}",1
"public class Getweighteddistancefor {

    public int getWeightedDistanceFor(int majorAxisDistance, int minorAxisDistance) {
        return 13 * majorAxisDistance * majorAxisDistance
                + minorAxisDistance * minorAxisDistance;
}",1
"public class Onsetalpha {

    public boolean onsetalpha(int alpha) {
        return false;
}",1
"public class Makemeasurespec {

    public int makemeasurespec(int size, int mode) {
            return size + mode;
}",1
"public class Getchilddrawingorder {

    public int getchilddrawingorder(int childCount, int i) {
        return i;
}",1
"public class Performcontextmenuaction {

    public boolean performcontextmenuaction(int id) {
        return false;
}",1
"public class Lookforselectableposition {

    public int lookForSelectablePosition(int position, boolean lookDown) {
        return position;
}",1
"public class Getitemid {

    public long getitemid(int position) {
        return position;
}",1
"public class Getcombinedchildid {

    public long getcombinedchildid(long groupId, long childId) {
        return 0x8000000000000000L | ((groupId & 0x7FFFFFFF) << 32) | (childId & 0xFFFFFFFF);
}",1
"public class Getcombinedgroupid {

    public long getcombinedgroupid(long groupId) {
        return (groupId & 0x7FFFFFFF) << 32;
}",1
"public class Getchildtype {

    public int getchildtype(int groupPosition, int childPosition) {
        return 0;
}",1
"public class Getgrouptype {

    public int getgrouptype(int groupPosition) {
        return 0;
}",1
"public class Gettopselectionpixel {

    public int gettopselectionpixel(int childrenTop, int fadingEdgeLength, int rowStart) {
        // first pixel we can draw the selection into
        int topSelectionPixel = childrenTop;
        if (rowStart > 0) {
            topSelectionPixel += fadingEdgeLength;
}",2
"public class Measurenullchild {

    public int measureNullChild(int childIndex) {
        return 0;
}",1
"public class Gettopselectionpixel {

    public int gettopselectionpixel(int childrenTop, int fadingEdgeLength, int selectedPosition) {
        // first pixel we can draw the selection into
        int topSelectionPixel = childrenTop;
        if (selectedPosition > 0) {
            topSelectionPixel += fadingEdgeLength;
}",2
"public class Getitemid {

    public long getitemid(int position) {
        return position;
}",1
"public class Round {

    public int round(float x) {
        long lx = (long)(x * (65536 * 256f));
        return (int)((lx + 0x800000) >> 24);
}",1
"public class Istokencharacter {

    public boolean istokencharacter(int ch) {
        
        if((ch < 33) || (ch > 126)) {
            return false;
}",4
"public class Istext {

    public boolean istext(int ch) {
        
        if(((ch >= 32) && (ch <= 126)) || ((ch >= 128) && (ch <= 255))) {
            return true;
}",6
"public class Isdomainchar {

    public boolean isdomainchar(char c) {
    return c == '-' || Character.isLetter(c) || Character.isDigit(c);
}",3
"public class Ispunctuation {

    public boolean ispunctuation(char ch) {
    switch (ch) {
      case '.': case ',': case '""': case ':': case ';':
      case '?': case '!': case '(': case ')':
        return true;

      default:
        return false;
}",2
"public class Isformatchar {

    public boolean isformatchar(char ch) {
    switch (ch) {
      case '*': case '_': case '^':
        return true;

      default:
        return false;
}",2
"public class Dmethod {

    public int dmethod(int level) {
        int count = 0;
        if (level > 0) {
            count = dMethod(level - 1);
}",4
"public class Getitemviewtype {

    public int getitemviewtype(int position) {
        return 0;
}",1
"public class Alpha {

    public int alpha(int color) {
        return color >>> 24;
}",1
"public class Red {

    public int red(int color) {
        return (color >> 16) & 0xFF;
}",1
"public class Green {

    public int green(int color) {
        return (color >> 8) & 0xFF;
}",1
"public class Blue {

    public int blue(int color) {
        return color & 0xFF;
}",1
"public class Rgb {

    public int rgb(int red, int green, int blue) {
        return (0xFF << 24) | (red << 16) | (green << 8) | blue;
}",1
"public class Argb {

    public int argb(int alpha, int red, int green, int blue) {
        return (alpha << 24) | (red << 16) | (green << 8) | blue;
}",1
"public class Hue {

    public float hue(int color) {
        int r = (color >> 16) & 0xFF;
        int g = (color >> 8) & 0xFF;
        int b = color & 0xFF;

        int V = Math.max(b, Math.max(r, g));
        int temp = Math.min(b, Math.min(r, g));

        float H;

        if (V == temp) {
            H = 0;
}",5
"public class Saturation {

    public float saturation(int color) {
        int r = (color >> 16) & 0xFF;
        int g = (color >> 8) & 0xFF;
        int b = color & 0xFF;
            int V = Math.max(b, Math.max(r, g));
        int temp = Math.min(b, Math.min(r, g));

        float S;

        if (V == temp) {
            S = 0;
}",2
"public class Brightness {

    public float brightness(int color) {
        int r = (color >> 16) & 0xFF;
        int g = (color >> 8) & 0xFF;
        int b = color & 0xFF;

        int V = Math.max(b, Math.max(r, g));

        return (V / 255.f);
}",1
"public class Onlevelchange {

    public boolean onlevelchange(int level) { return false;
}",1
"public class Getvalueforvibratesetting {

    public static int getvalueforvibratesetting(int existingValue, int vibrateType,
            int vibrateSetting) {

        // First clear the existing setting. Each vibrate type has two bits in
        // the value. Note '3' is '11' in binary.
        existingValue &= ~(3 << (vibrateType * 2));

        // Set into the old value
        existingValue |= (vibrateSetting & 3) << (vibrateType * 2);

        return existingValue;
}",1
"public class Getrouting {

    public int getrouting(int mode) {
        return 0;
}",1
"public class Length {

    public float length(float x, float y, float z) {
        return (float) Math.sqrt(x * x + y * y + z * z);
}",1
"public class Shoulddevicestayawake {

    public boolean shoulddevicestayawake(int stayAwakeConditions, int pluggedType) {
            return (stayAwakeConditions & pluggedType) != 0;
}",1
"public class Isisodigit {

    public boolean isisodigit(char c) {
        return c >= '0' && c <= '9';
}",2
"public class Trygetisodigit {

    public int trygetisodigit(char ch) {
        if ('0' <= ch && ch <= '9') {
            return ch - '0';
}",3
"public class Gsmbcdbytetoint {

    public int gsmbcdbytetoint(byte b) {
        int ret = 0;

        // treat out-of-range BCD values aspublic 0 if((b & 0xf0) <= 0x90) {
            ret = (b >> 4) & 0xf;
}",3
"public class Cdmabcdbytetoint {

    public int cdmabcdbytetoint(byte b) {
        int ret = 0;

        // treat out-of-range BCD values aspublic 0 if((b & 0xf0) <= 0x90) {
            ret = ((b >> 4) & 0xf) * 10;
}",3
"public class Regcodeisroaming {

    public boolean regcodeisroaming(int code) {
        // 5 is  ""in service -- roam""
        return 5 == code;
}",1
"public class Convertdtmftoascii {

    public byte convertdtmftoascii(byte dtmfDigit) {
        byte asciiDigit;

        switch (dtmfDigit) {
        case  0: asciiDigit = 68; break; // 'D'
        case  1: asciiDigit = 49; break; // '1'
        case  2: asciiDigit = 50; break; // '2'
        case  3: asciiDigit = 51; break; // '3'
        case  4: asciiDigit = 52; break; // '4'
        case  5: asciiDigit = 53; break; // '5'
        case  6: asciiDigit = 54; break; // '6'
        case  7: asciiDigit = 55; break; // '7'
        case  8: asciiDigit = 56; break; // '8'
        case  9: asciiDigit = 57; break; // '9'
        case 10: asciiDigit = 48; break; // '0'
        case 11: asciiDigit = 42; break; // '*'
        case 12: asciiDigit = 35; break; // '#'
        case 13: asciiDigit = 65; break; // 'A'
        case 14: asciiDigit = 66; break; // 'B'
        case 15: asciiDigit = 67; break; // 'C'
        default:
            asciiDigit = 32; // Invalid DTMF code
            break;
}",2
"public class Regcodeisroaming {

    public boolean regcodeisroaming(int code) {
        // 5 is  ""in service -- roam""
        return 5 == code;
}",1
"public class Getmask {

    public int getmask(int numOfBits) {
        int mask = 0x00;

        switch (numOfBits) {
        case 1:
            mask = 0x01;
            break;
        case 2:
            mask = 0x03;
            break;
        case 3:
            mask = 0x07;
            break;
        case 4:
            mask = 0x0F;
            break;
        case 5:
            mask = 0x1F;
            break;
        case 6:
            mask = 0x3F;
            break;
        case 7:
            mask = 0x7F;
            break;
        case 8:
            mask = 0xFF;
            break;
}",2
"public class Computechannel {

    public int computechannel(int c1, int c2, float percent) {
            return c1 + (int)((percent * (c2-c1)) + .5);
}",1
"public class Nanostomicros {

    public int nanostomicros(long nanos) {
        long micros = nanos / 1000;
        int microsInt = (int) micros;
        if (microsInt != micros) {
            throw new RuntimeException(""Integer overflow: "" + nanos);
}",2
"public class Comparesignallevel {

    public int comparesignallevel(int rssiA, int rssiB) {
        return rssiA - rssiB;
}",1
"public class Maxoutputsize {

    public int maxoutputsize(int len) {
            return len * 3/4 + 10;
}",1
"public class Maxoutputsize {

    public int maxoutputsize(int len) {
            return len * 8/5 + 10;
}",1
"public class Placeitem {

    public int placeitem(int offset) {
        return offset + 32;
}",1
"public class Placeitem {

    public int placeitem(int offset) {
        return offset + 8;
}",1
"public class Placeitem {

    public int placeitem(int offset) {
        return offset + 8;
}",1
"public class Placeitem {

    public int placeitem(int offset) {
        return offset + 12;
}",1
"public class Placeitem {

    public int placeitem(int offset) {
        return offset + 4;
}",1
"public class Placeitem {

    public int placeitem(int offset) {
        return offset + 4;
}",1
"public class Placevalue {

    public int placevalue(int offset) {
        return offset + 1;
}",1
"public class Placevalue {

    public int placevalue(int offset) {
        return offset + 2;
}",1
"public class Placevalue {

    public int placevalue(int offset) {
        return offset + 1;
}",1
"public class Unsignedleb128size {

    public int unsignedleb128size(int value) {
        // TODO: This could be much cleverer.

        int remaining = value >>> 7;
        int count = 0;

        while (remaining != 0) {
            value = remaining;
            remaining >>>= 7;
            count++;
}",2
"public class Signedleb128size {

    public int signedleb128size(int value) {
        // TODO: This could be much cleverer.

        int remaining = value >> 7;
        int count = 0;
        boolean hasMore = true;
        int end = ((value & Integer.MIN_VALUE) == 0) ? 0 : -1;

        while (hasMore) {
            hasMore = (remaining != end)
                || ((remaining & 1) != ((value >> 6) & 1));

            value = remaining;
            remaining >>= 7;
            count++;
}",3
"public class Decodehighsignednibble {

    public byte decodehighsignednibble(byte b) {
        return (byte)(b >> 4);
}",1
"public class Decodelowsignednibble {

    public byte decodelowsignednibble(byte b) {
        return (byte)(((byte)(b << 4)) >> 4);
}",1
"public class Decodehighunsignednibble {

    public byte decodehighunsignednibble(byte b) {
        return (byte)((b & 0xFF) >>> 4);
}",1
"public class Decodelowunsignednibble {

    public byte decodelowunsignednibble(byte b) {
        return (byte)(b & 0x0F);
}",1
"public class Decodeunsignedbyte {

    public short decodeunsignedbyte(byte b) {
        return (short)(b & 0xFF);
}",1
"public class Decodeshort {

    public short decodeshort(byte lsb, byte msb) {
        return (short)
               (    (lsb & 0xFF) |
                    (msb << 8)
               );
}",1
"public class Decodeunsignedshort {

    public int decodeunsignedshort(byte lsb, byte msb) {
        return  (   (lsb & 0xFF) |
                    ((msb & 0xFF) << 8)
                );
}",1
"public class Decodeint {

    public int decodeint(byte lsb, byte mlsb, byte mmsb, byte msb) {
        return (lsb & 0xFF) |
               ((mlsb & 0xFF) << 8) |
               ((mmsb & 0xFF) << 16) |
               (msb << 24);
}",1
"public class Decodelong {

    public static long decodelong(byte llsb, byte lmlsb, byte lmmsb, byte lgsb, byte glsb, byte gmlsb, byte gmmsb,
                                  byte gmsb) {
        return  (llsb   & 0xFFL) |
                ((lmlsb & 0xFFL) << 8) |
                ((lmmsb & 0xFFL) << 16) |
                ((lgsb  & 0xFFL) << 24) |
                ((glsb  & 0xFFL) << 32) |
                ((gmlsb & 0xFFL) << 40) |
                ((gmmsb & 0xFFL) << 48) |
                (((long)gmsb) << 56);
}",1
"public class Compare {

    public int compare(byte b1, byte b2) {
    if (b1 < b2) {
      return -1;
}",3
"public class Compareunsigned {

    public int compareunsigned(int b1, int b2) {
    return (b1 & 0xFF) - (b2 & 0xFF);
}",1
"public class Compare {

    public int compare(long l1, long l2) {
    if (l1 < l2) {
      return -1;
}",3
"public class Nextpowoftwo {

    public int nextpowoftwo(int expected) {
    int value = 1;
    while (value < expected) {
      value <<= 1;
}",2
"public class Isundefined {

    public boolean isundefined(double value) {
    return Double.isNaN(value) || Double.isInfinite(value);
}",2
"public class Isundefined {

    public boolean isundefined(float value) {
    return Float.isNaN(value) || Float.isInfinite(value);
}",2
"public class Gethexchar {

    private static char gethexchar(
        byte    value)
    {
        switch (value)
        {
        case 0:
            return '0';
        case 1:
            return '1';
        case 2:
            return '2';
        case 3:
            return '3';
        case 4:
            return '4';
        case 5:
            return '5';
        case 6:
            return '6';
        case 7:
            return '7';
        case 8:
            return '8';
        case 9:
            return '9';
        case 10:
            return 'a';
        case 11:
            return 'b';
        case 12:
            return 'c';
        case 13:
            return 'd';
        case 14:
            return 'e';
        case 15:
            return 'f';
        default:
            return 'Z';
}",2
"public class Isvalidtokenchar {

    boolean isValidTokenChar(
        char c)
    {
        if ( ( (c >= '\u0000') && (c <='\u0020') ) ||
             ( (c >= '\u003a') && (c <= '\u0040') ) ||
             ( (c >= '\u005b') && (c <= '\u005d') ) ||
             ('\u002c' == c) ||
             ('\u0025' == c) ||
             ('\u0028' == c) ||
             ('\u0029' == c) ||
             ('\u007b' == c) ||
             ('\u007d' == c) ||
             ('\u007f' == c) )
            return false;

        return true;
}",14
"public class Iswhitespace {

    boolean isWhiteSpace(
        char c)
    {
        if ( ('\t' == c) ||  // HORIZONTAL TABULATION.
             ('\n' == c) ||  // LINE FEED.
             ('\r' == c) ||  // CARRIAGE RETURN.
             ('\u0020' == c) )
            return true;

        return false;
}",5
"public class Isvalidtokenchar {

    boolean isValidTokenChar(
        char c)
    {
        if ( ( (c >= '\u0000') && (c <='\u0020') ) ||
             ( (c >= '\u003a') && (c <= '\u0040') ) ||
             ( (c >= '\u005b') && (c <= '\u005d') ) ||
             ('\u002c' == c) ||
             ('\u0025' == c) ||
             ('\u0028' == c) ||
             ('\u0029' == c) ||
             ('\u007b' == c) ||
             ('\u007d' == c) ||
             ('\u007f' == c) )
            return false;

        return true;
}",14
"public class Iswhitespace {

    boolean isWhiteSpace(
        char c)
    {
        if ( ('\t' == c) || // HORIZONTAL TABULATION.
             ('\n' == c) || // LINE FEED.
             ('\r' == c) || // CARRIAGE RETURN.
             ('\u0020' == c) )
            return true;

        return false;
}",5
"public class Unshiftchar {

    public char unshiftchar(char c, int shift) {
		return (char)(((int)c + 26 -  97 - shift) % 26 + 97);
}",1
"public class Shiftchar {

    public char shiftchar(char c, int shift) {
		return (char)(((int)c + shift - 97) % 26 + 97);
}",1
"public class Convertdigit {

    public char convertdigit(int value) {

        value &= 0x0f;
        if (value >= 10)
            return ((char)(value - 10 + 'a'));
        else
            return ((char)(value + '0'));
}",2
"public class Isvalid {

    public boolean isvalid(long sValue) {
        return !((sValue < 0L) || (sValue > 255L));
}",2
"public class Isvalid {

    public boolean isvalid(long iValue) {
        return !((iValue < 0L) || (iValue > 4294967295L));
}",2
"public class Compare {

    public int compare(long thisLong, long thatLong) {
        // To avoid infinite recursion, do not instantiate UnsignedLong in this method, which may be called during UnsignedLong instantiation.

        if (thisLong == thatLong) {
            return 0;
}",4
"public class Isvalid {

    public boolean isvalid(long sValue) {
        return !((sValue < 0L) || (sValue > 65535L));
}",2
"public class Isdigit {

    public boolean isdigit(char p_char) {
        return p_char >= '0' && p_char <= '9';
}",2
"public class Isalpha {

    public boolean isalpha(char p_char) {
        return ((p_char >= 'a' && p_char <= 'z') || (p_char >= 'A' && p_char <= 'Z'));
}",4
"public class Ispunctuation {

    public boolean ispunctuation(char c) {
        return '-' == c
                || '.' == c
                || ':' == c
                || '\u00B7' == c
                || '\u0387' == c
                || '-' == c
                || '\u06DD' == c
                || '\u06DE' == c;
}",8
"public class Issupplemental {

    public boolean issupplemental(int c) {
        return (c >= 0x10000 && c <= 0x10FFFF);
}",2
"public class Supplemental {

    public int supplemental(char h, char l) {
        return (h - 0xD800) * 0x400 + (l - 0xDC00) + 0x10000;
}",1
"public class Highsurrogate {

    public char highsurrogate(int c) {
        return (char) (((c - 0x00010000) >> 10) + 0xD800);
}",1
"public class Lowsurrogate {

    public char lowsurrogate(int c) {
        return (char) (((c - 0x00010000) & 0x3FF) + 0xDC00);
}",1
"public class Ishighsurrogate {

    public boolean ishighsurrogate(int c) {
        return (0xD800 <= c && c <= 0xDBFF);
}",2
"public class Islowsurrogate {

    public boolean islowsurrogate(int c) {
        return (0xDC00 <= c && c <= 0xDFFF);
}",2
"public class Ismarkup {

    public boolean ismarkup(int c) {
        return c == '<' || c == '&' || c == '%';
}",3
"public class Validate {

    public boolean validate(boolean performVaidation) {
        //override the implementation where necessary.
        //return validation successful here. 
        return true;
}",1
"public class Add {

    public int add(int p1, int p2) {
        return p1 + p2;
}",1
"public class Isgeneratetooltips {

    public boolean isgeneratetooltips(double ratio) {
        return (ratio >= 1.0);
}",1
"public class Isgeneratetext {

    public boolean isgeneratetext(double ratio) {
        return (ratio >= 1.0);
}",1
"public class Dehexchar {

    public int dehexchar(char c) {
        if (c >= '0' && c <= '9') {
            return c - '0';
}",7
"public class Chartoupper {

    public char chartoupper(char c) {
		if ((int) c >= (int) 'a' && (int) c <= (int) 'z')
		{
			c -= (int) 'a' - (int) 'A';
}",3
