Functions,cyclomatic_complexity
"public class ACCEPTNUMPARAM {
/**
	Returns true only for 1 parameter, false otherwise.
	*/
	public boolean acceptnumparam(int numParam) {
		return numParam == 1;
	}
}",1
"public class ACCEPTNUMPARAM {
/**
	Returns true only for 1 parameter, false otherwise.
	*/
	public boolean acceptnumparam(int numParam) {
		return numParam == 1;
	}
}",1
"public class ACCEPTNUMPARAM {
/**
	Returns true only for 1 parameter, false otherwise.
	*/
	public boolean acceptnumparam(int numParam) {
		return numParam == 1;
	}
}",1
"public class ACCEPTNUMPARAM {
/**
	Returns true only for 1 parameter, false otherwise.
	*/
	public boolean acceptnumparam(int numParam) {
		return numParam == 1;
	}
}",1
"public class ACCEPTNUMPARAM {
/**
	Returns true only for 1 parameter, false otherwise.
	*/
	public boolean acceptnumparam(int numParam) {
		return numParam == 1;
	}
}",1
"public class ACCEPTNUMPARAM {
/**
	Returns true only for 1 or 2 parameters, false otherwise.
	*/
	public boolean acceptnumparam(int numParam) {
		return numParam == 1 || numParam == 2;
	}
}",2
"public class ACCEPTNUMPARAM {
/**
	Returns true for 0 or more parameters, false otherwise.
	*/
	public boolean acceptnumparam(int numParam) {
		return numParam >= 0;
	}
}",1
"public class ACCEPTNUMPARAM {
/**
	Returns true for 0 or more parameters, false otherwise.
	*/
	public boolean acceptnumparam(int numParam) {
		return numParam >= 0;
	}
}",1
"public class ACCEPTNUMPARAM {
/**
	Returns true only for 2 parameters, false otherwise.
	*/
	public boolean acceptnumparam(int numParam) {
		return numParam == 2;
	}
}",1
"public class ACCEPTNUMPARAM {
/**
	Returns true only for 0 parameters, false otherwise.
	*/
	public boolean acceptnumparam(int numParam) {
		return numParam == 0;
	}
}",1
"public class ACCEPTNUMPARAM {
/**
	Returns true only for 2 parameters, false otherwise.
	*/
	public boolean acceptnumparam(int numParam) {
		return numParam == 2;
	}
}",1
"public class ACCEPTNUMPARAM {
/**
	Returns true only for 0 parameters, false otherwise.
	*/
	public boolean acceptnumparam(int numParam) {
		return numParam == 0;
	}
}",1
"public class ACCEPTNUMPARAM {
/**
	Returns true only for 1 parameter, false otherwise.
	*/
	public boolean acceptnumparam(int numParam) {
		return numParam == 1;
	}
}",1
"public class ACCEPTNUMPARAM {
/**
	Returns true only for 1 parameter, false otherwise.
	*/
	public boolean acceptnumparam(int numParam) {
		return numParam == 1;
	}
}",1
"public class ACCEPTNUMPARAM {
/**
	Returns true only for 1 parameter, false otherwise.
	*/
	public boolean acceptnumparam(int numParam) {
		return numParam == 1;
	}
}",1
"public class ACCEPTNUMPARAM {
/**
	Returns true only for 1 parameter, false otherwise.
	*/
	public boolean acceptnumparam(int numParam) {
		return numParam == 1;
	}
}",1
"public class ACCEPTNUMPARAM {
/**
	Returns true only for 1 parameter, false otherwise.
	*/
	public boolean acceptnumparam(int numParam) {
		return numParam == 1;
	}
}",1
"public class ACCEPTNUMPARAM {
/**
	Returns true for 1 or more parameters, false otherwise.
	*/
	public boolean acceptnumparam(int numParam) {
		return numParam > 0;
	}
}",1
"public class ACCEPTNUMPARAM {
/**
	Returns true only for 1 parameter, false otherwise.
	*/
	public boolean acceptnumparam(int numParam) {
		return numParam == 1;
	}
}",1
"public class ACCEPTNUMPARAM {
/**
	Returns true only for 1 parameter, false otherwise.
	*/
	public boolean acceptnumparam(int numParam) {
		return numParam == 1;
	}
}",1
"public class MBTOBYTE {
/**
     * Converts MB to bytes.
     * 
     * @param mbytes The MB to convert.
     * @return The converted result.
     */

    private static long mbTobyte(final long mbytes)
    {
        final int MB_TO_BYTE = 1048576;
        return mbytes * MB_TO_BYTE;
    }
}",1
"public class ISTOKENEXPIRED {
/**
     * Checks if the token is expired.
     * 
     * @param tokenExpiryTime The token expiration time.
     * @return A boolean indicating if the token is expired.
     */
    public static boolean istokenexpired(final long tokenExpiryTime)
    {
        return tokenExpiryTime < System.currentTimeMillis();
    }
}",1
"public class DISTANCESQ {
/**
     * Returns the square of the distance between two points.
     *
     * @param x1 the X coordinate of the first specified point
     * @param y1 the Y coordinate of the first specified point
     * @param x2 the X coordinate of the second specified point
     * @param y2 the Y coordinate of the second specified point
     * @return the square of the distance between the two
     * sets of specified coordinates.
     * @since 1.2
     */
    public static double distancesq(double x1, double y1,
                                    double x2, double y2)
    {
        x1 -= x2;
        y1 -= y2;
        return (x1 * x1 + y1 * y1);
    }
}",1
"public class DISTANCE {
/**
     * Returns the distance between two points.
     *
     * @param x1 the X coordinate of the first specified point
     * @param y1 the Y coordinate of the first specified point
     * @param x2 the X coordinate of the second specified point
     * @param y2 the Y coordinate of the second specified point
     * @return the distance between the two sets of specified
     * coordinates.
     * @since 1.2
     */
    public static double distance(double x1, double y1,
                                  double x2, double y2)
    {
        x1 -= x2;
        y1 -= y2;
        return Math.sqrt(x1 * x1 + y1 * y1);
    }
}",1
"public class FONTSIZE {
/**
     * Caclulates the font size in pixels given the font size in points and
     * the resolution (dots-per-inch)
     *
     * @param pt Font size in points (1 in = 72 points)
     * @param dpi Resolution in dots-per-inch (pixels-per-inch)
     * @return the font-size in pixels
     */
    private int fontSize(int pt, int dpi) {
        return (int) ( ((float) pt) / 72f * ((float) dpi) );
    }
}",1
"public class TOALFRESCOLOCKTIMEOUT {
/**
     * Convert FrontPageExtension lock timeout to Alfresco lock timeout. FrontPageExtension timeout is number of minutes, but Alfresco timeout is number of seconds.
     * 
     * @param timeout FrontPageExtension lock timeout
     * @return Alfresco lock timeout
     */
    public static int toalfrescolocktimeout(int timeout)
    {
        return timeout * 60;
    }
}",1
"public class RANDOMNUMBER {
/**
     * @param min
     * @param max
     * @return
     */
    private int randomNumber (int min, int max)
    {
        return min + (int)(Math.random() * ((max - min) + 1));
    }
}",1
"public class RESTARTAT {
/**
     * Restart a search at the specified resume point.
     *
     * @param resumeId   Resume point id.
     * @return           true if the search can be restarted, else false.
     */
    public boolean restartat(int resumeId) {
        return false;
    }
}",1
"public class RESTARTAT {
/**
   * Restart a search at the specified resume point.
   *
   * @param resumeId   Resume point id.
   * @return           true if the search can be restarted, else false.
   */
  public boolean restartat(int resumeId) {
    
    //	Cannot restart the search
    
    return false;
  }
}",1
"public class ROUNDUPLONGSIZE {
/**
	 * Round up the size value to a 512 byte boundary
	 * 
	 * @param lSize long
	 * @return long
	 */
	public static long rounduplongsize(long lSize) {
	    return ( lSize + 512L) & 0xFFFFFFFFFFFFFE00L;
	}
}",1
"public class ROUNDUPINTSIZE {
/**
	 * Round up the size value to a 512 byte boundary
	 * 
	 * @param iSize int
	 * @return int
	 */
	public static int roundupintsize(int iSize) {
	    return ( iSize + 512) & 0xFFFFFE00;
	}
}",1
"public class SETBULKFETCH {
/**
     * Bulk fetch results in the cache - not supported here
     * 
     * @param bulkFetch
     */
    public boolean setbulkfetch(boolean bulkFetch)
    {
    	return false;
    }
}",1
"public class SETBULKFETCHSIZE {
/**
     * Set the bulk fetch size
     * 
     * @param bulkFetchSize
     */
    public int setbulkfetchsize(int bulkFetchSize)
    {
    	return 0;
    }
}",1
"public class SETBULKFETCH {
/**
     * Bulk fetch results in the cache - not supported here
     * 
     * @param bulkFetch
     */
    public boolean setbulkfetch(boolean bulkFetch)
    {
        return false;
    }
}",1
"public class SETBULKFETCHSIZE {
/**
     * Set the bulk fetch size
     * 
     * @param bulkFetchSize
     */
    public int setbulkfetchsize(int bulkFetchSize)
    {
        return 0;
    }
}",1
"public class SETBULKFETCH {
/**
     * Bulk fetch results in the cache
     * 
     * @param bulkFetch
     */
    public boolean setbulkfetch(boolean bulkFetch)
    {
    	return false;
    }
}",1
"public class SETBULKFETCHSIZE {
/**
     * Set the bulk fetch size
     * 
     * @param bulkFetchSize
     */
    public int setbulkfetchsize(int bulkFetchSize)
    {
    	return 0;
    }
}",1
"public class SETBULKFETCH {
/**
     * Bulk fetch results in the cache
     * 
     * @param bulkFetch
     */
    public boolean setbulkfetch(boolean bulkFetch)
    {
    	return false;
    }
}",1
"public class SETBULKFETCHSIZE {
/**
     * Set the bulk fetch size
     * 
     * @param bulkFetchSize
     */
    public int setbulkfetchsize(int bulkFetchSize)
    {
    	return 0;
    }
}",1
"public class MINSET {
/**
     * Returns the lower of the two value supplied, ignoring values less than 
     * 0 unless both are less than zero.
     */
    private long minSet(long value1, long value2)
    {
        if (value1 < 0)
        {
            return value2;
        }
        else if (value2 < 0)
        {
            return value1;
        }
        return Math.min(value1, value2);
    }
}",3
"public class MAXSET {
/**
     * Returns the higher (common denominator) of the two value supplied.
     * If either value is less than 0, -1 is returned.
     */
    private long maxSet(long value1, long value2)
    {
        if (value1 < 0 || value2 < 0)
        {
            return -1;
        }
        return Math.max(value1, value2);
    }
}",3
"public class LOOKFORSELECTABLEPOSITION {
/**
     * Find a position that can be selected (i.e., is not a separator).
     *
     * @param position The starting position to look at.
     * @param lookDown Whether to look down for other positions.
     * @return The next selectable position starting at position and then searching either up or
     *         down. Returns {@link #INVALID_POSITION} if nothing can be found.
     */
    int lookForSelectablePosition(int position, boolean lookDown) {
        return position;
    }
}",1
"public class GETITEMID {
/**
	 * @return 0
	 */
	
	public long getitemid(int position) {
		// TODO Auto-generated method stub
		return 0;
	}
}",1
"public class TRUNCATE {
/**
		 * Sets the RGB between 0 and 255
		 *
		 * @param a
		 * @return
		 */
		private static int truncate(int a) {
			if (a < 0)
				return 0;
			else if (a > 255)
				return 255;
			else
				return a;
		}
}",3
"public class GETVALIDINTERVAL {
/**
	 * method to calculate an appropriate interval for flicker lines
	 * 
	 * @param a_value
	 * @return
	 */
	private static int getValidInterval(int a_value){
		if(a_value < 0) return 0;
		if(a_value > 255) return 255;
		return a_value;
	}
}",3
"public class ISWHITESPACE {
/**
     * Checks if a byte value is whitespace or not.
     * Whitespace is taken to mean: space, tab, CR, LF
     * @param byteToCheck
     *            the byte to check
     * @return true if byte is whitespace, false otherwise
     */
    protected static boolean isWhiteSpace(byte byteToCheck) {
        switch (byteToCheck) {
            case ' ' :
            case '\n' :
            case '\r' :
            case '\t' :
                return true;
            default :
                return false;
        }
    }
}",2
"public class ISTOKENSEPARATOR {
/**
     * Checks whether a character is a token separator.
     * RFC 2616, section 2.1 defines comma as the separator for
     * <tt>#token</tt> sequences. The end of a header value will
     * also separate tokens, but that is not a character check.
     *
     * @param ch        the character to check
     *
     * @return  <code>true</code> if the character is a token separator,
     *          <code>false</code> otherwise
     */
    protected boolean isTokenSeparator(char ch) {
        return (ch == ',');
    }
}",1
"public class ISWHITESPACE {
/**
     * Checks whether a character is a whitespace character.
     * RFC 2616, section 2.2 defines space and horizontal tab as whitespace.
     * The optional preceeding line break is irrelevant, since header
     * continuation is handled transparently when parsing messages.
     *
     * @param ch        the character to check
     *
     * @return  <code>true</code> if the character is whitespace,
     *          <code>false</code> otherwise
     */
    protected boolean isWhitespace(char ch) {

        // we do not use Character.isWhitspace(ch) here, since that allows
        // many control characters which are not whitespace as per RFC 2616
        return ((ch == '\t') || Character.isSpaceChar(ch));
    }
}",2
"public class ISWHITESPACE {
/**
     * Checks if a byte value is whitespace or not.
     * Whitespace is taken to mean: space, tab, CR, LF
     * @param byteToCheck
     *            the byte to check
     * @return true if byte is whitespace, false otherwise
     */
    protected static boolean isWhiteSpace(byte byteToCheck) {
        switch (byteToCheck) {
            case ' ' :
            case '\n' :
            case '\r' :
            case '\t' :
                return true;
            default :
                return false;
        }
    }
}",2
"public class EQUALS {
/**
	 * Compare if two floats are equals within the given delta tolerance.
	 * 
	 * @param f1
	 *            A float
	 * @param f2
	 *            Another float
	 * @param delta
	 *            The delta tolerance.
	 * @return True if they are equal, false if not.
	 */
	public static boolean equals(float f1, float f2, float delta) {
		return Math.abs(f1 - f2) <= delta;
	}
}",1
"public class EQUALS {
/**
	 * Compare if two floats are equals within the given delta tolerance.
	 * 
	 * @param f1
	 *            A float
	 * @param f2
	 *            Another float
	 * @param delta
	 *            The delta tolerance.
	 * @return True if they are equal, false if not.
	 */
	public static boolean equals(double f1, double f2, double delta) {
		return Math.abs(f1 - f2) <= delta;
	}
}",1
"public class DECODEDIGIT {
/**
	 * This method converts a Base 64 digit to its numeric value.
	 * 
	 * @param data digit (character) to convert
	 * @return value for the digit
	 */
	static int decodeDigit(byte data) {
		char charData = (char) data;
		if (charData <= 'Z' && charData >= 'A')
			return charData - 'A';
		if (charData <= 'z' && charData >= 'a')
			return charData - 'a' + 26;
		if (charData <= '9' && charData >= '0')
			return charData - '0' + 52;
		switch (charData) {
			case '+' :
				return 62;
			case '/' :
				return 63;
			default :
				throw new IllegalArgumentException(""Invalid char to decode: "" + data); //$NON-NLS-1$
		}
	}
}",8
"public class GETPASSWORDMAXIMUMLENGTH {
/**
     * Return the maximum password length that the device supports for a
     * particular password quality.
     * @param quality The quality being interrogated.
     * @return Returns the maximum length that the user can enter.
     */
    public int getpasswordmaximumlength(int quality) {
        // Kind-of arbitrary.
        return 16;
    }
}",1
"public class ONMOVE {
/**
     * This function is called every time the cursor is successfully scrolled
     * to a new position, giving the subclass a chance to update any state it
     * may have. If it returns false the move function will also do so and the
     * cursor will scroll to the beforeFirst position.
     *
     * @param oldPosition the position that we're moving from
     * @param newPosition the position that we're moving to
     * @return true if the move is successful, false otherwise
     */
    public boolean onmove(int oldPosition, int newPosition) {
        return true;
    }
}",1
"public class GETALTITUDE {
/**
     * Computes the Altitude in meters from the atmospheric pressure and the
     * pressure at sea level.
     * <p>
     * Typically the atmospheric pressure is read from a
     * {@link Sensor#TYPE_PRESSURE} sensor. The pressure at sea level must be
     * known, usually it can be retrieved from airport databases in the
     * vicinity. If unknown, you can use {@link #PRESSURE_STANDARD_ATMOSPHERE}
     * as an approximation, but absolute altitudes won't be accurate.
     * </p>
     * <p>
     * To calculate altitude differences, you must calculate the difference
     * between the altitudes at both points. If you don't know the altitude
     * as sea level, you can use {@link #PRESSURE_STANDARD_ATMOSPHERE} instead,
     * which will give good results considering the range of pressure typically
     * involved.
     * </p>
     * <p>
     * <code><ul>
     *  float altitude_difference =
     *      getAltitude(SensorManager.PRESSURE_STANDARD_ATMOSPHERE, pressure_at_point2)
     *      - getAltitude(SensorManager.PRESSURE_STANDARD_ATMOSPHERE, pressure_at_point1);
     * </ul></code>
     * </p>
     *
     * @param p0 pressure at sea level
     * @param p atmospheric pressure
     * @return Altitude in meters
     */
   public static float getaltitude(float p0, float p) {
        final float coef = 1.0f / 5.255f;
        return 44330.0f * (1.0f - (float)Math.pow(p/p0, coef));
    }
}",1
"public class SETPSRTPROGRAMTYPE {
/**
    *  Set the Program Type to be used for Continuously transmit
    *  RDS/RBDS Program Service information and RDS/RBDS RadioText
    *  information.
    *  <p>
    *  This is a function to set the Program Type to be used while
    *  transmitting Program Service and Radio Text Information.
    *  <p>
    *  Included in the Program Service information is an RDS/RBDS program type (PTY), and
    *  one or more Program Service strings. The program type (PTY)
    *  is used to describe the content being transmitted and follows
    *  the RDS/RBDS program types described in the RDS/RBDS
    *  specifications.
    *  <p>
    *  Included in the RadioText information is an RDS/RBDS program type (PTY),
    *  and a single string of up to 64 characters. The program type (PTY) is used
    *  to describe the content being transmitted and follows the RDS/RBDS program
    *  types described in the RDS/RBDS specifications.
    *
    *  Note: If the PS or RT transmission is currently active, the
    *  PTY change will take effect when the current transmission is
    *  complete. Typically  setPSRTProgramType should be called
    *  before {@link #setPSInfo} or {@link #setRTInfo} is started.
    *
    *  @param pty the program type to use in the program Service
    *             information and Radio Text information.
    *
    *  @return true if the driver was updated to use the new
    *             Program Type, false if the driver could not be
    *             updated.
    *
    *  @see #setPSInfo
    *  @see #setRTInfo
    *
    */
   public boolean setpsrtprogramtype(int pty){
      boolean bStatus = false;

      return bStatus;
   }
}",1
"public class TRANSMITRDSGROUPCONTROL {
/**
    *  Pause/Resume RDS/RBDS group transmission, or stop and clear
    *  all RDS groups.
    *  <p>
    *  This is a function used to used to pause/resume RDS/RBDS
    *  group transmission, or stop and clear all RDS groups. This
    *  function can be used with to control continuous and
    *  non-continuous RDS/RBDS group transmissions.
    *  <p>
    *  @param ctrlCmd The Tx RDS group control.
    *
    *  @return true if RDS Group Control command was
    *             successfully sent to the driver, false if RDS
    *             Group Control command could not be sent to the
    *             driver.
    *
    *  @see #transmitRdsGroups
    */
   public boolean transmitrdsgroupcontrol(int ctrlCmd){
      boolean bStatus = false;

      return bStatus;
   }
}",1
"public class ISSTATUSSUCCESS {
/**
     * Returns whether the status is a success (i.e. 2xx).
     */
    public static boolean isstatussuccess(int status) {
        return (status >= 200 && status < 300);
    }
}",2
"public class ISSTATUSERROR {
/**
     * Returns whether the status is an error (i.e. 4xx or 5xx).
     */
    public static boolean isstatuserror(int status) {
        return (status >= 400 && status < 600);
    }
}",2
"public class REQUESTROUTETOHOST {
/**
     * Ensure that a network route exists to deliver traffic to the specified
     * host via this network interface.
     * @param hostAddress the IP address of the host to which the route is desired
     * @return {@code true} on success, {@code false} on failure
     */
    public boolean requestroutetohost(int hostAddress) {
        return false;
    }
}",1
"public class ISWHITESPACE {
/**
         * Check if c is whitespace.
         * @param c character to test
         * @return true if c is a whitespace character
         */
        private boolean isWhitespace(char c) {
            switch(c) {
            case ' ':
            case '\t':
            case '\f':
            case '\n':
            case '\r':
            case 11: /* VT */
                return true;
            default:
                return false;
            }
        }
}",2
"public class DECODEHEXDIGIT {
/**
     * Convert a character that represents a hexidecimal digit into an integer.
     * If the character is not a hexidecimal digit, then -1 is returned.
     * Both upper case and lower case hex digits are allowed.
     * @param c the hexidecimal digit.
     * @return the integer value of the hexidecimal digit.
     */

    protected int decodeHexDigit(char c) {
        if (c >= '0' && c <= '9') {
            return c - '0';
        }
        else if (c >= 'A' && c <= 'F') {
            return c - 'A' + 10;
        }
        else if (c >= 'a' && c <= 'f') {
            return c - 'a' + 10;
        }
        else {
            return -1;
        }
    }
}",7
"public class SECTORTOBLOCK {
/**
     * Return the first block of a given sector.
     * <p>Does not cause any RF activity and does not block.
     *
     * @param sectorIndex index of sector to lookup, starting from 0
     * @return block index of first block in sector
     */
    public int sectortoblock(int sectorIndex) {
        if (sectorIndex < 32) {
            return sectorIndex * 4;
        } else {
            return 32 * 4 + (sectorIndex - 32) * 16;
        }
    }
}",2
"public class ISSTATUSINFORMATIONAL {
/**
     * Returns whether the status is informational (i.e. 1xx).
     * @hide
     */
    public static boolean isstatusinformational(int status) {
        return (status >= 100 && status < 200);
    }
}",2
"public class ISSTATUSSUCCESS {
/**
     * Returns whether the status is a success (i.e. 2xx).
     * @hide
     */
    public static boolean isstatussuccess(int status) {
        return (status >= 200 && status < 300);
    }
}",2
"public class ISSTATUSERROR {
/**
     * Returns whether the status is an error (i.e. 4xx or 5xx).
     * @hide
     */
    public static boolean isstatuserror(int status) {
        return (status >= 400 && status < 600);
    }
}",2
"public class ISSTATUSCLIENTERROR {
/**
     * Returns whether the status is a client error (i.e. 4xx).
     * @hide
     */
    public static boolean isstatusclienterror(int status) {
        return (status >= 400 && status < 500);
    }
}",2
"public class ISSTATUSSERVERERROR {
/**
     * Returns whether the status is a server error (i.e. 5xx).
     * @hide
     */
    public static boolean isstatusservererror(int status) {
        return (status >= 500 && status < 600);
    }
}",2
"public class ISSTATUSCOMPLETED {
/**
     * Returns whether the download has completed (either with success or
     * error).
     * @hide
     */
    public static boolean isstatuscompleted(int status) {
        return (status >= 200 && status < 300) || (status >= 400 && status < 600);
    }
}",4
"public class ISSTATUSINFORMATIONAL {
/**
         * Returns whether the status is informational (i.e. 1xx).
         */
        public static boolean isstatusinformational(int status) {
            return (status >= 100 && status < 200);
        }
}",2
"public class ISSTATUSSUCCESS {
/**
         * Returns whether the status is a success (i.e. 2xx).
         */
        public static boolean isstatussuccess(int status) {
            return (status >= 200 && status < 300);
        }
}",2
"public class ISSTATUSERROR {
/**
         * Returns whether the status is an error (i.e. 4xx or 5xx).
         */
        public static boolean isstatuserror(int status) {
            return (status >= 400 && status < 600);
        }
}",2
"public class ISSTATUSCLIENTERROR {
/**
         * Returns whether the status is a client error (i.e. 4xx).
         */
        public static boolean isstatusclienterror(int status) {
            return (status >= 400 && status < 500);
        }
}",2
"public class ISSTATUSSERVERERROR {
/**
         * Returns whether the status is a server error (i.e. 5xx).
         */
        public static boolean isstatusservererror(int status) {
            return (status >= 500 && status < 600);
        }
}",2
"public class ISSTATUSCOMPLETED {
/**
         * Returns whether the download has completed (either with success or
         * error).
         */
        public static boolean isstatuscompleted(int status) {
            return (status >= 200 && status < 300) || (status >= 400 && status < 600);
        }
}",4
"public class ISGRAPHIC {
/**
     * Returns whether this character is a printable character.
     */
    public static boolean isgraphic(char c) {
        int gc = Character.getType(c);
        return     gc != Character.CONTROL
                && gc != Character.FORMAT
                && gc != Character.SURROGATE
                && gc != Character.UNASSIGNED
                && gc != Character.LINE_SEPARATOR
                && gc != Character.PARAGRAPH_SEPARATOR
                && gc != Character.SPACE_SEPARATOR;
    }
}",7
"public class ISPRINTABLEASCII {
/**
     * @hide
     */
    public static boolean isprintableascii(final char c) {
        final int asciiFirst = 0x20;
        final int asciiLast = 0x7E;  // included
        return (asciiFirst <= c && c <= asciiLast) || c == '\r' || c == '\n';
    }
}",4
"public class ISRTLCHARACTER {
/**
     * @hide
     */
    private static boolean isRTLCharacter(char c) {
        //range of RTL characters per unicode specification
        return (c >= 0x0590 && c <= 0x05FF) ||
               (c >= 0xFB1D && c <= 0xFB4F) ||
               (c >= 0x0600 && c <= 0x07BF) ||
               (c >= 0xFB50 && c <= 0xFDFF) ||
               (c >= 0xFE70 && c <= 0xFEFE)    ;
    }
}",10
"public class ISARABICCHARACTER {
/**
     * @hide
     */
    private static boolean isArabicCharacter(char c) {
        //range of Arabic characters per unicode specification
        return (c >= 0x0600 && c <= 0x06FF) ||
               (c >= 0x0750 && c <= 0x077F) ||
               (c >= 0xFB50 && c <= 0xFDFF) ||
               (c >= 0xFE70 && c <= 0xFEFE)    ;
    }
}",8
"public class MAXOUTPUTSIZE {
/**
         * @return an overestimate for the number of bytes {@code
         * len} bytes could decode to.
         */
        public int maxoutputsize(int len) {
            return len * 3/4 + 10;
        }
}",1
"public class MAXOUTPUTSIZE {
/**
         * @return an overestimate for the number of bytes {@code
         * len} bytes could encode to.
         */
        public int maxoutputsize(int len) {
            return len * 8/5 + 10;
        }
}",1
"public class GETWEIGHTEDDISTANCEFOR {
/**
     * Fudge-factor opportunity: how to calculate distance given major and minor
     * axis distances.  Warning: this fudge factor is finely tuned, be sure to
     * run all focus tests if you dare tweak it.
     */
    int getWeightedDistanceFor(int majorAxisDistance, int minorAxisDistance) {
        return 13 * majorAxisDistance * majorAxisDistance
                + minorAxisDistance * minorAxisDistance;
    }
}",1
"public class ONSETALPHA {
/**
     * Invoked if there is a Transform that involves alpha. Subclass that can
     * draw themselves with the specified alpha should return true, and then
     * respect that alpha when their onDraw() is called. If this returns false
     * then the view may be redirected to draw into an offscreen buffer to
     * fulfill the request, which will look fine, but may be slower than if the
     * subclass handles it internally. The default implementation returns false.
     *
     * @param alpha The alpha (0..255) to apply to the view's drawing
     * @return true if the view can draw with the specified alpha.
     */
    protected boolean onSetAlpha(int alpha) {
        return false;
    }
}",1
"public class MAKEMEASURESPEC {
/**
         * Creates a measure specification based on the supplied size and mode.
         *
         * The mode must always be one of the following:
         * <ul>
         *  <li>{@link android.view.View.MeasureSpec#UNSPECIFIED}</li>
         *  <li>{@link android.view.View.MeasureSpec#EXACTLY}</li>
         *  <li>{@link android.view.View.MeasureSpec#AT_MOST}</li>
         * </ul>
         *
         * @param size the size of the measure specification
         * @param mode the mode of the measure specification
         * @return the measure specification based on size and mode
         */
        public static int makemeasurespec(int size, int mode) {
            return size + mode;
        }
}",1
"public class GETCHILDDRAWINGORDER {
/**
     * Returns the index of the child to draw for this iteration. Override this
     * if you want to change the drawing order of children. By default, it
     * returns i.
     * <p>
     * NOTE: In order for this method to be called, you must enable child ordering
     * first by calling {@link #setChildrenDrawingOrderEnabled(boolean)}.
     *
     * @param i The current iteration.
     * @return The index of the child to draw this iteration.
     * 
     * @see #setChildrenDrawingOrderEnabled(boolean)
     * @see #isChildrenDrawingOrderEnabled()
     */
    protected int getChildDrawingOrder(int childCount, int i) {
        return i;
    }
}",1
"public class PERFORMCONTEXTMENUACTION {
/**
     * The default implementation does nothing.
     */
    public boolean performcontextmenuaction(int id) {
        return false;
    }
}",1
"public class LOOKFORSELECTABLEPOSITION {
/**
     * Find a position that can be selected (i.e., is not a separator).
     *
     * @param position The starting position to look at.
     * @param lookDown Whether to look down for other positions.
     * @return The next selectable position starting at position and then searching either up or
     *         down. Returns {@link #INVALID_POSITION} if nothing can be found.
     */
    int lookForSelectablePosition(int position, boolean lookDown) {
        return position;
    }
}",1
"public class GETITEMID {
/**
     * {@inheritDoc}
     */
    public long getitemid(int position) {
        return position;
    }
}",1
"public class GETCOMBINEDCHILDID {
/**
     * Override this method if you foresee a clash in IDs based on this scheme:
     * <p>
     * Base implementation returns a long:
     * <li> bit 0: Whether this ID points to a child (unset) or group (set), so for this method
     *             this bit will be 1.
     * <li> bit 1-31: Lower 31 bits of the groupId
     * <li> bit 32-63: Lower 32 bits of the childId.
     * <p> 
     * {@inheritDoc}
     */
    public long getcombinedchildid(long groupId, long childId) {
        return 0x8000000000000000L | ((groupId & 0x7FFFFFFF) << 32) | (childId & 0xFFFFFFFF);
    }
}",1
