Parameter,Function Name,Random Function Name,Function,Test Case
(int id),retrieve,gtvgihro(int id),"class retrieve {
@Override
    public MCRVersionedMetadata retrieve(int id) throws IOException {
        MCRVersionedMetadata metadata = (MCRVersionedMetadata) super.retrieve(id);
        if (metadata != null) {
            return metadata;
        }
        return new MCRVersionedMetadata(this, getSlot(id), id, super.forceDocType, true);
    }
}","@Test
    public void retrieve() throws Exception {
        Document xml1 = new Document(new Element(""root""));
        int id = getVersStore().create(new MCRJDOMContent(xml1)).getID();
        MCRVersionedMetadata sm1 = getVersStore().retrieve(id);
        MCRContent xml2 = sm1.getMetadata();
        assertEquals(new MCRJDOMContent(xml1).asString(), xml2.asString());
    }"
(int id),getUsers,yxcztxxh(int id),"class getUsers {
public TagUsers getUsers(int id) {
        String url = WxEndpoint.get(""url.tag.user.get"");
        logger.debug(""get tag user: {}"", id);
        String response = wxClient.get(String.format(url, id));
        TagUsers tagUsers = JsonMapper.defaultMapper().fromJson(response, TagUsers.class);
        tagUsers.setTagId(id);
        return tagUsers;
    }
}","@Test
    public void testGetUsers() {
        TagUsers tagUsers = Tags.defaultTags().getUsers(200);
    }"
(int index),get,wtfkmllp(int index),"class get {
public PlaceholderType get(int index) {
        if (index >= this.Array.length) {
            return null;
        } else {
            return this.Array[index];
        }

    }
}","@Test
    public void getTest() {
        System.out.println(""Perform getTest"");

        ArrayDeque<Integer> array = new ArrayDeque<>();

        array.addFirst(123);
        array.addLast(234);
        array.addFirst(345);
        array.addLast(456);

        System.out.println(array.get(3));
    }"
(int index),nth,rmaaorcw(int index),"class nth {
@Override
    public Object nth(int index) {
        assertIndexInBounds(index);

        if (index == 2) {
            return item3;
        } else {
            return super.nth(index);
        }
    }
}","@Test
    public void testAccessingNegative() {
        assertThrows(IndexOutOfBoundsException.class, () -> someTuple.nth(-1));
    }"
(int index),getByte,fnmgttrm(int index),"class getByte {
@Override
    public byte getByte(int index) {
        checkIndex(index, 1);
        return buffer.getByte(index);
    }
}","@Test
    public void testGetByte() {
        ByteBuf buf = Unpooled.copiedBuffer(""TestBuffer"", CharsetUtil.ISO_8859_1);
        ReplayingDecoderByteBuf buffer = new ReplayingDecoderByteBuf(buf);

        boolean error;
        int i = 0;
        try {
            for (;;) {
                buffer.getByte(i);
                i++;
            }
        } catch (Signal e) {
            error = true;
        }

        assertTrue(error);
        assertEquals(10, i);

        buf.release();
    }"
(int index),putFramePathOnStack,aomdlsuy(int index),"class putFramePathOnStack {
public void putFramePathOnStack(int index) {
    if (!switchRequestComingFromFrameSwitcher) {
      expandFramePathStack(new IndexedFrame(index));
    }
  }
}","@Test
  public void shouldPutFrameOnStackById() {
    //given
    assumeThatDequeSizeIs(1);

    //when
    testedObject.putFramePathOnStack(1);

    //then
    assertThatDequeSizeIs(2);
  }"
(int index),get,mshclnje(int index),"class get {
@Override
  public double get(int index) {
    if (index < 0 || index >= size) {
      throw new IndexException(index, size);
    }
    return getQuick(index);
  }
}","@Test
  public void testGet() {
    for (int i = 0; i < test.size(); i++) {
      if (i % 2 == 0) {
        assertEquals(""get ["" + i + ']', 0.0, test.get(i), EPSILON);
      } else {
        assertEquals(""get ["" + i + ']', values[i/2], test.get(i), EPSILON);
      }
    }
  }"
(int index),isNull,dyzotyer(int index),"class isNull {
@Override
  public boolean isNull(int index) {
    return ac.isNull(index);
  }
}","@Test
  public void testIsNull() throws Exception {
    assertNotNull(accessor.getObject(0));
    assertNotNull(accessor.getTime(0, PST_CALENDAR));
    assertNull(accessor.getObject(1));
    assertNull(accessor.getTime(1, PST_CALENDAR));
  }"
(int index),get,khawzlhe(int index),"class get {
@Override
public InputStream get(int index) throws IOException
{
  initializeFiles(getConfiguration());
  if (index >= 0 && index < files.size())
  {
    return HadoopFileUtils.open(getConfiguration(), files.get(index));
  }

  throw new IOException(""Index out of range ("" + index + "") "");
}
}","@Test
@Category(UnitTest.class)
public void testGet() throws Exception
{
  String text =
      ""Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed ut ullamcorper est. Phasellus sed nisl arcu. Nullam non sem quam. Pellentesque vel neque quis erat ultricies dapibus a ac mauris. Morbi sodales vitae nisl ullamcorper facilisis. Quisque pellentesque est in fermentum luctus. Etiam sed nibh id dui faucibus luctus vel sit amet odio. Fusce non sollicitudin ligula, ac fermentum leo. Nulla facilisi."";
  OutputStream outputStream = provider.add();
  PrintStream out = new PrintStream(outputStream);
  out.print(text);

  outputStream.close();

  Assert.assertEquals(""Adhoc size should be 1!"", 1, provider.size());

  InputStream instream = provider.get(0);
  String intext = IOUtils.toString(instream);
  instream.close();

  Assert.assertEquals(""Input string is not equal to output string"", text, intext);
}"
(int index),getByte,zlizrsyk(int index),"class getByte {
@Override
    public byte getByte(int index) {
        checkIndex(index);
        return _getByte(index);
    }
}","@Test(expected = IndexOutOfBoundsException.class)
    public void getByteBoundaryCheck1() {
        buffer.getByte(-1);
    }"
"(int index, int value)",setShort,"mqorvnks(int index, int value)","class setShort {
@Override
    public ByteBuf setShort(int index, int value) {
        checkIndex(index, 2);
        _setShort(index, value);
        return this;
    }
}","@Test(expected = IllegalReferenceCountException.class)
    public void testSetShortAfterRelease() {
        releasedBuffer().setShort(0, 1);
    }"
(int key),get,angjxclu(int key),"class get {
public V get(int key) {
    return delegate.get(key);
  }
}","@Test
  public void testGet() {
    tIntObjectHashMap.get(0);
    verify(delegate).get(0);
  }"
(int length),readBytes,jujaljho(int length),"class readBytes {
@Override
    public ByteBuf readBytes(int length) {
        checkReadableBytes(length);
        if (length == 0) {
            return Unpooled.EMPTY_BUFFER;
        }

        // Use an unpooled heap buffer because there's no way to mandate a user to free the returned buffer.
        ByteBuf buf = Unpooled.buffer(length, maxCapacity);
        buf.writeBytes(this, readerIndex, length);
        readerIndex += length;
        return buf;
    }
}","@Test(expected = IllegalReferenceCountException.class)
    public void testReadBytesAfterRelease7() {
        releasedBuffer().readBytes(ByteBuffer.allocate(8));
    }"
(int level),calculateShipBuildTimeSpeedup,wyfigdmc(int level),"class calculateShipBuildTimeSpeedup {
@Override
    public double calculateShipBuildTimeSpeedup(int level) {
        Preconditions.checkArgument(level >= 0, ""level must be >= 0"");

        if (level == 0) {
            return 0;
        }

        return Math.min(1, (level - 1) * 0.1);
    }
}","@Test
    public void testCalculateShipBuildTimeSpeedup() throws Exception {
        assertThat(sut.calculateShipBuildTimeSpeedup(1), is(0.0));
        assertThat(sut.calculateShipBuildTimeSpeedup(2), is(0.1));
        assertThat(sut.calculateShipBuildTimeSpeedup(3), is(0.2));
    }"
(int n),isHappy,aydftnbi(int n),"class isHappy {
public boolean isHappy(int n) {
        return false;
    }
}","@Test
    public void testAll() {
        for (int i = 0; i < nums.length; i++) {
            Assert.assertEquals(results[i], testObject.isHappy(nums[i]));
        }
    }"
(int offset),readInt,qrxtjdaw(int offset),"class readInt {
public int readInt(int offset) {
        byte[] buf = this.buf;
        offset += baseOffset;
        return (buf[offset] & 0xff) |
                ((buf[offset+1] & 0xff) << 8) |
                ((buf[offset+2] & 0xff) << 16) |
                (buf[offset+3] << 24);
    }
}","@Test
    public void testReadInt() {
        BaseDexBuffer dexBuf = new BaseDexBuffer(new byte[] {0x11, 0x22, 0x33, 0x44});
        Assert.assertEquals(0x44332211, dexBuf.readInt(0));

        dexBuf = new BaseDexBuffer(new byte[] {0x00, 0x00, 0x00, 0x00});
        Assert.assertEquals(0, dexBuf.readInt(0));

        dexBuf = new BaseDexBuffer(new byte[] {(byte)0xff, (byte)0xff, (byte)0xff, 0x7f});
        Assert.assertEquals(Integer.MAX_VALUE, dexBuf.readInt(0));

        dexBuf = new BaseDexBuffer(new byte[] {0x00, 0x00, 0x00, (byte)0x80});
        Assert.assertEquals(Integer.MIN_VALUE, dexBuf.readInt(0));

        dexBuf = new BaseDexBuffer(new byte[] {(byte)0xff, (byte)0xff, (byte)0xff, (byte)0x80});
        Assert.assertEquals(0x80ffffff, dexBuf.readInt(0));

        dexBuf = new BaseDexBuffer(new byte[] {(byte)0xff, (byte)0xff, (byte)0xff, (byte)0xff});
        Assert.assertEquals(-1, dexBuf.readInt(0));
    }"
(int port),setPort,vtkxmgyn(int port),"class setPort {
public void setPort(int port) {
    this.port = port;
  }
}","@Test
  public void negativePort() {
    graphiteConfiguration.setPort(-1);
    Set<ConstraintViolation<GraphiteConfiguration>> violations = validator.validate(graphiteConfiguration);
    assertThat(violations.size(), is(1));
  }"
(int position),get,shglcqom(int position),"class get {
@Nullable
    public E get(int position) throws T, IllegalArgumentException, NoSuchElementException {
        advance(position);
        return next();
    }
}","@Test(expected = NoSuchElementException.class)
    public void testGetNoSuchElementException() {
        create(""one"", ""two"").get(3);
    }"
"(int row, int column)",getQuick,"cgouxpcx(int row, int column)","class getQuick {
@Override
  public double getQuick(int row, int column) {
    return matrix.getQuick(offset[ROW] + row, offset[COL] + column);
  }
}","@Test
  public void testAssignMatrixBinaryFunction() {
    test.assign(test, Functions.PLUS);
    for (int row = 0; row < test.rowSize(); row++) {
      for (int col = 0; col < test.columnSize(); col++) {
        assertEquals(""value["" + row + ""]["" + col + ']',
            2 * values[row + 1][col + 1], test.getQuick(row, col), EPSILON);
      }
    }
  }"
"(int sizeout, int sizein, long in1, long in2)",evaluateBinary,"purncxct(int sizeout, int sizein, long in1, long in2)","class evaluateBinary {
@Override
	public long evaluateBinary(int sizeout, int sizein, long in1, long in2) {
		FloatFormat format = FloatFormatFactory.getFloatFormat(sizein);
		return format.opMult(in1, in2);
	}
}","@Test
	public void testEvaluateBinaryBigInteger() {

		OpBehaviorFloatMult op = new OpBehaviorFloatMult();

		FloatFormat ff = FloatFormatFactory.getFloatFormat(8);

		BigInteger a = ff.getEncoding(BigDecimal.valueOf(2.5d));
		BigInteger b = ff.getEncoding(BigDecimal.valueOf(1.5d));
		BigInteger result = op.evaluateBinary(8, 8, a, b);
		Assert.assertEquals(BigDecimal.valueOf(3.75d), ff.getHostFloat(result));

		b = ff.getEncoding(FloatFormat.BIG_POSITIVE_INFINITY);
		result = op.evaluateBinary(8, 8, a, b);
		Assert.assertEquals(FloatFormat.BIG_POSITIVE_INFINITY, ff.getHostFloat(result));

		a = ff.getEncoding(FloatFormat.BIG_NEGATIVE_INFINITY);
		result = op.evaluateBinary(8, 8, a, b);
		Assert.assertEquals(FloatFormat.BIG_NEGATIVE_INFINITY, ff.getHostFloat(result));

		b = ff.getEncoding(FloatFormat.BIG_NaN);
		result = op.evaluateBinary(8, 8, a, b);
		Assert.assertEquals(FloatFormat.BIG_NaN, ff.getHostFloat(result));
	}"
"(int start, int end)",getSubStringContainer,"qgmpfvfb(int start, int end)","class getSubStringContainer {
public StringContainer getSubStringContainer(int start, int end) {
    int realStartIndex = start >= 0 ? start : count + start;
    int realEndIndex = end >= 0 ? end : count + end;
    if (realStartIndex < 0 || realStartIndex >= count) {
      throw new IndexOutOfBoundsException(String.format(
          ""start Index: %d, Real start Index: %d, Size: %d"", start, realStartIndex, count));
    }
    if (realEndIndex < 0 || realEndIndex >= count) {
      throw new IndexOutOfBoundsException(String.format(
          ""end Index: %d, Real end Index: %d, Size: %d"", end, realEndIndex, count));
    }
    StringContainer ret = new StringContainer(joinSeparator);
    if (realStartIndex < reverseList.size()) {
      for (int i = reverseList.size() - 1 - realStartIndex; i >= Math.max(0,
          reverseList.size() - 1 - realEndIndex); i--) {
        ret.addTail(this.reverseList.get(i));
      }
    }
    if (realEndIndex >= reverseList.size()) {
      for (int i = Math.max(0, realStartIndex - reverseList.size()); i <= realEndIndex - reverseList.size(); i++) {
        ret.addTail(this.sequenceList.get(i));
      }
    }
    return ret;
  }
}","@Test
  public void testGetSubStringContainer() {
    StringContainer a = new StringContainer();
    try {
      a.getSubStringContainer(0, 1);
    } catch (Exception e) {
      assertTrue(e instanceof IndexOutOfBoundsException);
    }
    a.addTail(""a"", ""bbb"", ""cc"");
    assertEquals("""", a.getSubStringContainer(1, 0).toString());
    assertEquals(""a"", a.getSubStringContainer(0, 0).toString());
    assertEquals(""bbbcc"", a.getSubStringContainer(1, -1).toString());
    assertEquals(""bbb"", a.getSubStringContainer(-2, -2).toString());
    try {
      a.getSubStringContainer(1, 4);
    } catch (Exception e) {
      assertTrue(e instanceof IndexOutOfBoundsException);
    }
    a.addHead(""dd"", ""eeee"");
    assertEquals(""eeeea"", a.getSubStringContainer(1, 2).toString());
    assertEquals(""eeeea"", a.getSubStringContainer(1, -3).toString());
    assertEquals(""dd"", a.getSubStringContainer(0, 0).toString());
    assertEquals(""cc"", a.getSubStringContainer(-1, -1).toString());
    assertEquals(""ddeeeeabbbcc"", a.getSubStringContainer(-5, -1).toString());
    try {
      a.getSubString(9);
    } catch (Exception e) {
      assertTrue(e instanceof IndexOutOfBoundsException);
    }
  }"
(int v),nextValueOut,kewcgifi(int v),"class nextValueOut {
@Override
    public int nextValueOut(int v) {
        int lb = 0, ub = 1;
        if (isInstantiated()) { // if this is instantiated
            lb = ub = mValue;
        }
        if (lb - 1 <= v && v <= ub) {
            return ub + 1;
        } else {
            return v + 1;
        }
    }
}","@Test(groups=""1s"", timeOut=60000)
    public void testNextOut1(){
        Model model = new Model();
        IntVar x = model.boolVar();
        Assert.assertEquals(x.nextValueOut(-2), -1);
        Assert.assertEquals(x.nextValueOut(-1), 2);
        Assert.assertEquals(x.nextValueOut(2), 3);
    }"
"(int width, int height)",setSize,"qrzgacpm(int width, int height)","class setSize {
public void setSize(int width, int height) {
    if (width > 0 && height > 0 & !isDestroy && mRendered && mRenderContainer != null) {
      ViewGroup.LayoutParams layoutParams = mRenderContainer.getLayoutParams();
      if (layoutParams != null) {
        final float realWidth = width;
        final float realHeight = height;
        if (mRenderContainer.getWidth() != width || mRenderContainer.getHeight() != height) {
          layoutParams.width = width;
          layoutParams.height = height;
          mRenderContainer.setLayoutParams(layoutParams);
        }

        if (mRootComp != null && layoutParams != null) {
          final boolean isWidthWrapContent = layoutParams.width == ViewGroup.LayoutParams.WRAP_CONTENT;
          final boolean isHeightWrapContent = layoutParams.height == ViewGroup.LayoutParams.WRAP_CONTENT;

          WXBridgeManager.getInstance().post(new Runnable() {
            @Override
            public void run() {
              WXBridgeManager.getInstance().setDefaultRootSize(getInstanceId(), realWidth, realHeight, isWidthWrapContent,
                      isHeightWrapContent);
            }
          });
        }
      }
    }
  }
}","@Test
  public void testSetSize() throws Exception {
    setupRoot(mInstance);
    mInstance.setSize(10,10);
  }"
(int x),normalApproximateProbability,khxlwbvs(int x),"class normalApproximateProbability {
public double normalApproximateProbability(int x)  {
        // Calculate the probability using half-correction.
        return normal.cumulativeProbability(x + 0.5);
    }
}","@Test
    void testNormalApproximateProbability() {
        PoissonDistribution dist = new PoissonDistribution(100);
        double result = dist.normalApproximateProbability(110) -
            dist.normalApproximateProbability(89);
        Assertions.assertEquals(0.706281887248, result, 1e-10);

        dist = new PoissonDistribution(10000);
        result = dist.normalApproximateProbability(10200) -
            dist.normalApproximateProbability(9899);
        Assertions.assertEquals(0.820070051552, result, 1E-10);
    }"
(long id),get,ztlzysvh(long id),"class get {
public User get(long id) {
        return userBiz.getById(id);
    }
}","@Test
    public void testGetId() throws Exception {
        long id = 1;
        User user = userService.get(id);
        Assert.assertNotNull(user);
        Assert.assertEquals(""banchuanyu"", user.getName());
    }"
