Parameter,Function,Test Case
(int type),"class switchCharType {
static int switchCharType (int type)
	{
		switch (type)
		{
			case Types.CHAR:
				return Types.NCHAR;
			case Types.VARCHAR:
				return Types.NVARCHAR;
			case Types.LONGVARCHAR:
				return Types.LONGNVARCHAR;
			case Types.CLOB:
				return Types.NCLOB;
			case Types.NCHAR:
				return Types.CHAR;
			case Types.NVARCHAR:
				return Types.VARCHAR;
			case Types.LONGNVARCHAR:
				return Types.LONGVARCHAR;
			case Types.NCLOB:
				return Types.CLOB;
		}
		return type;
	}
}","@Test
	public void switchCharTypeTest ()
	{
		Assert.assertEquals (Types.CHAR, TypeMap.switchCharType (Types.NCHAR));
		Assert.assertEquals (Types.NCHAR, TypeMap.switchCharType (Types.CHAR));

		Assert.assertEquals (Types.VARCHAR, TypeMap.switchCharType (Types.NVARCHAR));
		Assert.assertEquals (Types.NVARCHAR, TypeMap.switchCharType (Types.VARCHAR));

		Assert.assertEquals (Types.LONGVARCHAR, TypeMap.switchCharType (Types.LONGNVARCHAR));
		Assert.assertEquals (Types.LONGNVARCHAR, TypeMap.switchCharType (Types.LONGVARCHAR));

		Assert.assertEquals (Types.CLOB, TypeMap.switchCharType (Types.NCLOB));
		Assert.assertEquals (Types.NCLOB, TypeMap.switchCharType (Types.CLOB));

		Assert.assertEquals (Types.BLOB, TypeMap.switchCharType (Types.BLOB));
	}"
(long userID),"class getPreferencesFromUser {
@Override
  public PreferenceArray getPreferencesFromUser(long userID) throws TasteException {
    if (isAnonymousUser(userID)) {
      return tempPrefs.get(userID);
    }
    return getDelegate().getPreferencesFromUser(userID);
  }
}","@Test(expected=NoSuchUserException.class)
	public void testGetPreferencesForNonExistingUser() throws TasteException {
		PlusAnonymousConcurrentUserDataModel instance = getTestableWithoutDelegateData(10);
		// Exception is expected since such user does not exist
		instance.getPreferencesFromUser(1);
	}"
(boolean needFence),"class quitElection {
public synchronized void quitElection(boolean needFence) {
    LOG.info(""Yielding from election"");
    if (!needFence && state == State.ACTIVE) {
      // If active is gracefully going back to standby mode, remove
      // our permanent znode so no one fences us.
      tryDeleteOwnBreadCrumbNode();
    }
    reset();
    wantToBeInElection = false;
  }
}","@Test
  public void testQuitElection() throws Exception {
    elector.joinElection(data);
    Mockito.verify(mockZK, Mockito.times(0)).close();
    elector.quitElection(true);
    Mockito.verify(mockZK, Mockito.times(1)).close();
    // no watches added
    verifyExistCall(0);

    byte[] data = new byte[8];
    elector.joinElection(data);
    // getNewZooKeeper called 2 times. once in constructor and once now
    Assert.assertEquals(2, count);
    elector.processResult(Code.NODEEXISTS.intValue(), ZK_LOCK_NAME, mockZK,
        ZK_LOCK_NAME);
    Mockito.verify(mockApp, Mockito.times(1)).becomeStandby();
    verifyExistCall(1);

  }"
(boolean downloadData),"class setDownloadData {
public void setDownloadData(boolean downloadData) {
        this.vDownloadData = downloadData;
    }
}","@Test
    public void invDownloadTx() throws Exception {
        connect();

        peer.setDownloadData(true);
        // Make a transaction and tell the peer we have it.
        BigInteger value = Utils.toNanoCoins(1, 0);
        Transaction tx = createFakeTx(unitTestParams, value, address);
        InventoryMessage inv = new InventoryMessage(unitTestParams);
        InventoryItem item = new InventoryItem(InventoryItem.Type.Transaction, tx.getHash());
        inv.addItem(item);
        inbound(writeTarget, inv);
        // Peer hasn't seen it before, so will ask for it.
        GetDataMessage getdata = (GetDataMessage) outbound(writeTarget);
        assertEquals(1, getdata.getItems().size());
        assertEquals(tx.getHash(), getdata.getItems().get(0).hash);
        inbound(writeTarget, tx);
        // Ask for the dependency, it's not in the mempool (in chain).
        getdata = (GetDataMessage) outbound(writeTarget);
        inbound(writeTarget, new NotFoundMessage(unitTestParams, getdata.getItems()));
        pingAndWait(writeTarget);
        assertEquals(value, wallet.getBalance(Wallet.BalanceType.ESTIMATED));
    }"
(boolean downloadData),"class setDownloadData {
public void setDownloadData(boolean downloadData) {
        this.vDownloadData = downloadData;
    }
}","@Test
    public void invNoDownload() throws Exception {
        // Don't download missing blocks.
        peer.setDownloadData(false);

        connect();

        // Make a missing block that we receive.
        Block b1 = createFakeBlock(blockStore, Block.BLOCK_HEIGHT_GENESIS).block;
        blockChain.add(b1);
        Block b2 = makeSolvedTestBlock(b1);

        // Receive an inv.
        InventoryMessage inv = new InventoryMessage(UNITTEST);
        InventoryItem item = new InventoryItem(InventoryItem.Type.Block, b2.getHash());
        inv.addItem(item);
        inbound(writeTarget, inv);

        // Peer does nothing with it.
        assertNull(outbound(writeTarget));
    }"
(int fieldNum),"class get {
@Override
    public Object get(int fieldNum) {
        try {
            StructField fref = soi.getAllStructFieldRefs().get(fieldNum);
            return HCatRecordSerDe.serializeField(
                soi.getStructFieldData(wrappedObject, fref),
                    fref.getFieldObjectInspector());
        } catch (SerDeException e) {
            throw new IllegalStateException(""SerDe Exception deserializing"",e);
        }
    }
}","@Test
    public void testGetWithName() throws Exception {
        TypeInfo ti = getTypeInfo();
        HCatRecord r = new LazyHCatRecord(getHCatRecord(), getObjectInspector(ti));
        HCatSchema schema = HCatSchemaUtils.getHCatSchema(ti)
                                              .get(0).getStructSubSchema();
        Assert.assertEquals(INT_CONST, ((Integer) r.get(""an_int"", schema)).intValue());
        Assert.assertEquals(LONG_CONST, ((Long) r.get(""a_long"", schema)).longValue());
        Assert.assertEquals(DOUBLE_CONST, ((Double) r.get(""a_double"", schema)).doubleValue(), 0);
        Assert.assertEquals(STRING_CONST, (String) r.get(""a_string"", schema));
    }"
(byte b),"class add {
public void add(byte b) throws BufferIsFullException {
        if (isFull()) {
            throw new BufferIsFullException(""Buffer is full and has reached maximum capacity ("" + capacity() + "")"");
        }

        // buffer is not full
        this.buffer[this.currentWritePosition] = b;
        this.currentWritePosition = (this.currentWritePosition + 1) % this.buffer.length;
        this.currentBufferSize += 1;
    }
}","@Test(expected=IllegalArgumentException.class)
    public void addWithArrayNegativeOffset() throws BufferException {
        ByteBuffer buffer = createCircledByteBuffer(100);
        buffer.add(TEST_BYTES1, -1, TEST_BYTES1.length);
    }"
(byte b),"class reverse {
public static byte reverse(byte b) {
		b = (byte) ((b & 0xF0) >> 4 | (b & 0x0F) << 4);
		b = (byte) ((b & 0xCC) >> 2 | (b & 0x33) << 2);
		b = (byte) ((b & 0xAA) >> 1 | (b & 0x55) << 1);
	    return b;
	}
}","@Test
	public void testReversing() {
		TestCase.assertEquals((byte)0b10000000, BitMagic.reverse((byte)0b00000001));
		TestCase.assertEquals((byte)0b11000000, BitMagic.reverse((byte)0b00000011));
		TestCase.assertEquals((byte)0b10001000, BitMagic.reverse((byte)0b00010001));
		TestCase.assertEquals((byte)0x00, BitMagic.reverse((byte)0x00));
		TestCase.assertEquals((byte)0xFF, BitMagic.reverse((byte)0xFF));
	}"
(byte b),"class occurrences {
public int occurrences(byte b) {
        byte[] bytes = { b };
        return occurrences(bytes);
    }
}","@Test
    public void occurrencesWithByte() throws BufferException {
        ByteBuffer buffer = new ByteBuffer(TEST_BYTES1);
        Assert.assertEquals(3, buffer.occurrences((byte)'L'));
        Assert.assertEquals(1, buffer.occurrences((byte)'H'));
        Assert.assertEquals(0, buffer.occurrences((byte)'A'));
    }"
(byte b),"class occurrences {
public int occurrences(byte b) {
        byte[] bytes = { b };
        return occurrences(bytes);
    }
}","@Test
    public void occurrences() throws BufferException {
        ByteBuffer buffer = new ByteBuffer(TEST_BYTES1);
        Assert.assertEquals(-1, buffer.occurrences(new byte[0]));
        Assert.assertEquals(3, buffer.occurrences(TEST_L));
        Assert.assertEquals(1, buffer.occurrences(TEST_LL));
        Assert.assertEquals(1, buffer.occurrences(TEST_H));
        byte[] tmp = {'A'};
        Assert.assertEquals(0, buffer.occurrences(tmp));
    }"
(byte b),"class add {
public void add(byte b) throws BufferIsFullException {
        if (isFull()) {
            throw new BufferIsFullException(""Buffer is full and has reached maximum capacity ("" + capacity() + "")"");
        }

        // buffer is not full
        this.buffer[this.currentWritePosition] = b;
        this.currentWritePosition = (this.currentWritePosition + 1) % this.buffer.length;
        this.currentBufferSize += 1;
    }
}","@Test(expected=IllegalArgumentException.class)
    public void addWithArrayWithLargeOffset() throws BufferException {
        ByteBuffer buffer = createCircledByteBuffer(TEST_BYTES1.length);
        // most difficult case where the offset is off by 1
        buffer.add(TEST_BYTES1, TEST_BYTES1.length, 0);
    }"
(byte b),"class valueOf {
public static TypeOfAddress valueOf(byte b) {
        // bits 0-3 are the ton (shift over 0, then only the first 4 bits)
        int ton = (b & 0x0F);
        // bits 4-7 are the npi (shift over 4, then only the first 3 bits)
        int npi = ((b >> 4) & 0x07);
        // create our type of address now
        return new TypeOfAddress(Ton.fromInt(ton), Npi.fromInt(npi));
    }
}","@Test
    public void valueOf() {
        TypeOfAddress toa = TypeOfAddress.valueOf((byte)0x91);
        Assert.assertEquals(Ton.INTERNATIONAL, toa.getTon());
        Assert.assertEquals(Npi.ISDN, toa.getNpi());
        TypeOfAddress toa2 = TypeOfAddress.valueOf((byte)0x81);
        Assert.assertEquals(Ton.INTERNATIONAL, toa2.getTon());
        Assert.assertEquals(Npi.UNKNOWN, toa2.getNpi());
    }"
(int number),"class convert {
String convert(int number) {
       StringBuilder result = new StringBuilder();
       result.append(number % 3 == 0 ? ""Pling"" : """");
       result.append(number % 5 == 0 ? ""Plang"" : """");
       result.append(number % 7 == 0 ? ""Plong"" : """");

       result = result.length() == 0 ? result.append(number) : result;
       return result.toString();
}
}","@Ignore(""Remove to run test"")
    @Test
    public void soundFor49IsPlongAsItHasFactor7() {
        assertEquals(""Plong"", raindropConverter.convert(49));
    }"
(int number),"class anserFor {
public String anserFor(int number) {
        
        String answer = """";
        
        if(isDivisibleBy(number,3)){
            answer += ""Fizz"";
        }
        
        if(isDivisibleBy(number, 5)){
            answer += ""Buzz"";
        }
        
        return answer.isEmpty() ? String.valueOf(number) : answer;
    }
}","@Test
    public void shouldAnswerFizzFor3() throws Exception {
        
        Assert.assertEquals(fizzBuzz.anserFor(3), ""Fizz"");
    }"
(int number),"class getFactorsOf {
public List<Integer> getFactorsOf(int number) {
        List<Integer> factors = new ArrayList<Integer>();

        int divisor = 2;

        while (number != 1) {
            while (number % divisor == 0) {
                number = number / divisor;
                factors.add(divisor);
            }
            divisor++;
        }

        return factors;
    }
}","@Test
    public void testThat12Returns2And2And3() {
        PrimeFactors factors = new PrimeFactors();
        List<Integer> result = factors.getFactorsOf(12);
        assertThat(result).isEqualTo(Arrays.asList(2, 2, 3));
    }"
(int number),"class bigInteger {
protected static BigInteger bigInteger(int number) {
      return bigInteger(String.valueOf(number));
   }
}","@Test
   public void
   factorial_of_1_is_1() {
      factorialAssertion(1, FactorialDigitSum.bigInteger(1));
   }"
(int number),"class getTopValues {
public Map<Object, Double> getTopValues(int number) {
        AssertUtil.isTrue(number > 0, ""number must be positive"");
        metric.currentWindow();
        List<CacheMap<Object, LongAdder>> buckets = metric.values();

        Map<Object, Long> result = new HashMap<>(buckets.size());

        for (CacheMap<Object, LongAdder> b : buckets) {
            Set<Object> subSet = b.keySet(true);
            for (Object o : subSet) {
                Long count = result.get(o);
                if (count == null) {
                    count = getCount(b.get(o));
                } else {
                    count += getCount(b.get(o));
                }
                result.put(o, count);
            }
        }

        // After merge, get the top set one.
        Set<Entry<Object, Long>> set = result.entrySet();
        List<Entry<Object, Long>> list = new ArrayList<>(set);
        Collections.sort(list, new Comparator<Entry<Object, Long>>() {
            @Override
            public int compare(Entry<Object, Long> a,
                               Entry<Object, Long> b) {
                return (int) (b.getValue() == null ? 0 : b.getValue()) - (int) (a.getValue() == null ? 0 : a.getValue());
            }
        });

        Map<Object, Double> doubleResult = new HashMap<Object, Double>();

        int size = list.size() > number ? number : list.size();
        for (int i = 0; i < size; i++) {
            Map.Entry<Object, Long> x = list.get(i);
            if (x.getValue() == 0) {
                break;
            }
            doubleResult.put(x.getKey(), ((double) x.getValue()) / metric.getIntervalInSecond());
        }

        return doubleResult;
    }
}","@Test(expected = IllegalArgumentException.class)
    public void testIllegalArgument() {
        ClusterParamMetric metric = new ClusterParamMetric(5, 25, 100);
        metric.getTopValues(-1);
    }"
(int number),"class convert {
String convert(int number) {
       StringBuilder result = new StringBuilder();
       result.append(number % 3 == 0 ? ""Pling"" : """");
       result.append(number % 5 == 0 ? ""Plang"" : """");
       result.append(number % 7 == 0 ? ""Plong"" : """");

       result = result.length() == 0 ? result.append(number) : result;
       return result.toString();
}
}","@Ignore(""Remove to run test"")
    @Test
    public void soundFor35IsPlangPlongAsItHasFactors5And7() {
        assertEquals(""PlangPlong"", raindropConverter.convert(35));
    }"
(int number),"class goldbach {
public static List<Integer> goldbach(int number) {
        if (number == 2) {
            return Collections.emptyList();
        } else if (number % 2 != 0) {
            return Collections.emptyList();
        }

        List<Integer> primeNumbers = P34.primeNumbers(IntStream.rangeClosed(2, number));
        for (Integer primeNumber : primeNumbers) {
            if (primeNumbers.contains(number - primeNumber)) {
                return Arrays.asList(primeNumber, number - primeNumber);
            }
        }
        throw new RuntimeException(""Should not have happened!!"");
    }
}","@Test
    public void _8_isthesumof_3_and_5() throws Exception {
        List<Integer> numbers = P35.goldbach(8);
        assertThat(numbers, hasSize(2));
        assertThat(numbers, hasItems(3, 5));
    }"
(int number),"class get {
@Override
    public String get(int number) {
        String result = """";
        if (number == 1) {
            return ""[1]"";
        }
        for (int i = 2; i < number / (i - 1); i++) {
            while (number % i == 0) {
                number /= i;
                result += String.valueOf(i) + "","";
            }
        }
        if (number > 1) {
            result += String.valueOf(number) + "","";
        }
        result = result.substring(0, result.length() - 1);
        return ""["" + result + ""]"";
    }
}","@Test
    public void shouldWork() {
        PrimeFactoryAlgorithm algorithm = new PrimeFactoryAlgorithm();
        assertEquals(""[1]"", algorithm.get(""1""));
        assertEquals(""[2]"", algorithm.get(""2""));
        assertEquals(""[3]"", algorithm.get(""3""));
        assertEquals(""[2,2]"", algorithm.get(""4""));
        assertEquals(""[5]"", algorithm.get(""5""));
        assertEquals(""[2,3]"", algorithm.get(""6""));
        assertEquals(""[7]"", algorithm.get(""7""));
        assertEquals(""[2,2,2]"", algorithm.get(""8""));
        assertEquals(""[3,3]"", algorithm.get(""9""));
        assertEquals(""[2,5]"", algorithm.get(""10""));
        assertEquals(""[11]"", algorithm.get(""11""));
        assertEquals(""[2,2,3]"", algorithm.get(""12""));
        assertEquals(""[13]"", algorithm.get(""13""));
        assertEquals(""[2,7]"", algorithm.get(""14""));
        assertEquals(""[3,5]"", algorithm.get(""15""));
        assertEquals(""[2,2,2,2]"", algorithm.get(""16""));
        assertEquals(""[17]"", algorithm.get(""17""));
        assertEquals(""[2,3,3]"", algorithm.get(""18""));
        assertEquals(""[19]"", algorithm.get(""19""));
        assertEquals(""[2,2,5]"", algorithm.get(""20""));
        assertEquals(""[3,7]"", algorithm.get(""21""));
        assertEquals(""[2,11]"", algorithm.get(""22""));
        assertEquals(""[23]"", algorithm.get(""23""));
        assertEquals(""[2,2,2,3]"", algorithm.get(""24""));
        assertEquals(""[5,5]"", algorithm.get(""25""));
        assertEquals(""[2,13]"", algorithm.get(""26""));
    }"
(int number),"class days {
public static DaysWindows days(int number) {
    return new DaysWindows(number, DEFAULT_START_DATE, DateTimeZone.UTC);
  }
}","@Test
  public void testDaysCompatibility() throws IncompatibleWindowException {
    CalendarWindows.DaysWindows daysWindows = CalendarWindows.days(10);
    daysWindows.verifyCompatibility(CalendarWindows.days(10));
    thrown.expect(IncompatibleWindowException.class);
    daysWindows.verifyCompatibility(CalendarWindows.days(9));
  }"
(int number),"class getFactorsOf {
public List<Integer> getFactorsOf(int number) {
        List<Integer> factors = new ArrayList<Integer>();

        int divisor = 2;

        while (number != 1) {
            while (number % divisor == 0) {
                number = number / divisor;
                factors.add(divisor);
            }
            divisor++;
        }

        return factors;
    }
}","@Test
    public void testThat15Returns3And5() {
        PrimeFactors factors = new PrimeFactors();
        List<Integer> result = factors.getFactorsOf(15);
        assertThat(result).isEqualTo(Arrays.asList(3, 5));
    }"
(int number),"class convert {
String convert(int number) {
       StringBuilder result = new StringBuilder();
       result.append(number % 3 == 0 ? ""Pling"" : """");
       result.append(number % 5 == 0 ? ""Plang"" : """");
       result.append(number % 7 == 0 ? ""Plong"" : """");

       result = result.length() == 0 ? result.append(number) : result;
       return result.toString();
}
}","@Test
    public void soundFor1Is1() {
        assertEquals(""1"", raindropConverter.convert(1));
    }"
(int number),"class calculateSquareRootRecursive {
public float calculateSquareRootRecursive(int number) {
    return sqrtRecursiveInner(number, 0, number);
  }
}","@Test public void squareRootOfNineEqualsToThreeRecursive() {
    float result = squareRoot.calculateSquareRootRecursive(9);

    assertEquals(3, result, DELTA);
  }"
(int number),"class factorial {
public static long factorial(int number) {
		if (number < FACTORIAL_MIN_ARGUMENT) {
			String message = String.format(""Faktorijela nije definirana za %d."", number);

			throw new IllegalArgumentException(message);
		}
		else if (number > FACTORIAL_MAX_ARGUMENT) {
			String message = String.format(""%d! ne stane u long."", number);

			throw new IllegalArgumentException(message);
		}

		long factorial = 1;

		for (int i = 1; i <= number; ++i) {
			factorial *= i;
		}

		return factorial;
	}
}","@Test
	public void testOverUpperLimit() {
		assertThrows(IllegalArgumentException.class, () -> Factorial.factorial(21));
	}"
(int number),"class reverse {
public int reverse(int number) {
    int result = 0;
    while (number != 0) {
      result <<= 1;
      result |= number & 1;
      number >>= 1;
    }
    return result;
  }
}","@Test public void shouldReturnOneIfInputIsOne() {
    int input = 1; // 1

    int result = reverseOrder.reverse(input);

    assertEquals(1, result); // 1
  }"
(int number),"class single {
String single(int number) {
        return seq.apply(number - 1);
    }
}","@Test
    void numbers_divisible_by_3_and_5_should_be_returned_as_fizz_buzz() {
        assertThat(fizzBuzz.single(15)).isEqualTo(""Fizz-Buzz"");
        assertThat(fizzBuzz.single(30)).isEqualTo(""Fizz-Buzz"");
    }"
