Parameter,Function,Test Case,cyclomatic_complexity,SPF_Results
"(long x, long y, long overflowResult)","public class AddWithOverflowDefault {
public static long addWithOverflowDefault(long x, long y, long overflowResult) {
    long result = x + y;
    // See Hacker's Delight 2-13 (H. Warren Jr).
    if (((x ^ result) & (y ^ result)) < 0) {
      return overflowResult;
    }
    return result;
  }
}","@Test
  public void testAddWithOverflowDefault() {
    long res = Util.addWithOverflowDefault(5, 10, /* overflowResult= */ 0);
    assertThat(res).isEqualTo(15);

    res = Util.addWithOverflowDefault(Long.MAX_VALUE - 1, 1, /* overflowResult= */ 12345);
    assertThat(res).isEqualTo(Long.MAX_VALUE);

    res = Util.addWithOverflowDefault(Long.MIN_VALUE + 1, -1, /* overflowResult= */ 12345);
    assertThat(res).isEqualTo(Long.MIN_VALUE);

    res = Util.addWithOverflowDefault(Long.MAX_VALUE, 1, /* overflowResult= */ 12345);
    assertThat(res).isEqualTo(12345);

    res = Util.addWithOverflowDefault(Long.MIN_VALUE, -1, /* overflowResult= */ 12345);
    assertThat(res).isEqualTo(12345);
  }",2,
(int quantity),"public class QuantityToRSStackSize {
public static String quantityToRSStackSize(int quantity)
	{
		if (quantity == Integer.MIN_VALUE)
		{
			// Integer.MIN_VALUE = Integer.MIN_VALUE * -1 so we need to correct for it.
			return ""-"" + quantityToRSStackSize(Integer.MAX_VALUE);
		}
		else if (quantity < 0)
		{
			return ""-"" + quantityToRSStackSize(-quantity);
		}
		else if (quantity < 100_000)
		{
			return Integer.toString(quantity);
		}
		else if (quantity < 10_000_000)
		{
			return quantity / 1_000 + ""K"";
		}
		else
		{
			return quantity / 1_000_000 + ""M"";
		}
	}
}","@Test
	public void quantityToRSStackSize()
	{
		assertEquals(""0"", StackFormatter.quantityToRSStackSize(0));
		assertEquals(""99999"", StackFormatter.quantityToRSStackSize(99_999));
		assertEquals(""100K"", StackFormatter.quantityToRSStackSize(100_000));
		assertEquals(""10M"", StackFormatter.quantityToRSStackSize(10_000_000));
		assertEquals(""2147M"", StackFormatter.quantityToRSStackSize(Integer.MAX_VALUE));

		assertEquals(""0"", StackFormatter.quantityToRSStackSize(-0));
		assertEquals(""-400"", StackFormatter.quantityToRSStackSize(-400));
		assertEquals(""-400K"", StackFormatter.quantityToRSStackSize(-400_000));
		assertEquals(""-40M"", StackFormatter.quantityToRSStackSize(-40_000_000));
		assertEquals(""-2147M"", StackFormatter.quantityToRSStackSize(Integer.MIN_VALUE));
	}",5,
(char c),"public class IsLowerCase {
public static boolean isLowerCase(char c) {
        // Note: This was benchmarked against the alternate expression ""(char)(c - 'a') < 26"" (Nov '13)
        // and found to perform at least as well, or better.
        return (c >= 'a') && (c <= 'z');
    }
}","@Test
    public void testIsLowerCaseOne() {
        assertFalse(Ascii.isLowerCase('{'));
    }",2,
( int SpacesCount ),"public class GetSpaces {
public static String getSpaces( int SpacesCount ) {
		//
		if ( SpacesCount < 0 ) return ""?"";
		//
		String Info = """";
		//
		for ( int K = 1; K <= SpacesCount; K ++ ) {
			Info += "" "";
		}
		//
		//
		return Info;
	}
}","@Test
	public void testgetSpaces() throws Exception {
		//
		assertEquals( ""?"", BTools.getSpaces( -3 ) );
		assertEquals( """", BTools.getSpaces( 0 ) );
		assertEquals( ""    "", BTools.getSpaces( 4 ) );
		//
	}",3,"Inputs: SpacesCount_1_SYMINT

demo.GetSpaces.getSpaces(-1)  --> Return Value: java.lang.String@1c8
demo.GetSpaces.getSpaces(0)  --> Return Value: java.lang.String@1ca
demo.GetSpaces.getSpaces(1)  --> Return Value: java.lang.String@1d6
demo.GetSpaces.getSpaces(2)  --> Return Value: java.lang.String@1da
demo.GetSpaces.getSpaces(3)  --> Return Value: java.lang.String@1de
demo.GetSpaces.getSpaces(4)  --> Return Value: java.lang.String@1e2
demo.GetSpaces.getSpaces(5)  --> Return Value: java.lang.String@1e6
demo.GetSpaces.getSpaces(6)  --> Return Value: java.lang.String@1ea
demo.GetSpaces.getSpaces(7)  --> Return Value: java.lang.String@1ee
"
( int mtLv ),"public class GetMtLvESS {
public static String getMtLvESS( int mtLv ) {
		//  MtLvESS = Method Level External Shift String 
		//
		if ( mtLv < 0 ) return ""?"";
		//
		String Result = """";
		//
	//	String LvS = "". "";
		String LvS = ""."";
		//
		for ( int K = 1; K <= mtLv; K ++ ) {
			//
			Result = Result + LvS;
		}
		//
		return Result;
	}
}","@Test
	public void testgetMtLvESS() throws Exception {
		//
		assertEquals( ""?"", BTools.getMtLvESS( -5 ) );
		assertEquals( """", BTools.getMtLvESS( 0 ) );
		assertEquals( ""..."", BTools.getMtLvESS( 3 ) );
		//
	}",3,"Inputs: mtLv_1_SYMINT

demo.GetMtLvESS.getMtLvESS(-1)  --> Return Value: java.lang.String@1c8
demo.GetMtLvESS.getMtLvESS(0)  --> Return Value: java.lang.String@1ca
demo.GetMtLvESS.getMtLvESS(1)  --> Return Value: java.lang.String@1d6
demo.GetMtLvESS.getMtLvESS(2)  --> Return Value: java.lang.String@1da
demo.GetMtLvESS.getMtLvESS(3)  --> Return Value: java.lang.String@1de
demo.GetMtLvESS.getMtLvESS(4)  --> Return Value: java.lang.String@1e2
demo.GetMtLvESS.getMtLvESS(5)  --> Return Value: java.lang.String@1e6
demo.GetMtLvESS.getMtLvESS(6)  --> Return Value: java.lang.String@1ea
demo.GetMtLvESS.getMtLvESS(7)  --> Return Value: java.lang.String@1ee
"
( int MaxIndex ),"public class GetIndexCharsCount {
public static int getIndexCharsCount( int MaxIndex ) {
		//
		int CharsCount = 1;
		//
		if ( MaxIndex <= 0 ) return 1;
		//
		CharsCount = (int)Math.log10( MaxIndex ) + 1;
		//
		return CharsCount;
	}
}","@Test
	public void testgetIndexCharsCount() throws Exception {
		//
		assertEquals( 1, BTools.getIndexCharsCount( -5 ) );
		assertEquals( 1, BTools.getIndexCharsCount( 5 ) );
		assertEquals( 3, BTools.getIndexCharsCount( 345 ) );
		//
	}",2,
(long v),"public class AsciiSizeInBytes {
public static int asciiSizeInBytes(long v) {
		if (v == 0) {
			return 1;
		}
		if (v == Long.MIN_VALUE) {
			return 20;
		}
		boolean negative = false;
		if (v < 0) {
			v = -v;
			negative = true;
		}
		int width = v < 100000000L
				//
				? v < 10000L
						//
						? v < 100L ? v < 10L ? 1 : 2 : v < 1000L ? 3 : 4
						//
						: v < 1000000L ? v < 100000L ? 5 : 6 : v < 10000000L ? 7 : 8
				//
				: v < 1000000000000L
						//
						? v < 10000000000L ? v < 1000000000L ? 9 : 10 : v < 100000000000L ? 11 : 12
						//
						: v < 1000000000000000L
								//
								? v < 10000000000000L ? 13 : v < 10000000000000L ? 14 : 15
								//
								: v < 100000000000000000L
										//
										? v < 10000000000000000L ? 16 : 17
										//
										: v < 1000000000000000000L ? 18 : 19;
		//
		return negative ? width + 1 : width;
	}
}","@Test
	public void asciiSizeInBytes() throws Exception {
		long value = Long.MIN_VALUE;
		assertTrue(StringUtils.asciiSizeInBytes(value) == String.valueOf(value).length());
		benchmark.doSomething(""OKIO的方案:"", () -> StringUtils.asciiSizeInBytes(value));
		benchmark.doSomething(""成龙的方案:"", () -> String.valueOf(value).length());
	}",4,"Inputs: v_1_SYMINT

demo.AsciiSizeInBytes.asciiSizeInBytes(-1l)  --> Return Value: 1
demo.AsciiSizeInBytes.asciiSizeInBytes(0l)  --> Return Value: 1
demo.AsciiSizeInBytes.asciiSizeInBytes(1l)  --> Return Value: 1
"
(int n),"public class Space {
public static String space(int n){
        final StringBuilder sb = new StringBuilder(/*20 spaces*/""                    "");
        while( sb.length() < n){
            sb.append(sb);
        }
        return sb.substring(0,n);
    }
}","@Test
    @DisplayName(""Test that space() returns only spaces and as many as requested"")
    void testSpaces(){
        for( int i = 0 ; i < 200 ; i ++ ){
            final var result = JVM8Tools.space(i);
            Assertions.assertEquals(i,result.length());
            for( int j = 0 ; j < result.length() ; j++ ) {
                Assertions.assertEquals(' ',result.charAt(j));
            }
        }
    }",2,"Inputs: n_1_SYMINT

demo.Space.space(21)  --> Return Value: java.lang.String@1d7
demo.Space.space(-1)  --> ""java.lang.StringIndexOutOfBoundsException: String index out of range: 0...""
demo.Space.space(0)  --> Return Value: java.lang.String@1d7
demo.Space.space(41)  --> Return Value: java.lang.String@1d7
demo.Space.space(81)  --> Return Value: java.lang.String@1d7
demo.Space.space(161)  --> Return Value: java.lang.String@1d7
demo.Space.space(321)  --> Return Value: java.lang.String@1d7
demo.Space.space(641)  --> Return Value: java.lang.String@1d7
demo.Space.space(1281)  --> Return Value: java.lang.String@1d7
demo.Space.space(2561)  --> Return Value: java.lang.String@1d7
"
(double number),"public class GetOrderOfMagnitude {
public static int getOrderOfMagnitude(double number) {
        if (number == 0) {
            // this version works fine for me, but don't know, if this is mathematically correct, see:
            // http://www.mathworks.com/matlabcentral/fileexchange/28559-order-of-magnitude-of-number
            return 0;
        }
        return (int) Math.floor(Math.log10(number));
    }
}","@Test
    public void testGetOrderOfMagnitude() {
        assertEquals(0, MathHelper.getOrderOfMagnitude(0));
        assertEquals(0, MathHelper.getOrderOfMagnitude(1));
        assertEquals(1, MathHelper.getOrderOfMagnitude(10));
        assertEquals(2, MathHelper.getOrderOfMagnitude(100));
        assertEquals(-1, MathHelper.getOrderOfMagnitude(0.1));
        assertEquals(-2, MathHelper.getOrderOfMagnitude(0.01));
        assertEquals(5, MathHelper.getOrderOfMagnitude(123456));
    }",2,
(double v),"public class HashCode {
@Deprecated // to be removed before 2.0
  public static int hashCode(double v) {
    long bits = Double.doubleToLongBits(v);
    return (int) (bits ^ (bits >>> 32));
  }
}","@Test public void testCons() {
    final List<String> abc0 = Arrays.asList(""a"", ""b"", ""c"");

    final List<String> abc = ConsList.of(""a"", ImmutableList.of(""b"", ""c""));
    assertThat(abc.size(), is(3));
    assertThat(abc, is(abc0));

    final List<String> bc = Lists.newArrayList(""b"", ""c"");
    final List<String> abc2 = ConsList.of(""a"", bc);
    assertThat(abc2.size(), is(3));
    assertThat(abc2, is(abc0));
    bc.set(0, ""z"");
    assertThat(abc2, is(abc0));

    final List<String> bc3 = ConsList.of(""b"", Collections.singletonList(""c""));
    final List<String> abc3 = ConsList.of(""a"", bc3);
    assertThat(abc3.size(), is(3));
    assertThat(abc3, is(abc0));
    assertThat(abc3.indexOf(""b""), is(1));
    assertThat(abc3.indexOf(""z""), is(-1));
    assertThat(abc3.lastIndexOf(""b""), is(1));
    assertThat(abc3.lastIndexOf(""z""), is(-1));
    assertThat(abc3.hashCode(), is(abc0.hashCode()));

    assertThat(abc3.get(0), is(""a""));
    assertThat(abc3.get(1), is(""b""));
    assertThat(abc3.get(2), is(""c""));
    try {
      final String z = abc3.get(3);
      fail(""expected error, got "" + z);
    } catch (IndexOutOfBoundsException e) {
      // ok
    }
    try {
      final String z = abc3.get(-3);
      fail(""expected error, got "" + z);
    } catch (IndexOutOfBoundsException e) {
      // ok
    }
    try {
      final String z = abc3.get(30);
      fail(""expected error, got "" + z);
    } catch (IndexOutOfBoundsException e) {
      // ok
    }

    final List<String> a = ConsList.of(""a"", ImmutableList.of());
    assertThat(a.size(), is(1));
    assertThat(a, is(Collections.singletonList(""a"")));
  }",1,"Inputs: v_1_SYMREAL
No path conditions for demo.HashCode.hashCode(0.0)
"
"(
      int i,
      int j)","public class Hash {
@Deprecated // to be removed before 2.0
  public static int hash(
      int i,
      int j) {
    return (i << 4) ^ j;
  }
}","@Test public void testHash() {
    checkHash(0d);
    checkHash(1d);
    checkHash(-2.5d);
    checkHash(10d / 3d);
    checkHash(Double.NEGATIVE_INFINITY);
    checkHash(Double.POSITIVE_INFINITY);
    checkHash(Double.MAX_VALUE);
    checkHash(Double.MIN_VALUE);
  }",1,"Inputs: i_1_SYMINT,j_2_SYMINT
No path conditions for demo.Hash.hash(0,0)
"
(int priority),"public class SetPriority {
@Deprecated
    // TODO: Remove in Smack 4.5.
    public void setPriority(int priority) {
        if (priority < -128 || priority > 127) {
            throw new IllegalArgumentException(""Priority value "" + priority +
                    "" is not valid. Valid range is -128 through 127."");
        }
        setPriority((byte) priority);
    }
}","@Test
    public void setIllegalPriorityTest() {
        assertThrows(IllegalArgumentException.class, () ->
        getNewPresence().setPriority(Integer.MIN_VALUE)
        );
    }",3,"Inputs: priority_5_SYMINT

demo.SetPriority.setPriority(-129)  --> ""java.lang.IllegalArgumentException: Priority value 0 is not valid. Valid range is -128 through 127....""
"
(double angle),"public class CalculatePolygonSidesFromAngle {
public static int calculatePolygonSidesFromAngle(double angle) {
		// throw new RuntimeException(""implement me!"");
		// System.out.println((360/(180.00-angle)));
		return (int) (360 / (180.00 - angle) + 0.5);
	}
}","@Test
    public void calculatePolygonSidesFromAngleTest() {
        assertEquals(3, TurtleSoup.calculatePolygonSidesFromAngle(60.0));
        assertEquals(7, TurtleSoup.calculatePolygonSidesFromAngle(128.57));
        assertEquals(5, TurtleSoup.calculatePolygonSidesFromAngle(108.0));

    }",1,
"(boolean writtenByYourself,
            boolean availableToOthers, boolean writtenAsCourseWork,
            boolean citingYourSource, boolean implementationRequired)","public class MayUseCodeInAssignment {
public static boolean mayUseCodeInAssignment(boolean writtenByYourself,
            boolean availableToOthers, boolean writtenAsCourseWork,
            boolean citingYourSource, boolean implementationRequired) {
        
        // TODO: Fill in this method, then remove the exception
    	return writtenByYourself && !availableToOthers
    			&& writtenAsCourseWork && citingYourSource
    			&& implementationRequired;
    }
}","@Test
    public void testMayUseCodeInAssignment() {
        assertFalse(""Expected false: un-cited publicly-available code"",
                RulesOf6005.mayUseCodeInAssignment(false, true, false, false, false));
        assertTrue(""Expected true: self-written required code"",
                RulesOf6005.mayUseCodeInAssignment(true, false, true, true, true));
    }",5,"Inputs: writtenByYourself_1_SYMINT,availableToOthers_2_SYMINT,writtenAsCourseWork_3_SYMINT,citingYourSource_4_SYMINT,implementationRequired_5_SYMINT

demo.MayUseCodeInAssignment.mayUseCodeInAssignment(false,-9223372036854775808(don't care),-9223372036854775808(don't care),-9223372036854775808(don't care),-9223372036854775808(don't care))  --> Return Value: 0
demo.MayUseCodeInAssignment.mayUseCodeInAssignment(true,true,-9223372036854775808(don't care),-9223372036854775808(don't care),-9223372036854775808(don't care))  --> Return Value: 0
demo.MayUseCodeInAssignment.mayUseCodeInAssignment(true,false,false,-9223372036854775808(don't care),-9223372036854775808(don't care))  --> Return Value: 0
demo.MayUseCodeInAssignment.mayUseCodeInAssignment(true,false,true,false,-9223372036854775808(don't care))  --> Return Value: 0
demo.MayUseCodeInAssignment.mayUseCodeInAssignment(true,false,true,true,true)  --> Return Value: 1
demo.MayUseCodeInAssignment.mayUseCodeInAssignment(true,false,true,true,false)  --> Return Value: 0
"
(int sides),"public class CalculateRegularPolygonAngle {
public static double calculateRegularPolygonAngle(int sides) {
		// throw new RuntimeException(""implement me!"");
		return (sides - 2) * 180.00 / sides;
	}
}","@Test
    public void calculateRegularPolygonAngleTest() {
        assertEquals(60.0, TurtleSoup.calculateRegularPolygonAngle(3), 0.001);
        assertEquals(128.57, TurtleSoup.calculateRegularPolygonAngle(7), 0.01);
        assertEquals(108.0, TurtleSoup.calculateRegularPolygonAngle(5), 0.001);
    }",1,
"(boolean writtenByYourself,
            boolean availableToOthers, boolean writtenAsCourseWork,
            boolean citingYourSource, boolean implementationRequired)","public class MayUseCodeInAssignment {
public static boolean mayUseCodeInAssignment(boolean writtenByYourself,
            boolean availableToOthers, boolean writtenAsCourseWork,
            boolean citingYourSource, boolean implementationRequired) {
        
        // TODO: Fill in this method, then remove the exception
        
        throw new RuntimeException(""implement me!"");
    }
}","@Test
    public void testMayUseCodeInAssignment() {
        assertFalse(""Expected false: un-cited publicly-available code"",
                RulesOf6005.mayUseCodeInAssignment(false, true, false, false, false));
        assertTrue(""Expected true: self-written required code"",
                RulesOf6005.mayUseCodeInAssignment(true, false, true, true, true));
    }",1,"Inputs: writtenByYourself_1_SYMINT,availableToOthers_2_SYMINT,writtenAsCourseWork_3_SYMINT,citingYourSource_4_SYMINT,implementationRequired_5_SYMINT
No path conditions for demo.MayUseCodeInAssignment.mayUseCodeInAssignment(false,false,false,false,false)
"
(int turn),"public class Rot {
public static float rot(int turn)
    {
        switch (turn)
        {
            case 0:
                return 0;
            case 127:
                return 10;
            case -127:
                return -10;
            case -128:  // 0x80
                return Float.NaN;
            default:
                float f = turn;
                f = f / 4.733F;
                return Math.signum(f) * f * f;
        }
    }
}","@Test
    public void testRot()
    {
        for (int r=-128;r<128;r++)
        {
            float rot = AISUtil.rot(r);
            int rot1 = AISUtil.rot(rot);
            assertEquals(r, rot1);
        }
    }",2,
"(int x, int m)","public class ReciprocalMod {
public static int reciprocalMod(int x, int m) {
		if (!(0 <= x && x < m))
			throw new IllegalArgumentException();
		
		// Based on a simplification of the extended Euclidean algorithm
		int y = x;
		x = m;
		int a = 0;
		int b = 1;
		while (y != 0) {
			int z = x % y;
			int c = a - x / y * b;
			x = y;
			y = z;
			a = b;
			b = c;
		}
		if (x == 1)
			return a >= 0 ? a : a + m;
		else
			throw new IllegalArgumentException(""Reciprocal does not exist"");
	}
}","@Test public void testReciprocalMod() {
		int[][] goodCases = {
			{1, 2, 1},
			{1, 3, 1},
			{2, 3, 2},
			{1, 4, 1},
			{3, 4, 3},
			{1, 5, 1},
			{2, 5, 3},
			{3, 5, 2},
			{4, 5, 4},
			{2, 7, 4},
			{3, 7, 5},
			{4, 7, 2},
			{5, 7, 3},
			{6, 7, 6},
			{18585, 26128, 5705},
			{4352341, 7559949, 3054661},
			{290514683, 936234758, 903930729},
			{735803087, 1384775511, 1321131185},
			{1, 2147483647, 1},
			{2, 2147483647, 1073741824},
			{188080773, 2147483647, 1201032874},
			{527995520, 2147483647, 1215591224},
			{1154582780, 2147483647, 193267031},
			{1321286464, 2147483647, 95844396},
			{2147483645, 2147483647, 1073741823},
			{2147483646, 2147483647, 2147483646},
		};
		for (int[] cs : goodCases)
			assertEquals(cs[2], Library.reciprocalMod(cs[0], cs[1]));
		
		int[][] badCases = {
			// Values out of range
			{Integer.MIN_VALUE, Integer.MIN_VALUE},
			{-1, -1},
			{0, -1},
			{-1, 0},
			{0, 0},
			{1, 1},
			{3, 2},
			{Integer.MAX_VALUE, 1},
			// Values not coprime
			{2, 4},
			{2, 6},
			{3, 6},
			{44100, 48000},
			{77, 2147483646},
			{30783, 2147483646},
		};
		for (int[] cs : badCases) {
			try {
				Library.reciprocalMod(cs[0], cs[1]);
				Assert.fail();
			} catch (IllegalArgumentException e) {}  // Pass
		}
	}",5,"Inputs: x_1_SYMINT,m_2_SYMINT

demo.ReciprocalMod.reciprocalMod(-1,-9223372036854775808(don't care))  --> ""java.lang.IllegalArgumentException...""
demo.ReciprocalMod.reciprocalMod(0,0)  --> ""java.lang.IllegalArgumentException...""
demo.ReciprocalMod.reciprocalMod(1,2)  --> ""java.lang.ArithmeticException: div by 0...""
demo.ReciprocalMod.reciprocalMod(0,1)  --> Return Value: 0
demo.ReciprocalMod.reciprocalMod(0,2)  --> ""java.lang.IllegalArgumentException: Reciprocal does not exist...""
"
"(double decimaldegrees, boolean isLatitude)","public class GetDegreesMinutesSeconds {
public static String getDegreesMinutesSeconds(double decimaldegrees, boolean isLatitude) {
        String cardinality = (decimaldegrees<0) ? ""S"":""N"";

        if(!isLatitude){
            cardinality = (decimaldegrees<0) ? ""W"":""E"";
        }

        //Remove negative sign
        decimaldegrees = Math.abs(decimaldegrees);

        int deg =  (int) Math.floor(decimaldegrees);
        double minfloat = (decimaldegrees-deg)*60;
        int min = (int) Math.floor(minfloat);
        double secfloat = (minfloat-min)*60;
        double sec = Math.round(secfloat * 10000.0)/10000.0;

        // After rounding, the seconds might become 60. These two
        // if-tests are not necessary if no rounding is done.
        if (sec==60) {
            min++;
            sec=0;
        }
        if (min==60) {
            deg++;
            min=0;
        }


        return ("""" + deg + ""° "" + min + ""' "" + sec + ""\"" "" + cardinality);
    }
}","@Test
    public void getDegreesMinutesSeconds_BasicConversion(){
        double lat = 11.812244d;
        String expected = ""11° 48' 44.0784\"" N"";
        String actual = Strings.getDegreesMinutesSeconds(lat, true);

        assertThat(""Degree Decimals converted to Degree Minute Seconds"", actual, is(expected));
    }",4,
"(double decimaldegrees, boolean isLatitude)","public class GetDegreesDecimalMinutes {
public static String getDegreesDecimalMinutes(double decimaldegrees, boolean isLatitude) {
        String cardinality = (decimaldegrees<0) ? ""S"":""N"";

        if(!isLatitude){
            cardinality = (decimaldegrees<0) ? ""W"":""E"";
        }

        //Remove negative sign
        decimaldegrees = Math.abs(decimaldegrees);

        int deg =  (int) Math.floor(decimaldegrees);
        double minfloat = (decimaldegrees-deg)*60;
        double min = Math.round(minfloat*10000.0)/10000.0;

        return ("""" + deg + ""° "" + min + ""' "" + cardinality);
    }
}","@Test
    public void getDegreesDecimalMinutes_NegativeIsSouth(){
        double lat = -54.81774d;
        String expected = ""54° 49.0644' S"";
        String actual = Strings.getDegreesDecimalMinutes(lat, true);

        assertThat(""Negative Degree Decimals converted to southerly Degree Decimal Minutes"", actual, is(expected));
    }",2,
"(int col, int row)","public class FormatAsString {
private String formatAsString(int col, int row) {
    return """"; // FIXME or copy from excel poi
  }
}","@Test
    public void testReadOdf() throws IOException {
        final SpreadSheet spreadSheet = new SpreadSheet(new File(""src/test/resources/formulas.ods""));
        List<Sheet> sheets = spreadSheet.getSheets();
        for (Sheet sheet : sheets) {
            for(int rowIndex = 0; rowIndex < sheet.getMaxRows(); rowIndex++) {
                for(int columnIndex = 0; columnIndex < sheet.getMaxColumns(); columnIndex++) {
                    final Range dataRange = sheet.getDataRange();
                    final Range cell = dataRange.getCell(rowIndex, columnIndex);
                    if(cell.getValue() == null) continue;

                    System.out.println(""cell name: ""+formatAsString(columnIndex, rowIndex));
                    System.out.println(""valueType=""+cell.getValue().getClass().getName());
                    final Object value = cell.getValue();
                    System.out.println(""value: ""+value);
                    System.out.println(""Formula: ""+cell.getFormula());
                }
            }
        }
    }",1,
"(double d, double power)","public class PowRetainingSign {
public static double powRetainingSign(double d, double power) {
        // In case d is super small, just make it zero
        if (Math.abs(d) < 1e-14) {
            return 0;
        }
        return Math.copySign(Math.pow(Math.abs(d), power), d);
    }
}","@Test
    void powRetainingSign() {
        assertEquals(4, MathUtil.powRetainingSign(2, 2));
        assertEquals(-4, MathUtil.powRetainingSign(-2, 2));

        double EXPECTED_1_5_POWER = Math.sqrt(Math.pow(2, 3));

        assertEquals(EXPECTED_1_5_POWER, MathUtil.powRetainingSign(2, 1.5));
        assertEquals(-EXPECTED_1_5_POWER, MathUtil.powRetainingSign(-2, 1.5));
    }",2,"Inputs: d_1_SYMREAL,power_2_SYMREAL

demo.PowRetainingSign.powRetainingSign(0.0,-9223372036854775808(don't care))  --> Return Value: 0.0
demo.PowRetainingSign.powRetainingSign(0.0,-9223372036854775808(don't care))  --> ""java.lang.ClassNotFoundException: class not found: java.lang.NoSuchMethodException!!...""
demo.PowRetainingSign.powRetainingSign(1.0,-9223372036854775808(don't care))  --> ""java.lang.ClassNotFoundException: class not found: java.lang.NoSuchMethodException!!...""
"
(char ch),"public class IsHexit {
public static boolean isHexit(char ch)
        {
        // hexits in the unicode range appear in this order:
        //   {..., 0, ..., 9, ..., A, ..., F, ..., a, ..., f, ...}
        // so a hexit has to be in the range 0..f, and the entire character
        // range from 0..f is only 0x36 (so it fits inside a long mask)
        return ch >= '0' & ch <= 'f' & ((1L << ('f' - ch)) &
                // 3               4               5               6
                // 0123456789ABCDEF0123456789ABCDEF0123456789ABCDEF0123456
                // 0123456789:;<=>?@ABCDEFGHIJKLMNOPQRSTUVWXYZ[/]^_`abcdef
                0b01111111111000000011111100000000000000000000000000111111L) != 0;
        }
}","@Test
    public void testIsHexit()
        {
        Assert.assertTrue(isHexit('0'));
        Assert.assertTrue(isHexit('1'));
        Assert.assertTrue(isHexit('2'));
        Assert.assertTrue(isHexit('3'));
        Assert.assertTrue(isHexit('4'));
        Assert.assertTrue(isHexit('5'));
        Assert.assertTrue(isHexit('6'));
        Assert.assertTrue(isHexit('7'));
        Assert.assertTrue(isHexit('8'));
        Assert.assertTrue(isHexit('9'));
        Assert.assertTrue(isHexit('A'));
        Assert.assertTrue(isHexit('B'));
        Assert.assertTrue(isHexit('C'));
        Assert.assertTrue(isHexit('D'));
        Assert.assertTrue(isHexit('E'));
        Assert.assertTrue(isHexit('F'));
        Assert.assertTrue(isHexit('a'));
        Assert.assertTrue(isHexit('b'));
        Assert.assertTrue(isHexit('c'));
        Assert.assertTrue(isHexit('d'));
        Assert.assertTrue(isHexit('e'));
        Assert.assertTrue(isHexit('f'));
        Assert.assertFalse(isHexit('.'));
        Assert.assertFalse(isHexit('/'));
        Assert.assertFalse(isHexit(':'));
        Assert.assertFalse(isHexit(';'));
        Assert.assertFalse(isHexit((char) 0));
        Assert.assertFalse(isHexit(' '));
        Assert.assertFalse(isHexit('~'));
        Assert.assertFalse(isHexit('@'));
        Assert.assertFalse(isHexit('`'));
        Assert.assertFalse(isHexit('G'));
        Assert.assertFalse(isHexit('g'));
        }",1,
(short half),"public class ConvertHalfToFloat {
public static float convertHalfToFloat(short half) {
        switch ((int) half) {
            case 0x0000:
                return 0f;
            case 0x8000:
                return -0f;
            case 0x7c00:
                return Float.POSITIVE_INFINITY;
            case 0xfc00:
                return Float.NEGATIVE_INFINITY;
            // TODO: Support for NaN?
            default:
                return Float.intBitsToFloat(((half & 0x8000) << 16)
                        | (((half & 0x7c00) + 0x1C000) << 13)
                        | ((half & 0x03FF) << 13));
        }
    }
}","@Test
    public void testConvertHalfToFloat() {
        assertEquals(Float.POSITIVE_INFINITY, FastMath.convertHalfToFloat((short)31744), 0.0f);
        assertEquals(0.0f, FastMath.convertHalfToFloat((short)0), 0.0f);
        assertEquals(65504.0f, FastMath.convertHalfToFloat((short)31743), 0.0f);
        assertEquals(-65536.0f, FastMath.convertHalfToFloat((short)-1024), 0.0f);
        assertEquals(-65504.0f, FastMath.convertHalfToFloat((short)-1025), 0.0f);
    }",2,"Inputs: half_1_SYMINT

demo.ConvertHalfToFloat.convertHalfToFloat(0)  --> Return Value: 0.0
demo.ConvertHalfToFloat.convertHalfToFloat(31744)  --> Return Value: Infinity
demo.ConvertHalfToFloat.convertHalfToFloat(-1)  --> Return Value: 3.0517578125E-5
"
(int n),"public class RGBToHex {
public static String RGBToHex(int n) {
        StringBuilder sb = new StringBuilder();
        sb.append(Integer.toHexString(n));
        // Add '0' character at first index if the string length < 2.
        if (sb.length() < 2) {
            sb.insert(0, '0');
        }

        return sb.toString().toUpperCase();
    }
}","@Test
    public void colorUtils_RGBToHex() {
        assertEquals(ColorUtils.RGBToHex(0), ""00"");
        assertEquals(ColorUtils.RGBToHex(16), ""10"");
        assertEquals(ColorUtils.RGBToHex(255), ""FF"");
    }",2,
(boolean validIfTrue),"public class IsTrue {
public static void isTrue(boolean validIfTrue) {
    // return void, not the argument, as no need to check a boolean method argument
    if (!validIfTrue) {
      throw new IllegalArgumentException(""Invalid argument, expression must be true"");
    }
  }
}","@Test
  public void test_isTrue_simple_false() {
    assertThatIllegalArgumentException().isThrownBy(() -> ArgChecker.isTrue(false));
  }",2,"Inputs: validIfTrue_1_SYMINT

demo.IsTrue.isTrue(false)  --> ""java.lang.IllegalArgumentException: Invalid argument, expression must be true...""
demo.IsTrue.isTrue(true)  --> Return Value: --
"
